,n_number,name,mfr,model,street,city,year_mfr,no_seats
59003,N306FD,CITY OF LOS ANGELES,BELL HELICOPTER TEXTRON CANADA,206B                ,C/O LOS ANGELES FIRE DEPARTMENT  ,VAN NUYS          ,2007,5
59006,N664PD,CITY OF LOS ANGELES,BELL HELICOPTER TEXTRON CANADA,206B                ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2007,5
81236,N3202Q,CITY OF LOS ANGELES,BELL                          ,206B                ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,1986,5
81442,N601CC,CITY OF LOS ANGELES,BELL                          ,206B                ,C/O LOS ANGELES FIRE DEPT        ,VAN NUYS          ,    ,5
87527,N120LA,COUNTY OF LOS ANGELES FIRE DEPT,BELL HELICOPTER TEXTRON CANADA,412EP               ,BARTON HELIPORT                  ,PACOIMA           ,2007,15
94225,N73985,CITY OF LOS ANGELES,BELL                          ,47G-3B-1            ,C/O LOS ANGELES FIRE DEPARTMENT  ,VAN NUYS          ,1963,3
112176,N213PF,LAPD AIR SUPPORT DIVISION,AIRBUS HELICOPTERS INC        ,AS350B3             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2017,7
112178,N221LA,LAPD AIR SUPPORT DIVISION,AIRBUS HELICOPTERS INC        ,AS350B3             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2014,7
112181,N223LA,LAPD AIR SUPPORT DIVISION,AIRBUS HELICOPTERS INC        ,AS350B3             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2014,7
112186,N267LA,LAPD AIR SUPPORT DIVISION,AIRBUS HELICOPTERS INC        ,AS350B3             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2017,7
112208,N472LA,LAPD AIR SUPPORT DIVISION,AIRBUS HELICOPTERS INC        ,AS350B3             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2018,7
112242,N703WP,CITY OF LOS ANGELES,AIRBUS HELICOPTERS INC        ,AS350B3             ,14401 SATICOY ST BLG 6 3RD FLOOR ,VAN NUYS          ,2017,7
112244,N704WP,CITY OF LOS ANGELES,AIRBUS HELICOPTERS INC        ,AS350B3             ,14401 SATICOY ST BLDG 6 3RD FL   ,VAN NUYS          ,2017,7
138778,N110LA,CONSOLIDATED FIRE PROTECTION,BELL                          ,412EP               ,12605 OSBORNE ST                 ,PACOIMA           ,2005,15
138780,N14LA ,COUNTY OF LOS ANGELES,BELL                          ,412EP               ,AIR OPERATIONS/BARTON HELIPORT   ,PACOIMA           ,2005,15
138781,N21844,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION,BELL                          ,412EP               ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,1999,15
144902,N228LA,CITY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPACE 475         ,LOS ANGELES       ,2000,6
144903,N229LA,CITY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST STE 475           ,LOS ANGELES       ,2000,6
144904,N232LA,CITY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST STE 475           ,LOS ANGELES       ,2000,6
144905,N233LA,CITY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPACE 475         ,LOS ANGELES       ,2000,6
145004,N661PD,LAPD AIR SUPPORT DIVISION,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2006,6
145005,N662PD,LAPD AIR SUPPORT DIVISION,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2006,6
145006,N665PD,LAPD AIR SUPPORT DIVISION,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2007,6
145034,N913WB,LAPD AIR SUPPORT DIVISION,EUROCOPTER                    ,AS 350 B2           ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2008,6
145041,N961SD,COUNTY OF LOS ANGELES SHERIFFS DEPARTMENT,EUROCOPTER                    ,AS 350 B2           ,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,2001,6
145042,N963SD,COUNTY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,C/O SHERIFFS DEPARTMENT          ,LONG BEACH        ,2002,6
145044,N966SD,COUNTY OF LOS ANGELES,EUROCOPTER                    ,AS 350 B2           ,C/O SHERIFFS DEPARTMENT          ,LONG BEACH        ,2003,6
162788,N301FD,LOS ANGELES FIRE DEPARTMENT,AGUSTAWESTLAND PHILADELPHIA   ,AW139               ,16617 ARMINTA ST                 ,VAN NUYS          ,2019,17
162789,N304FD,CITY OF LOS ANGELES,AGUSTAWESTLAND PHILADELPHIA   ,AW139               ,16617 ARMINTA ST                 ,VAN NUYS          ,2017,17
183119,N303FD,LOS ANGELES CITY,AGUSTA SPA                    ,AW139               ,C/0 LOS ANGELES FIRE DEPARTMENT  ,VAN NUYS          ,2008,17
183120,N305FD,CITY OF LOS ANGELES,AGUSTA SPA                    ,AW139               ,C/O AIR OPERATIONS SECTION       ,VAN NUYS          ,2008,17
206476,N950LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,AERO BUREAU                      ,LONG BEACH        ,2010,7
206477,N951LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFF'S DEPARTMENT         ,LONG BEACH        ,2010,7
206478,N953LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,2010,7
206479,N954LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,2010,7
206480,N955LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFF'S DEPARTMENT         ,LONG BEACH        ,2010,7
206481,N956LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,2010,7
206482,N957LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,2010,7
206483,N958LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,2010,7
206484,N959LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,    ,7
206485,N960LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPT                ,LONG BEACH        ,    ,7
206486,N961LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,C/O SHERIFFS DEPARTMENT          ,LONG BEACH        ,    ,7
206487,N962LA,COUNTY OF LOS ANGELES,AMERICAN EUROCOPTER CORP      ,AS350B2             ,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,    ,7
207667,N302FD,LOS ANGELES CITY,AGUSTA AEROSPACE CORP         ,AW139               ,C/O LOS ANGELES FIRE DEPARTMENT  ,VAN NUYS          ,2011,17
222956,N668PD,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION,AMERICAN EUROCOPTER LLC       ,AS350B2             ,555 RAMIREZ ST SPC 475           ,LOS ANGELES       ,2009,7
228509,N17LA ,COUNTY OF LOS ANGELES FIRE DEPARTMENT,BELL                          ,412                 ,12605 OSBORNE ST                 ,PACOIMA           ,1992,15
228510,N18LA ,COUNTY OF LOS ANGELES FIRE DEPARTMENT,BELL                          ,412                 ,12605 OSBORNE STREET             ,PACOIMA           ,1992,15
234225,N15LA ,COUNTY OF LOS ANGELES,SIKORSKY                      ,S-70A               ,12605 OSBORNE ST                 ,PACOIMA           ,    ,39
234226,N160LA,COUNTY OF LOS ANGELES FIRE DEPT AIR OPERATIONS,SIKORSKY                      ,S-70A               ,1320 N EASTERN AVE               ,LOS ANGELES       ,    ,39
234227,N190LA,COUNTY OF LOS ANGELES FIRE DEPARTMENT,SIKORSKY                      ,S-70A               ,1320 N EASTERN AVE               ,LOS ANGELES       ,    ,39
253226,N821LA,CONSOLIDATED FIRE PROTECTION DISTRICT OF LA COUNTY,SIKORSKY                      ,S-70I               ,1320 N EASTERN AVE               ,LOS ANGELES       ,2017,15
253227,N822LA,CONSOLIDATED FIRE PROTECTION DIST OF LOS ANGELES,SIKORSKY                      ,S-70I               ,1320 N EASTERN AVE               ,LOS ANGELES       ,2017,15
288266,N950SG,COUNTY OF LOS ANGELES,EUROCOPTER                    ,AS332L1             ,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,    ,26
288267,N951LB,COUNTY OF LOS ANGELES,EUROCOPTER                    ,AS332L1             ,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,2003,26
288268,N952JH,COUNTY OF LOS ANGELES,EUROCOPTER                    ,AS332L1             ,C/O SHERIFFS DEPT - AERO BUREAU  ,LONG BEACH        ,2003,26
