title,link,image
"Cute Unicorn Plush Hugging Pillow, Kids' Plush Toy Pillows, Soft Stuffed Animal Toy for Girls, Girlfriend, Gifts for Birthday, Valentine, Christmas,and More Festivals",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_toys-and-games_sr_pg1_1?ie=UTF8&adId=A00237532VZJZXVOL8Z8T&url=%2FGirlfriend-Birthday-Valentine-Christmas-Festivals%2Fdp%2FB09638F5C9%2Fref%3Dsr_1_1_sspa%3Fqid%3D1644103429%26s%3Dtoys-and-games%26sr%3D1-1-spons%26psc%3D1&qualifier=1644103429&id=7148066391823862&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/51Zl4hjTsbS._AC_UL320_.jpg
Slumberkins Snuggler & Board Book | Supports Family Bonding | Social Emotional Learning Tools for Ages 0+ (Otter),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_toys-and-games_sr_pg1_1?ie=UTF8&adId=A03426531D4J1J67LIZ11&url=%2FSlumberkins-Snuggler-Deepens-Family-Emotional%2Fdp%2FB08DZVGM8J%2Fref%3Dsr_1_2_sspa%3Fqid%3D1644103429%26s%3Dtoys-and-games%26sr%3D1-2-spons%26psc%3D1&qualifier=1644103429&id=7148066391823862&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/613vyCE8FcL._AC_UL320_.jpg
Glow Guards 9'' Light up Brown Bear Stuffed Animal Plush Soft Toys Valentine's Day Holding Love Bed Night Light Birthday for Toddler Kids,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_toys-and-games_sr_pg1_1?ie=UTF8&adId=A05981371XFD59KQPP4KM&url=%2FGlow-Guards-Stuffed-Holding-Birthday%2Fdp%2FB0962WN22B%2Fref%3Dsr_1_3_sspa%3Fqid%3D1644103429%26s%3Dtoys-and-games%26sr%3D1-3-spons%26psc%3D1&qualifier=1644103429&id=7148066391823862&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/91Fmp68M8zS._AC_UL320_.jpg
"Magic Mixies Magical Misting Cauldron with Interactive 8 inch Blue Plush Toy and 50+ Sounds and Reactions, Multicolor",https://www.amazon.com/Cream-Tea-Magic-Mixies-Cauldron/dp/B08S583D9Q/ref=sr_1_4?qid=1644103429&s=toys-and-games&sr=1-4,https://m.media-amazon.com/images/I/81tC61I4iiL._AC_UL320_.jpg
Melissa & Doug Scissor Skills Activity Book With Pair of Child-Safe Scissors (20 Pages),https://www.amazon.com/Melissa-Doug-Activity-Child-Safe-Scissors/dp/B00EJAEUBC/ref=sr_1_5?qid=1644103429&s=toys-and-games&sr=1-5,https://m.media-amazon.com/images/I/81+i9TVWyoL._AC_UL320_.jpg
"Kids Dancing Talking Cactus Toys for Baby Boys and Girls, Talking Sunny Cactus Toy Electronic Plush Toy Singing, Record & Repeating What You Say with 120 English Songs and LED Lighting for Home Decor",https://www.amazon.com/Dancing-Talking-Electronic-Repeating-Lighting/dp/B09BM1BPR8/ref=sr_1_6?qid=1644103429&s=toys-and-games&sr=1-6,https://m.media-amazon.com/images/I/71z+zV+-18L._AC_UL320_.jpg
"Star Wars Grogu Plush Toy, 11-in “The Child” from The Mandalorian, Collectible Stuffed Character for Movie Fans, Ages 3 Years and Older",https://www.amazon.com/Grogu-Mandalorian-Collectible-Stuffed-Character/dp/B0825SNHP1/ref=sr_1_7?qid=1644103429&s=toys-and-games&sr=1-7,https://m.media-amazon.com/images/I/81Lm7goIEYL._AC_UL320_.jpg
"Squishmallow Official Kellytoy Plush 12"" Aqua The Sloth- Ultrasoft Stuffed Animal Plush Toy",https://www.amazon.com/Squishmallow-Official-Kellytoy-Ultrasoft-Stuffed/dp/B08G1W7G93/ref=sr_1_8?qid=1644103429&s=toys-and-games&sr=1-8,https://m.media-amazon.com/images/I/61fCFC-uDnL._AC_UL320_.jpg
Let's Make Memories Valentine’s Hugging Puppies Valentine's Day for Kids,https://www.amazon.com/Lets-Make-Memories-Valentines-Hugging/dp/B09NTZK5R9/ref=sr_1_9?qid=1644103429&s=toys-and-games&sr=1-9,https://m.media-amazon.com/images/I/819fmToQGxL._AC_UL320_.jpg
"Let’s Make Memories Personalized Hugging Puppies - Valentine’s Day for Him, for Her, for Couples",https://www.amazon.com/Lets-Make-Memories-Personalized-Hugging/dp/B09NTYTKYR/ref=sr_1_10?qid=1644103429&s=toys-and-games&sr=1-10,https://m.media-amazon.com/images/I/819fmToQGxL._AC_UL320_.jpg
"Bearington Romantic Rover Plush Stuffed Animal Puppy Dog with Hearts, 12 inches",https://www.amazon.com/Bearington-Romantic-Valentines-Stuffed-Animal/dp/B00AQS1WD0/ref=sr_1_11?qid=1644103429&s=toys-and-games&sr=1-11,https://m.media-amazon.com/images/I/91WG4RkGFHL._AC_UL320_.jpg
