,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,geometry
309,191116167,2019-09-05,1315,11,Northeast,1172,55,M,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,SCOTT,"34.0818, -118.2609",2019,5,9,September,Thursday,13,15,False,34.0818,-118.2609,White,POINT (-118.2609 34.0818)
1209,191516619,2019-09-01,1010,15,N Hollywood,1511,51,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,13300    RAYMER                       ST,"34.2063, -118.4225",2019,1,9,September,Sunday,10,10,False,34.2063,-118.4225,White,POINT (-118.4225 34.2063)
1389,191419588,2019-08-31,0735,14,Pacific,1412,45,M,O,nan,,I,41.18(A)LAM,,SPEEDWAY,"33.9933, -118.4765",2019,31,8,August,Saturday,07,35,False,33.9933,-118.4765,Other,POINT (-118.4765 33.9933)
2677,190814812,2019-08-26,0915,8,West LA,881,64,M,W,nan,,I,41.18(D)LAM,,EXPOSITION,"34.0326, -118.4493",2019,26,8,August,Monday,09,15,False,34.0326,-118.4493,White,POINT (-118.4493 34.0326)
2698,191419226,2019-08-26,1335,14,Pacific,1413,30,M,W,nan,,I,41.18(D)LAM,,300    HAMPTON                      DR,"33.9965, -118.477",2019,26,8,August,Monday,13,35,False,33.9965,-118.477,White,POINT (-118.477 33.9965)
2740,191419225,2019-08-26,1335,14,Pacific,1413,43,M,B,nan,,I,41.18(D)LAM,,300    HAMPTON                      DR,"33.9965, -118.477",2019,26,8,August,Monday,13,35,False,33.9965,-118.477,Black,POINT (-118.477 33.9965)
2750,191419227,2019-08-26,1400,14,Pacific,1413,28,F,W,nan,,I,41.18(D)LAM,,300    HAMPTON                      DR,"33.9965, -118.477",2019,26,8,August,Monday,14,00,False,33.9965,-118.477,White,POINT (-118.477 33.9965)
2857,191419214,2019-08-25,0730,14,Pacific,1412,56,M,B,nan,,I,41.18(D)LAM,,PARK                         AV,"33.9916, -118.477",2019,25,8,August,Sunday,07,30,False,33.9916,-118.477,Black,POINT (-118.477 33.9916)
2862,191419216,2019-08-25,2025,14,Pacific,1441,40,M,B,nan,,M,41.18(D)LAM,,WASHINGTON                   WY,"33.9877, -118.4646",2019,25,8,August,Sunday,20,25,False,33.9877,-118.4646,Black,POINT (-118.4646 33.9877)
4013,190814579,2019-08-21,0955,8,West LA,881,42,F,W,nan,,I,41.18(D)LAM,,EXPOSITION,"34.0323, -118.449",2019,21,8,August,Wednesday,09,55,False,34.0323,-118.449,White,POINT (-118.449 34.0323)
4018,190814581,2019-08-21,0930,8,West LA,881,45,M,W,nan,,I,41.18(A)LAM,,EXPOSITION,"34.0326, -118.4493",2019,21,8,August,Wednesday,09,30,False,34.0326,-118.4493,White,POINT (-118.4493 34.0326)
4020,191418954,2019-08-21,1730,14,Pacific,1431,19,M,B,nan,,I,41.18(A)LAM,,00    WINDWARD                     AV,"33.9874, -118.4728",2019,21,8,August,Wednesday,17,30,False,33.9874,-118.4728,Black,POINT (-118.4728 33.9874)
4162,190814578,2019-08-21,0945,8,West LA,881,50,M,H,nan,,I,41.18(D)LAM,,EXPOSITION,"34.0326, -118.4493",2019,21,8,August,Wednesday,09,45,False,34.0326,-118.4493,Hispanic,POINT (-118.4493 34.0326)
4253,190814582,2019-08-21,0930,8,West LA,881,50,M,W,nan,,I,41.18(A)LAM,,EXPOSITION,"34.0326, -118.4493",2019,21,8,August,Wednesday,09,30,False,34.0326,-118.4493,White,POINT (-118.4493 34.0326)
