dish,phonetic,korean,slug,thumbnail,image_url
Sautéed cucumbers,Oi-bokkeum,오이볶음,oi-bokkeum,2024/09/oi-bokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-1mhkCdy1kPjFJFdsWeAqHmiw.png?st=2024-10-14T15%3A53%3A52Z&se=2024-10-14T17%3A53%3A52Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A24%3A30Z&ske=2024-10-15T00%3A24%3A30Z&sks=b&skv=2024-08-04&sig=1/ij%2Bc6hR%2BEPLxGduM/zUZmZ%2BM%2BOCor8PvQdD//G5Y8%3D
Korean meatballs with sauce,Wanja,완자,wanja,2024/08/wanja-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-weR3pLixRGTrWDQtFMnu3KPK.png?st=2024-10-14T15%3A54%3A07Z&se=2024-10-14T17%3A54%3A07Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A11%3A59Z&ske=2024-10-15T01%3A11%3A59Z&sks=b&skv=2024-08-04&sig=vwyWCGqy0SrusjSuSo5GvHhjC0bVGuXu3XC6LcWP3O4%3D
Shredded cabbage pickles,Yangbaechu-pickle,양배추피클,yangbaechu-pickle,2024/05/ybc-pickle-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-w0F6jAg42IdsUKAiDGuQiltq.png?st=2024-10-14T15%3A54%3A26Z&se=2024-10-14T17%3A54%3A26Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A33%3A18Z&ske=2024-10-14T23%3A33%3A18Z&sks=b&skv=2024-08-04&sig=%2BGWvHjxGdn0Xr%2BOoSxqQgn2%2B%2BA3ZAlF3W7T72ju4ovg%3D
Pan-fried seasoned Spanish mackerel,Samchi-yangnyeom-gui,삼치양념구이,samchi-yangnyeom-gui,2024/04/spanishmackerel-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-qKJkcaQi9iLEjPQn8CVQx1Oy.png?st=2024-10-14T15%3A54%3A44Z&se=2024-10-14T17%3A54%3A44Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A48%3A48Z&ske=2024-10-14T23%3A48%3A48Z&sks=b&skv=2024-08-04&sig=ua5WwBn6YYkOL%2BuHPdgGkZ8%2Bk%2Byolhcf6blvRpF0AdI%3D
Spicy stir-fried blood sausage,Sundae-bokkeum,순대볶음,sundae-bokkeum,2024/02/sundae-bokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-DGeKGqZBv8FkeKjg5o134zwf.png?st=2024-10-14T15%3A55%3A01Z&se=2024-10-14T17%3A55%3A01Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A18%3A08Z&ske=2024-10-14T23%3A18%3A08Z&sks=b&skv=2024-08-04&sig=DNwxVkmleYLiTQxyRMM/DKgqn8DYKMkA0aCKQW2MwM0%3D
Braised black cod with radish,Eundaegu-jorim,은대구조림,eundaegu-jorim,2023/11/eundaegujorim-1-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-hGG1gwtf0pTf71QjTkcWRv9L.png?st=2024-10-14T15%3A55%3A23Z&se=2024-10-14T17%3A55%3A23Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A32%3A55Z&ske=2024-10-14T23%3A32%3A55Z&sks=b&skv=2024-08-04&sig=6OKP23TmEm6a3A4UJpUuSsa5XCXsL1gsM8eSqpD2EM4%3D
Perilla leaves jangtteok,Kkaennip-jangtteok,깻잎장떡,kkaennip-jangtteok,2023/09/jangtteok-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-0LgZOKOOf1qmL3YZMPcAhPGi.png?st=2024-10-14T15%3A55%3A48Z&se=2024-10-14T17%3A55%3A48Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A17%3A17Z&ske=2024-10-14T23%3A17%3A17Z&sks=b&skv=2024-08-04&sig=x7eLcTvzqe7ASGBpuk%2BpMTSqmUhwglmTylni6wGmjHI%3D
Salad bread,Salad-ppang,샐러드빵,salad-ppang,2023/06/saladppang-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-8rgcYsye75CzMDHyI3A45qcv.png?st=2024-10-14T15%3A56%3A07Z&se=2024-10-14T17%3A56%3A07Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A21%3A04Z&ske=2024-10-15T01%3A21%3A04Z&sks=b&skv=2024-08-04&sig=WMK50/JubAY4NtA2Hx6B7khwg2BFvRMxkmOlIQW4e64%3D
Whole garlic pickles,Tongmaneul jangajji,통마늘 장아찌,tongmaneul-jangajji,2023/05/tongmaneul-jangajji-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-B50nbSRrKL99AMYJUD1wYIsT.png?st=2024-10-14T15%3A56%3A26Z&se=2024-10-14T17%3A56%3A26Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A20%3A27Z&ske=2024-10-14T23%3A20%3A27Z&sks=b&skv=2024-08-04&sig=xY9pFFIfYwF9R9gJabjibBy9VPLr8nNafvbdcOrHcYM%3D
Spicy raw crab,Yangnyeom-gejang,양념게장,yangnyeom-gejang,2023/04/korean-spicy-crab-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-gtyte7GXXt1AFmTt1VJ7l4Q1.png?st=2024-10-14T15%3A56%3A47Z&se=2024-10-14T17%3A56%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A15%3A41Z&ske=2024-10-15T00%3A15%3A41Z&sks=b&skv=2024-08-04&sig=FCZCVHGzYEGElZPfM2OSuy0/Ict8kLKm7kriGMGIJFE%3D
Stir-fried green chili peppers,Gochu-bokkeum,고추볶음,gochu-bokkeum,2023/04/gochu-bokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Fqr5zmiIk9VQ92lyostJJM2w.png?st=2024-10-14T15%3A57%3A09Z&se=2024-10-14T17%3A57%3A09Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A23%3A53Z&ske=2024-10-14T23%3A23%3A53Z&sks=b&skv=2024-08-04&sig=dX19OpD0nZJhjnc44MDEERn0XI51ON8VwJ7QvKaLPKw%3D
Mustard greens kimchi,Gat-kimchi,갓김치,gat-kimchi,2023/03/gat-kimchi-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-EOp10TGhOQeQOxJzu3iMfLEI.png?st=2024-10-14T15%3A57%3A29Z&se=2024-10-14T17%3A57%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A12%3A17Z&ske=2024-10-15T00%3A12%3A17Z&sks=b&skv=2024-08-04&sig=oDITMk4vs6CQ17NLdpndRPbsvyC23SgicJKJxQobEWk%3D
Soy butter pan-grilled chicken,Ganjang-beoteo dakgui,간장버터 닭구이,ganjang-beoteo-dakgui,2022/11/soy-butter-chicken-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-MsPgVnZJ9wnDOKFDPqaM4Ss7.png?st=2024-10-14T15%3A57%3A47Z&se=2024-10-14T17%3A57%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A45%3A00Z&ske=2024-10-15T00%3A45%3A00Z&sks=b&skv=2024-08-04&sig=YvH4VUBLlyttMbRLjfIzaSm/8OkU8g3gfnkqId7yYWI%3D
