date,year,month,weekday,win_loss,home_away,opp,runs_scored,runs_allowed,ab,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,tb,gidp,hbp,sh,sf,ibb
2021-10-03,2021,10,Sunday,W,home,MIL,10,3,33,10,7,1,0,2,10,0,0,6,7,0.303,0.41,0.515,0.925,17,1,0,0,0,0
2021-10-02,2021,10,Saturday,W,home,MIL,8,3,31,9,4,2,0,3,8,0,0,1,9,0.29,0.303,0.645,0.948,20,1,0,0,1,0
2021-10-01,2021,10,Friday,W,home,MIL,8,6,33,10,7,0,0,3,7,1,0,3,3,0.303,0.378,0.576,0.954,19,1,1,0,0,1
2021-09-30,2021,9,Thursday,W,home,SDP,8,3,32,11,5,1,0,5,8,0,1,2,8,0.344,0.371,0.844,1.215,27,1,0,0,1,0
2021-09-29,2021,9,Wednesday,W,home,SDP,11,9,36,12,3,3,0,6,11,1,0,3,7,0.333,0.385,0.917,1.301,33,0,0,0,0,0
2021-09-28,2021,9,Tuesday,W,home,SDP,2,1,30,6,4,2,0,0,2,1,0,9,10,0.2,0.385,0.267,0.651,8,1,0,0,0,1
2021-09-26,2021,9,Sunday,W,away,ARI,3,0,33,7,3,1,0,3,3,0,0,6,6,0.212,0.35,0.515,0.865,17,1,1,0,0,0
2021-09-25,2021,9,Saturday,L,away,ARI,2,7,31,5,3,0,0,2,2,0,0,2,8,0.161,0.212,0.355,0.567,11,1,0,0,0,0
2021-09-24,2021,9,Friday,W,away,ARI,4,2,33,10,6,2,1,1,4,0,0,4,6,0.303,0.368,0.515,0.884,17,2,0,1,1,0
2021-09-23,2021,9,Thursday,W,away,COL,7,5,43,14,11,2,0,1,7,3,0,2,8,0.326,0.356,0.442,0.797,19,1,0,0,0,0
2021-09-22,2021,9,Wednesday,L,away,COL,5,10,32,7,5,1,0,1,5,0,0,4,7,0.219,0.316,0.344,0.66,11,1,1,0,1,0
2021-09-21,2021,9,Tuesday,W,away,COL,5,4,36,9,8,1,0,0,5,0,0,0,7,0.25,0.243,0.278,0.521,10,0,0,0,1,0
2021-09-19,2021,9,Sunday,W,away,CIN,8,5,37,12,8,1,0,3,7,0,1,5,8,0.324,0.419,0.595,1.013,22,1,1,0,0,0
2021-09-18,2021,9,Saturday,W,away,CIN,5,1,35,7,5,1,1,0,5,1,0,3,10,0.2,0.263,0.286,0.549,10,0,0,1,0,0
2021-09-17,2021,9,Friday,L,away,CIN,1,3,33,6,5,1,0,0,1,0,0,2,12,0.182,0.25,0.212,0.462,7,0,1,0,0,0
2021-09-15,2021,9,Wednesday,W,home,ARI,5,3,34,14,11,2,0,1,5,2,1,3,3,0.412,0.474,0.559,1.033,19,2,1,1,0,1
2021-09-14,2021,9,Tuesday,W,home,ARI,8,4,31,9,4,2,0,3,7,1,0,4,6,0.29,0.351,0.645,0.997,20,2,0,0,2,0
2021-09-13,2021,9,Monday,W,home,ARI,5,1,34,11,6,4,0,1,5,0,0,3,5,0.324,0.41,0.529,0.94,18,0,2,1,0,0
2021-09-12,2021,9,Sunday,W,home,SDP,8,0,31,9,4,2,0,3,8,1,0,4,7,0.29,0.41,0.645,1.055,20,0,3,1,1,1
2021-09-11,2021,9,Saturday,W,home,SDP,5,4,24,4,2,1,0,1,5,0,1,3,6,0.167,0.25,0.333,0.583,8,1,0,1,1,0
2021-09-10,2021,9,Friday,W,home,SDP,3,0,26,4,2,1,0,1,3,0,0,5,8,0.154,0.303,0.308,0.611,8,1,1,0,1,1
2021-09-09,2021,9,Thursday,L,away,STL,1,2,31,4,2,2,0,0,1,0,0,3,7,0.129,0.206,0.194,0.399,6,0,0,0,0,0
2021-09-08,2021,9,Wednesday,L,away,STL,4,5,32,7,5,1,0,1,4,0,0,0,5,0.219,0.212,0.344,0.556,11,0,0,0,1,0
2021-09-07,2021,9,Tuesday,W,away,STL,7,2,38,11,5,2,0,4,7,0,0,1,8,0.289,0.308,0.658,0.966,25,0,0,0,0,0
2021-09-06,2021,9,Monday,W,away,STL,5,1,31,5,3,1,0,1,4,0,0,2,6,0.161,0.212,0.29,0.502,9,1,0,0,0,0
2021-09-05,2021,9,Sunday,L,away,SFG,4,6,34,6,5,0,0,1,4,0,0,6,9,0.176,0.3,0.265,0.565,9,0,0,0,0,0
2021-09-04,2021,9,Saturday,W,away,SFG,6,1,28,6,3,1,0,2,5,3,2,6,8,0.214,0.351,0.464,0.816,13,0,1,2,2,0
2021-09-03,2021,9,Friday,L,away,SFG,2,3,39,8,7,1,0,0,2,0,0,4,9,0.205,0.273,0.231,0.503,9,1,0,0,1,0
2021-09-01,2021,9,Wednesday,W,home,ATL,4,3,31,7,3,1,1,2,4,0,0,3,12,0.226,0.294,0.516,0.81,16,0,0,0,0,0
2021-08-31,2021,8,Tuesday,W,home,ATL,3,2,29,6,3,2,0,1,3,0,0,5,10,0.207,0.314,0.379,0.694,11,0,0,0,1,1
2021-08-30,2021,8,Monday,W,home,ATL,5,3,33,10,6,0,0,4,5,1,0,1,9,0.303,0.343,0.667,1.01,22,0,1,0,0,0
2021-08-29,2021,8,Sunday,L,home,COL,0,5,30,3,3,0,0,0,0,0,0,3,8,0.1,0.206,0.1,0.306,3,0,1,0,0,0
2021-08-28,2021,8,Saturday,W,home,COL,5,2,27,7,6,0,0,1,4,1,0,8,9,0.259,0.429,0.37,0.799,10,1,0,0,0,0
2021-08-27,2021,8,Friday,L,home,COL,2,4,33,6,4,0,0,2,2,0,0,0,12,0.182,0.182,0.364,0.545,12,0,0,0,0,0
2021-08-26,2021,8,Thursday,W,away,SDP,4,0,31,5,1,2,1,1,4,0,0,2,8,0.161,0.206,0.387,0.593,12,0,0,0,1,0
2021-08-25,2021,8,Wednesday,W,away,SDP,5,3,57,10,7,1,0,2,5,2,0,5,18,0.175,0.242,0.298,0.54,17,0,0,1,0,3
2021-08-24,2021,8,Tuesday,W,away,SDP,5,2,30,6,3,2,0,1,5,1,0,3,9,0.2,0.257,0.367,0.624,11,0,0,0,2,0
2021-08-22,2021,8,Sunday,L,home,NYM,2,7,31,5,4,1,0,0,2,1,1,2,8,0.161,0.212,0.194,0.406,6,0,0,0,0,0
2021-08-21,2021,8,Saturday,W,home,NYM,4,3,31,8,5,0,0,3,4,1,0,3,4,0.258,0.324,0.548,0.872,17,1,0,0,0,0
2021-08-20,2021,8,Friday,W,home,NYM,3,2,29,5,3,2,0,0,3,0,0,1,10,0.172,0.2,0.241,0.441,7,0,0,0,0,0
2021-08-19,2021,8,Thursday,W,home,NYM,4,1,28,6,4,2,0,0,4,1,1,2,6,0.214,0.29,0.286,0.576,8,1,1,0,0,0
2021-08-18,2021,8,Wednesday,W,home,PIT,9,0,33,9,4,1,0,4,9,0,0,7,9,0.273,0.4,0.667,1.067,22,0,0,0,0,0
2021-08-17,2021,8,Tuesday,W,home,PIT,4,3,31,8,2,6,0,0,4,0,0,3,10,0.258,0.343,0.452,0.794,14,0,1,1,0,0
2021-08-16,2021,8,Monday,W,home,PIT,2,1,28,5,2,1,0,2,2,0,0,2,7,0.179,0.281,0.429,0.71,12,1,2,0,0,0
2021-08-15,2021,8,Sunday,W,away,NYM,14,4,42,16,7,3,1,5,14,1,0,6,10,0.381,0.471,0.857,1.328,36,0,2,0,1,0
2021-08-14,2021,8,Saturday,W,away,NYM,2,1,33,4,1,2,0,1,2,0,0,3,13,0.121,0.194,0.273,0.467,9,1,0,0,0,0
2021-08-13,2021,8,Friday,W,away,NYM,6,5,34,9,5,3,0,1,6,0,1,4,12,0.265,0.333,0.441,0.775,15,1,1,0,3,0
2021-08-12,2021,8,Thursday,L,away,PHI,1,2,30,3,3,0,0,0,1,1,0,5,6,0.1,0.25,0.1,0.35,3,0,1,0,0,1
2021-08-11,2021,8,Wednesday,W,away,PHI,8,2,39,13,10,1,0,2,7,1,0,5,8,0.333,0.422,0.513,0.935,20,0,1,0,0,0
2021-08-10,2021,8,Tuesday,W,away,PHI,5,0,38,12,7,3,0,2,5,0,0,4,15,0.316,0.381,0.553,0.934,21,1,0,0,0,1
2021-08-08,2021,8,Sunday,W,home,LAA,8,2,36,11,6,3,0,2,8,3,0,3,7,0.306,0.375,0.556,0.931,20,0,1,0,0,2
2021-08-07,2021,8,Saturday,W,home,LAA,5,3,33,9,5,3,0,1,5,1,0,2,7,0.273,0.333,0.455,0.788,15,0,1,0,0,0
2021-08-06,2021,8,Friday,L,home,LAA,3,4,40,11,9,2,0,0,3,0,0,2,7,0.275,0.302,0.325,0.627,13,0,0,0,1,0
2021-08-04,2021,8,Wednesday,W,home,HOU,7,5,33,9,3,2,0,4,7,0,0,3,6,0.273,0.351,0.697,1.048,23,1,1,0,0,0
2021-08-03,2021,8,Tuesday,L,home,HOU,0,3,33,5,5,0,0,0,0,0,0,3,13,0.152,0.243,0.152,0.395,5,0,1,0,0,0
2021-08-01,2021,8,Sunday,W,away,ARI,13,0,39,14,7,5,0,2,12,0,0,7,8,0.359,0.49,0.641,1.131,25,1,3,1,0,0
2021-07-31,2021,7,Saturday,W,away,ARI,8,3,43,16,13,2,0,1,7,3,0,2,8,0.372,0.4,0.488,0.888,21,0,0,0,0,0
2021-07-30,2021,7,Friday,L,away,ARI,5,6,40,11,9,0,1,1,5,1,0,2,9,0.275,0.318,0.4,0.718,16,1,1,0,1,0
2021-07-29,2021,7,Thursday,L,away,SFG,0,5,28,4,4,0,0,0,0,0,0,2,11,0.143,0.2,0.143,0.343,4,2,0,1,0,0
2021-07-28,2021,7,Wednesday,W,away,SFG,8,0,42,13,10,1,1,1,8,1,0,3,9,0.31,0.383,0.452,0.835,19,0,2,0,0,0
2021-07-27,2021,7,Tuesday,L,away,SFG,1,2,32,6,4,2,0,0,1,0,0,1,7,0.188,0.212,0.25,0.462,8,0,0,0,0,0
2021-07-25,2021,7,Sunday,W,home,COL,3,2,31,7,3,1,0,3,3,1,0,3,6,0.226,0.294,0.548,0.843,17,0,0,0,0,0
2021-07-24,2021,7,Saturday,W,home,COL,1,0,28,5,4,0,0,1,1,0,0,0,7,0.179,0.179,0.286,0.464,8,2,0,0,0,0
2021-07-23,2021,7,Friday,L,home,COL,6,9,40,10,5,3,1,1,6,1,0,4,12,0.25,0.333,0.45,0.783,18,0,1,0,0,0
2021-07-22,2021,7,Thursday,L,home,SFG,3,5,34,7,5,1,0,1,3,0,0,2,9,0.206,0.25,0.324,0.574,11,1,0,0,0,0
2021-07-21,2021,7,Wednesday,L,home,SFG,2,4,30,3,1,1,0,1,2,1,0,3,9,0.1,0.182,0.233,0.415,7,0,0,0,0,0
2021-07-20,2021,7,Tuesday,W,home,SFG,8,6,33,10,4,3,0,3,8,0,0,3,10,0.303,0.41,0.667,1.077,22,1,3,0,0,0
2021-07-19,2021,7,Monday,L,home,SFG,2,7,31,4,1,1,0,2,2,0,0,4,11,0.129,0.25,0.355,0.605,11,0,1,0,0,0
2021-07-18,2021,7,Sunday,L,away,COL,5,6,38,9,6,1,0,2,5,1,0,3,12,0.237,0.293,0.421,0.714,16,1,0,0,0,0
2021-07-17,2021,7,Saturday,W,away,COL,9,2,39,12,4,4,0,4,9,0,0,1,9,0.308,0.325,0.718,1.043,28,0,0,0,0,0
2021-07-16,2021,7,Friday,W,away,COL,10,4,40,14,10,3,0,1,10,0,0,5,10,0.35,0.426,0.5,0.926,20,0,1,1,1,0
2021-07-11,2021,7,Sunday,W,home,ARI,7,4,32,10,6,2,0,2,7,0,0,3,6,0.313,0.378,0.563,0.941,18,1,1,1,1,1
2021-07-10,2021,7,Saturday,W,home,ARI,22,1,44,21,10,2,1,8,22,0,0,8,4,0.477,0.566,1.114,1.68,49,2,1,0,0,0
2021-07-09,2021,7,Friday,L,home,ARI,2,5,32,5,2,2,0,1,2,0,0,3,7,0.156,0.229,0.313,0.541,10,0,0,0,0,0
2021-07-08,2021,7,Thursday,W,away,MIA,6,1,39,11,10,1,0,0,4,1,0,2,7,0.282,0.326,0.308,0.633,12,0,1,0,1,0
2021-07-07,2021,7,Wednesday,L,away,MIA,6,9,37,10,4,2,0,4,6,0,0,1,13,0.27,0.289,0.649,0.938,24,0,0,0,0,0
2021-07-06,2021,7,Tuesday,L,away,MIA,1,2,38,9,9,0,0,0,1,1,0,5,12,0.237,0.341,0.237,0.578,9,2,1,0,0,1
2021-07-05,2021,7,Monday,L,away,MIA,4,5,36,8,5,3,0,0,4,0,0,5,13,0.222,0.31,0.306,0.615,11,0,0,0,1,0
2021-07-04,2021,7,Sunday,W,away,WSN,5,1,38,11,7,3,0,1,5,0,0,0,15,0.289,0.341,0.447,0.789,17,0,3,0,0,0
2021-07-03,2021,7,Saturday,W,away,WSN,5,3,31,5,4,1,0,0,5,1,0,4,7,0.161,0.263,0.194,0.457,6,0,1,0,2,1
2021-07-02,2021,7,Friday,W,away,WSN,10,5,37,11,7,2,0,2,10,0,0,4,10,0.297,0.381,0.514,0.894,19,0,1,0,0,0
2021-07-01,2021,7,Thursday,W,away,WSN,6,2,25,9,7,0,0,2,6,0,0,1,2,0.36,0.385,0.6,0.985,15,0,0,0,0,0
2021-06-29,2021,6,Tuesday,W,home,SFG,3,1,26,3,1,1,0,1,3,0,0,5,7,0.115,0.281,0.269,0.55,7,0,1,1,0,0
2021-06-28,2021,6,Monday,W,home,SFG,3,2,28,5,2,0,0,3,3,0,0,2,10,0.179,0.233,0.5,0.733,14,1,0,0,0,0
2021-06-27,2021,6,Sunday,W,home,CHC,7,1,31,8,4,1,1,2,7,1,0,3,12,0.258,0.333,0.548,0.882,17,1,1,0,1,0
2021-06-26,2021,6,Saturday,W,home,CHC,3,2,33,10,5,4,0,1,3,0,1,3,11,0.303,0.361,0.515,0.876,17,1,0,0,0,0
2021-06-25,2021,6,Friday,W,home,CHC,6,2,34,8,3,2,0,3,6,2,0,5,6,0.235,0.333,0.559,0.892,19,0,0,0,0,1
2021-06-24,2021,6,Thursday,L,home,CHC,0,4,25,0,0,0,0,0,0,0,0,8,7,0.0,0.242,0.0,0.242,0,1,0,0,0,0
2021-06-23,2021,6,Wednesday,L,away,SDP,3,5,31,5,3,2,0,0,2,0,0,3,6,0.161,0.257,0.226,0.483,7,0,1,0,0,0
2021-06-22,2021,6,Tuesday,L,away,SDP,2,3,34,8,6,1,0,1,1,0,0,5,9,0.235,0.333,0.353,0.686,12,1,0,0,0,0
2021-06-21,2021,6,Monday,L,away,SDP,2,6,31,3,1,0,0,2,2,0,0,3,16,0.097,0.2,0.29,0.49,9,0,1,0,0,0
2021-06-20,2021,6,Sunday,W,away,ARI,9,8,40,15,10,3,1,1,8,1,0,6,8,0.375,0.468,0.575,1.043,23,1,1,1,0,0
2021-06-19,2021,6,Saturday,W,away,ARI,9,3,36,11,5,3,1,2,9,0,0,7,7,0.306,0.409,0.611,1.02,22,0,0,2,1,0
2021-06-18,2021,6,Friday,W,away,ARI,3,0,27,3,1,1,0,1,2,0,0,7,7,0.111,0.286,0.259,0.545,7,3,0,0,1,0
2021-06-16,2021,6,Wednesday,L,home,PHI,0,2,31,5,5,0,0,0,0,0,0,4,10,0.161,0.297,0.161,0.459,5,1,2,0,0,0
2021-06-15,2021,6,Tuesday,W,home,PHI,5,3,33,11,8,2,0,1,5,0,0,3,5,0.333,0.421,0.485,0.906,16,2,2,0,0,0
2021-06-14,2021,6,Monday,W,home,PHI,3,1,27,3,1,0,0,2,3,0,0,1,7,0.111,0.143,0.333,0.476,9,0,0,0,0,0
2021-06-13,2021,6,Sunday,W,home,TEX,5,3,32,11,8,2,0,1,5,0,1,3,9,0.344,0.417,0.5,0.917,16,2,1,0,0,0
2021-06-12,2021,6,Saturday,L,home,TEX,1,12,32,6,4,1,0,1,1,0,0,2,10,0.188,0.235,0.313,0.548,10,1,0,0,0,0
2021-06-11,2021,6,Friday,W,home,TEX,12,1,38,16,9,2,0,5,12,0,0,3,4,0.421,0.477,0.868,1.346,33,0,2,1,1,0
2021-06-10,2021,6,Thursday,W,away,PIT,6,3,29,10,9,0,0,1,6,1,0,7,7,0.345,0.487,0.448,0.935,13,1,2,1,1,1
2021-06-09,2021,6,Wednesday,W,away,PIT,2,1,34,7,5,0,0,2,2,0,0,5,2,0.206,0.308,0.382,0.69,13,0,0,0,0,0
2021-06-08,2021,6,Tuesday,W,away,PIT,5,3,36,10,7,1,1,1,5,0,0,1,6,0.278,0.316,0.444,0.76,16,1,1,0,0,0
2021-06-06,2021,6,Sunday,L,away,ATL,2,4,34,7,5,1,0,1,2,0,0,0,5,0.206,0.206,0.324,0.529,11,0,0,0,0,0
2021-06-05,2021,6,Saturday,L,away,ATL,4,6,34,5,5,0,0,0,1,1,0,2,11,0.147,0.237,0.147,0.384,5,1,2,0,0,0
2021-06-04,2021,6,Friday,W,away,ATL,9,5,31,4,1,3,0,0,8,0,0,8,10,0.129,0.308,0.226,0.533,7,2,0,1,0,0
2021-06-02,2021,6,Wednesday,W,home,STL,14,3,35,10,7,2,0,1,13,1,0,10,8,0.286,0.444,0.429,0.873,15,0,0,0,0,0
2021-06-01,2021,6,Tuesday,L,home,STL,2,3,32,7,5,1,0,1,2,0,0,5,7,0.219,0.324,0.344,0.668,11,2,0,0,0,0
2021-05-31,2021,5,Monday,W,home,STL,9,4,33,10,3,4,0,3,9,0,1,4,12,0.303,0.395,0.697,1.092,23,0,1,0,0,1
2021-05-30,2021,5,Sunday,L,home,SFG,4,5,34,5,1,2,0,2,4,0,0,1,11,0.147,0.171,0.382,0.554,13,0,0,0,0,0
2021-05-29,2021,5,Saturday,L,home,SFG,6,11,36,8,3,3,0,2,6,1,0,2,13,0.222,0.282,0.472,0.754,17,0,1,1,0,0
2021-05-28,2021,5,Friday,L,home,SFG,5,8,38,8,6,0,0,2,5,0,0,7,5,0.211,0.333,0.368,0.702,14,0,0,1,0,0
2021-05-27,2021,5,Thursday,W,home,SFG,4,3,30,6,1,1,1,3,4,0,0,0,11,0.2,0.226,0.6,0.826,18,0,1,0,0,0
2021-05-26,2021,5,Wednesday,L,away,HOU,2,5,31,4,3,0,0,1,2,0,0,3,10,0.129,0.206,0.226,0.432,7,0,0,0,0,0
2021-05-25,2021,5,Tuesday,W,away,HOU,9,2,34,7,6,0,0,1,8,0,0,9,8,0.206,0.386,0.294,0.68,10,0,1,0,0,0
