datetime,date,time,result,balance,fee,hash,ver,vin_sz,vout_sz,size,weight,tx_index,block_index,block_height
2022-01-19 19:37:32,2022-01-19,19:37:32,10764955,11192702,1032,fac7b8acfb332392487806cbfb9c9795b5ed58605296cafeccc436a527bf3c08,2,1,1,195,450,289823939405528,719502,719502
2022-01-19 17:11:23,2022-01-19,17:11:23,427199,427747,3244,d206b5ef7c79c75636305f721ac4ec8552bb659fc43365058781b9392fb82b51,1,1,51,1952,7046,2855942897481520,719478,719478
2022-01-18 10:01:28,2022-01-18,10:01:28,-1277100,548,11720,dbcae98f4ca1ea46d57fc83327a11b93bdead2f1d01152bda4eec7424656a49c,2,47,2,7053,27744,5511348352473341,719276,719276
2022-01-18 06:39:42,2022-01-18,06:39:42,1277100,1277648,1040,a0d6848505017423afc49b4434562d60ff7385165bc5fadc6be5babdecd637ba,1,2,2,375,846,6551967737821020,719253,719253
2022-01-17 13:21:57,2022-01-17,13:21:57,-2492907,548,121372,61a7d92ec16ecd7bf3bb29d2c1d36733bd55248724d8bf9be3375204c0847519,2,391,2,58193,229037,895760929425990,719139,719139
2022-01-17 08:45:33,2022-01-17,08:45:33,2333954,2493455,336,eddd650db71e2fdb1bc34ca5802277826aec0022c16eafc7996c58c416d981f0,2,1,2,226,574,8462095475051277,719114,719114
2022-01-17 00:01:29,2022-01-17,00:01:29,-1066280,159501,26366,440d73d50246211f3f00cdb3c30ae0cdcaffbe830fc8b8f0797391f73eea7b28,2,158,2,23531,93326,1424405634675246,719055,719055
2022-01-16 20:06:07,2022-01-16,20:06:07,158953,1225781,8702,74681ffe8812708a498a6e48028ebbfed618dc6425f1bf0d5a15572a5758b8bf,1,1,97,3299,12869,6745551263845090,719030,719030
2022-01-16 12:01:30,2022-01-16,12:01:30,-863158,1066828,16509,af375ccdcfabe1ee0f0f7520695b004e3758bbff1716fa0356e2bea52500162b,2,70,2,10468,41335,1515951735748572,718968,718968
2022-01-16 06:30:53,2022-01-16,06:30:53,1066280,1929986,560,8c66c6c99fbcc566c0d15e508951148bd6554939869bdd39ae1d5034b7cb6ab3,1,1,2,225,573,6312680501971459,718924,718924
2022-01-15 21:58:34,2022-01-15,21:58:34,863158,863706,540,31e8cd164344b484695e1030fbc10340be94dfe209e1b486268d1ec29bc8bb2c,2,2,2,373,844,1573921157039057,718861,718861
2022-01-15 14:05:16,2022-01-15,14:05:16,-699600,548,20364,a877d6a8a344f1ee31e0e19c691a6a6601b91efb7d9c5b5b9b7dffccbdc09824,2,86,2,12756,51024,1287631593381871,718815,718815
2022-01-14 18:33:48,2022-01-14,18:33:48,699600,700148,624,f194e35375d721a071f11922a6d62b3272c300266474cad0664549b2995daa0b,1,2,2,375,846,410442966386984,718679,718679
2022-01-14 18:01:27,2022-01-14,18:01:27,-238100,548,63350,8c68292390eaed484f976b58da50bbf9743a834c2a94054a231443d0ebf4ae94,2,202,2,30072,119355,5231332938090594,718673,718673
2022-01-14 14:01:33,2022-01-14,14:01:33,-225867,238648,29418,59354521b173a9f717238a6123f13336a0d14d5f78ec2993322916a6bec37ec3,2,95,2,14182,55477,6878374955107013,718641,718641
2022-01-14 11:54:02,2022-01-14,11:54:02,238100,464515,420,cfb7eabd1a526f4e4be08e1fc7b49ecd8a099e386459a9edc084f87ccd2c3e53,1,1,2,226,574,2928848151748368,718627,718627
2022-01-13 12:01:27,2022-01-13,12:01:27,-1837121,226415,34686,3ae007d4e20c710b347bbca3881185f7f27d73dc0ce9f77ec59a522daac68e13,2,116,2,17179,68716,688126058408531,718467,718467
2022-01-13 09:44:38,2022-01-13,09:44:38,1035638,2063536,1207,dfc5299415e0b909576abbd805a18d2fcb134961e1d9094f8c986f5ace9eeac1,2,1,1,195,450,6822829786615283,718445,718445
2022-01-13 09:22:07,2022-01-13,09:22:07,342600,1027898,420,799110fd535030ea88f888ed34859204a5ccb39b303a990940bc32d08af0339d,1,1,2,225,573,5531084944705111,718444,718444
2022-01-13 08:44:06,2022-01-13,08:44:06,225867,685298,8523,5c30c37486c828c35a87f8942a9c7738aeabb168c77e7c9a5d769cac56c771f3,1,1,46,1659,6306,8565440038409102,718439,718439
2022-01-13 06:27:25,2022-01-13,06:27:25,458883,459431,2190,4284873292fb577d1600686faf8f02f23c09b828e4263c8946d64f6fed31bcac,1,3,2,522,1755,6077577327143418,718420,718420
2022-01-13 02:03:46,2022-01-13,02:03:46,-10393265,548,13542,ca2a6241ed6463d071d5912a49b12ae3eed80ba64029e8403bd9923167320b80,2,30,2,4524,17364,4505138515817051,718393,718393
2022-01-12 20:57:52,2022-01-12,20:57:52,10393265,10393813,1006,f528d7572de5ea40615fa49182df2b184fef50a8307bdeaca4607ff78b61a26b,2,1,2,226,574,3787045293977580,718355,718355
2022-01-12 18:01:26,2022-01-12,18:01:26,-37434,548,206120,1c0ece64eeac7adf6759fd7a61a99bfa8c51d1ae08378d245e07656951b9ff41,2,402,2,59798,236069,2322130610760864,718337,718337
2022-01-11 10:07:49,2022-01-11,10:07:49,-139941,37982,315132,f69779230d644ebbc27bb295507efe7f8efe5ebc4596281103486c768493d22a,2,417,2,61991,246386,1506685005778313,718135,718135
2022-01-09 00:01:21,2022-01-09,00:01:21,-914376,177923,94277,1d44037450707c899b42ab09807c29f09a175770aa006a309a2927b9964770ce,2,117,2,17336,69344,7263412247012581,717797,717797
2022-01-08 22:47:50,2022-01-08,22:47:50,462123,1092299,540,0a26a0c4b99dd8be4f8ec2c7f6956375aa009048c8b3e84330c9830c273cd239,2,2,2,373,844,2034403683438713,717787,717787
2022-01-06 23:12:53,2022-01-06,23:12:53,452253,630176,336,51a2a49b530abdfb6c87a0845d9c17f6aa504bb923248b8364b1ef35d1dbc995,2,1,2,226,574,5270214684360182,717510,717510
