Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
06/30/2014,06/18/2014,07/01/2014,Symantec Corporation,Mountain View,51,Layoff Permanent
06/30/2014,09/12/2014,07/07/2014,"Post Foods, LLC",Modesto,52,Closure Permanent
06/30/2014,09/26/2014,07/07/2014,"Post Foods, LLC",Modesto,6,Closure Permanent
07/01/2014,09/15/2014,07/07/2014,"Crissair, Inc",Palmdale,170,Closure Permanent
07/02/2014,10/01/2014,07/07/2014,Brooks Automation Inc.,Petaluma,89,Closure Permanent
07/08/2014,09/07/2014,07/08/2014,"Bimbo Bakeries USA, Inc.",Fresno,73,Layoff Permanent
07/09/2014,09/07/2014,07/10/2014,"Buca Restaurants 2, Inc./Buca di",Irvine,87,Closure Permanent
07/15/2014,09/15/2014,07/17/2014,Xerox Business Services,Bakersfield,38,Layoff Permanent
07/17/2014,09/15/2014,07/17/2014,Microsift and Nokia Inc,San Diego,378,Layoff Permanent
07/07/2014,08/30/2014,07/29/2014,"McDonald's Restaurant/Nicwil, Inc.",Los Angeles,55,Closure Permanent
07/07/2014,09/07/2014,07/29/2014,ITT Cannon LLC,Santa Ana,7,Layoff Permanent
07/08/2014,11/14/2014,07/29/2014,American Medical Response of,Torrance,120,Closure Permanent
07/11/2014,09/09/2014,07/29/2014,Temple Community Hospital,Los Angeles,288,Closure Unknown at this time
07/15/2014,09/15/2014,07/29/2014,Intuit Inc.,Folsom,10,Layoff Permanent
07/15/2014,09/15/2014,07/29/2014,Intuit Inc.,Menlo Park,7,Layoff Permanent
07/15/2014,09/15/2014,07/29/2014,Intuit Inc.,Mountain View,65,Layoff Permanent
07/18/2014,09/16/2014,07/29/2014,Grand Cafe,San Francisco,2,Layoff Permanent
07/18/2014,09/19/2014,07/29/2014,Boeing Company,El Segundo,23,Layoff Permanent
07/18/2014,09/19/2014,07/29/2014,Boeing Company,Long Beach,35,Layoff Permanent
07/25/2014,09/25/2014,07/29/2014,Grand Cafe,San Francisco,1,Layoff Permanent
07/15/2014,09/27/2014,07/30/2014,"Sierra-Cascade Nursery, Inc./Ballico",Ballico,544,Closure Temporary
07/17/2014,09/19/2014,07/30/2014,Foster Poultry Farms,Porterville,60,Layoff Unknown at this time
07/21/2014,09/22/2014,07/30/2014,Super Glue/Pacer Technology,Rancho,14,Layoff Permanent
07/21/2014,09/22/2014,07/30/2014,T.G.I. Friday's,San Diego,56,Closure Permanent
07/22/2014,09/30/2014,07/30/2014,Novartis Pharmaceuticals Corporation,Vacaville,57,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,Irvine,240,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,San Diego,203,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,San Jose,7,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,Santa Clara,7,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,Santa Clara,61,Layoff Permanent
07/23/2014,09/26/2014,07/30/2014,Broadcom Corporation,Sunnyvale,112,Layoff Permanent
07/23/2014,09/30/2014,07/30/2014,"Bruker Daltonics, Inc.",Fremont,78,Layoff Permanent
07/25/2014,09/23/2014,07/30/2014,Raytheon Company-Space and,El Segundo,24,Layoff Permanent
07/25/2014,09/24/2014,07/30/2014,ITT Cannon LLC,Santa Ana,5,Layoff Permanent
07/28/2014,09/26/2014,07/30/2014,"Lazar Industries, LLC",Los Angeles,55,Closure Permanent
07/10/2014,07/11/2014,07/31/2014,Hewlitt-Packard Company,Palo Alto,82,Layoff Permanent
07/29/2014,09/30/2014,07/31/2014,"Moss & Stone, LLC",San Francisco,104,Closure Unknown at this time
07/29/2014,10/03/2014,07/31/2014,Millennium Partners Sports Club,San Francisco,189,Closure Permanent
07/30/2014,09/30/2014,07/31/2014,"Trius Therapeutics, Inc.",San Diego,6,Layoff Unknown at this time
07/31/2014,09/30/2014,07/31/2014,"Cerexa, Inc.",Oakland,52,Closure Permanent
07/11/2014,07/17/2014,08/01/2014,"G2 Secure Staff, LLC (Waste",Pico Rivera,55,Closure Permanent
07/14/2014,09/01/2014,08/01/2014,DNC - Back Lot Deli-Bradley Terminal-,Los Angeles,25,Layoff Permanent
