,employercounty,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,ALAMEDA,13115420.660422072,32949541.035732657,31405542.52856107,35227668.706495844,57706039.18038367,58608589.915606655,44373625.77819027,58631690.79851219,60332524.0
1,ALPINE,0.0,0.0,0.0,0.0,0.0,0.0,11.472858191906006,0.0,0.0
2,AMADOR,51838.568545250055,6889.3344730263,79018.08193786838,87354.01068278588,77555.59287730417,67547.93543938303,557893.8042591385,577877.6521602346,496375.0
3,BUTTE,2272495.5536212046,2641085.9991114754,1899170.9890408963,1455371.0150547447,2033194.6011383154,1775240.0173036624,1951687.5405352486,2181223.8584667086,1772069.0
4,CALAVERAS,401588.0827779976,470872.1479350506,523091.75694226834,453613.63541666674,735185.5142500328,784671.5352718878,624379.0174812337,972849.0702967261,477387.0
5,COLUSA,32389.728708672134,96323.74159603476,57195.430354099684,43299.571738138686,79140.12113055184,103154.5908244343,222833.15271295686,153958.03472623223,63088.0
6,CONTRA COSTA,25693284.707565147,26321064.804232683,24570197.495559257,21736545.92129207,23826021.729808416,25986870.905736078,26565382.283616193,25219352.963752516,24887203.0
7,DEL NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,EL DORADO,3651558.322407409,4006474.8135317126,4025445.709341209,5019983.555124695,5677515.741567059,6068516.191948569,6487794.922837795,7028211.06180234,4796402.0
9,FRESNO,3411183.527903121,4253047.735524445,6162107.72646025,8135120.341585057,11441703.77634938,12347859.106021898,13087641.079687497,14290071.446749795,11052194.0
10,GLENN,42847.23077367642,41488.55877331289,34175.468592916295,21759.39820306164,24445.31232358861,24024.665855579213,21743.152247878592,14248.586120657728,26037.0
11,HUMBOLDT,758150.1464485927,1005203.6738590733,973919.0954038727,1144834.4131944445,1191025.9243682944,885997.1666534725,928253.3115004897,1268433.673147304,1269407.0
12,IMPERIAL,894353.399623898,987475.0455806337,1092958.7241336384,1139322.4786851176,1693187.6287734634,1853132.1723991386,1477030.365445496,2305899.750612289,1709847.0
13,INYO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,KERN,17610316.411636036,18544487.16282654,24496227.65084976,26983551.199095204,28146186.776691113,30027798.611557174,29667521.109215904,29114165.036753275,23488245.0
15,KINGS,688087.9513290272,762687.2971201339,1035041.1763673126,1688639.0208840237,1837309.5879493873,1998167.4844900353,2439274.626807278,2581891.656692168,2169583.0
16,LAKE,267929.5907290421,427992.8054609441,395469.02748146653,825016.9404146392,906596.0917233785,838079.9205398177,1122767.278247389,1114570.3235592793,528299.0
17,LASSEN,11059.879642925416,82915.87406900877,61651.0484295385,60922.859210259536,81526.08198568036,79223.66313482524,72508.46377284596,134199.38443372745,109819.0
18,LOS ANGELES,329999542.4352825,351892623.9236803,398299173.5287417,425020061.5384607,470178716.27983207,493963005.8273636,512402513.4956346,504241490.54719275,508071384.0
19,MADERA,0.0,0.0,12881.784475246506,21508.855725364967,436.8508798946911,17376.712516718264,80131.65654781333,34636.43442835126,3112.0
20,MARIN,8569946.730502537,11773418.299149804,10085164.210382175,11535265.092913624,13286636.142491888,13282665.096572187,16151743.208432604,16369875.304758532,12615048.0
