,Year,Place,Compensation,Total
16,2011,LOS ANGELES CITY,BaseWages,397612891.344396
18,2012,LOS ANGELES CITY,BaseWages,378924275.63884157
20,2013,LOS ANGELES CITY,BaseWages,373424266.2009166
22,2014,LOS ANGELES CITY,BaseWages,334233771.59978
24,2015,LOS ANGELES CITY,BaseWages,376573002.37360185
26,2016,LOS ANGELES CITY,BaseWages,378710549.94814
28,2017,LOS ANGELES CITY,BaseWages,399986478.9201899
30,2018,LOS ANGELES CITY,BaseWages,401007661.0
0,2011,LOS ANGELES CITY,Overtime,107255863.09039328
2,2012,LOS ANGELES CITY,Overtime,123511778.30947654
4,2013,LOS ANGELES CITY,Overtime,151527291.18270347
6,2014,LOS ANGELES CITY,Overtime,171101517.60081297
8,2015,LOS ANGELES CITY,Overtime,195480265.35931614
10,2016,LOS ANGELES CITY,Overtime,194695768.03674474
12,2017,LOS ANGELES CITY,Overtime,201160454.19062924
14,2018,LOS ANGELES CITY,Overtime,194880536.0
17,2011,LOS ANGELES COUNTY,BaseWages,326725499.32254267
19,2012,LOS ANGELES COUNTY,BaseWages,320094773.81709844
21,2013,LOS ANGELES COUNTY,BaseWages,308778660.40810853
23,2014,LOS ANGELES COUNTY,BaseWages,309057951.7529856
25,2015,LOS ANGELES COUNTY,BaseWages,314359588.0021936
27,2016,LOS ANGELES COUNTY,BaseWages,323280886.498106
29,2017,LOS ANGELES COUNTY,BaseWages,332389121.9566454
31,2018,LOS ANGELES COUNTY,BaseWages,337102746.0
1,2011,LOS ANGELES COUNTY,Overtime,140590687.68411908
3,2012,LOS ANGELES COUNTY,Overtime,145005795.54327133
5,2013,LOS ANGELES COUNTY,Overtime,159612999.74831033
7,2014,LOS ANGELES COUNTY,Overtime,162884476.55118388
9,2015,LOS ANGELES COUNTY,Overtime,175570988.19498208
11,2016,LOS ANGELES COUNTY,Overtime,197177771.15672123
13,2017,LOS ANGELES COUNTY,Overtime,202429786.1434522
15,2018,LOS ANGELES COUNTY,Overtime,200211091.0
