index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
873741,2018,CITY,359339.0,ANAHEIM,FIRE,DEPUTY FIRE CHIEF,77243.0,257635.0,51531.0,ORANGE,180392.0,77243.0,257635.0,51531.0,180392.0,ANAHEIM_CITY
873742,2018,CITY,359339.0,ANAHEIM,FIRE,DEPUTY FIRE CHIEF,183032.0,439292.0,50952.0,ORANGE,256260.0,183032.0,439292.0,50952.0,256260.0,ANAHEIM_CITY
873743,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,107394.0,297548.0,34069.0,ORANGE,190154.0,107394.0,297548.0,34069.0,190154.0,ANAHEIM_CITY
873744,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,77414.0,254910.0,51362.0,ORANGE,177496.0,77414.0,254910.0,51362.0,177496.0,ANAHEIM_CITY
873745,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,102772.0,291664.0,44997.0,ORANGE,188892.0,102772.0,291664.0,44997.0,188892.0,ANAHEIM_CITY
873746,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,82540.0,262272.0,44761.0,ORANGE,179732.0,82540.0,262272.0,44761.0,179732.0,ANAHEIM_CITY
873747,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,0.0,69482.0,1636.0,ORANGE,69482.0,0.0,69482.0,1636.0,69482.0,ANAHEIM_CITY
873748,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,165469.0,378471.0,47240.0,ORANGE,213002.0,165469.0,378471.0,47240.0,213002.0,ANAHEIM_CITY
873749,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE BATTALION CHIEF,51977.0,239434.0,48318.0,ORANGE,187457.0,51977.0,239434.0,48318.0,187457.0,ANAHEIM_CITY
873762,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,113561.0,259557.0,46704.0,ORANGE,145996.0,113561.0,259557.0,46704.0,145996.0,ANAHEIM_CITY
873763,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,54731.0,198777.0,46283.0,ORANGE,144046.0,54731.0,198777.0,46283.0,144046.0,ANAHEIM_CITY
873764,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,45858.0,189904.0,46400.0,ORANGE,144046.0,45858.0,189904.0,46400.0,144046.0,ANAHEIM_CITY
873765,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,64332.0,215232.0,40648.0,ORANGE,150900.0,64332.0,215232.0,40648.0,150900.0,ANAHEIM_CITY
873766,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,69300.0,213346.0,47395.0,ORANGE,144046.0,69300.0,213346.0,47395.0,144046.0,ANAHEIM_CITY
873767,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,60756.0,206952.0,46555.0,ORANGE,146196.0,60756.0,206952.0,46555.0,146196.0,ANAHEIM_CITY
873768,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,111915.0,262845.0,47585.0,ORANGE,150930.0,111915.0,262845.0,47585.0,150930.0,ANAHEIM_CITY
873769,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,86429.0,217711.0,31807.0,ORANGE,131282.0,86429.0,217711.0,31807.0,131282.0,ANAHEIM_CITY
873770,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,71506.0,220248.0,46847.0,ORANGE,148742.0,71506.0,220248.0,46847.0,148742.0,ANAHEIM_CITY
873771,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,68674.0,215070.0,39912.0,ORANGE,146396.0,68674.0,215070.0,39912.0,146396.0,ANAHEIM_CITY
873772,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,5932.0,136186.0,44975.0,ORANGE,130254.0,5932.0,136186.0,44975.0,130254.0,ANAHEIM_CITY
873773,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,51975.0,203516.0,58839.0,ORANGE,151541.0,51975.0,203516.0,58839.0,151541.0,ANAHEIM_CITY
873774,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN II,17103.0,153289.0,38318.0,ORANGE,136186.0,17103.0,153289.0,38318.0,136186.0,ANAHEIM_CITY
873775,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,29779.0,179000.0,47368.0,ORANGE,149221.0,29779.0,179000.0,47368.0,149221.0,ANAHEIM_CITY
873776,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,83483.0,237843.0,48001.0,ORANGE,154360.0,83483.0,237843.0,48001.0,154360.0,ANAHEIM_CITY
873777,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,97222.0,254071.0,40582.0,ORANGE,156849.0,97222.0,254071.0,40582.0,156849.0,ANAHEIM_CITY
873778,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,94221.0,251685.0,48073.0,ORANGE,157464.0,94221.0,251685.0,48073.0,157464.0,ANAHEIM_CITY
873779,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,54257.0,198505.0,39488.0,ORANGE,144248.0,54257.0,198505.0,39488.0,144248.0,ANAHEIM_CITY
873780,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,79634.0,231395.0,40548.0,ORANGE,151761.0,79634.0,231395.0,40548.0,151761.0,ANAHEIM_CITY
873781,2018,CITY,359339.0,ANAHEIM,FIRE,FIRE CAPTAIN III,46853.0,196086.0,39940.0,ORANGE,149233.0,46853.0,196086.0,39940.0,149233.0,ANAHEIM_CITY
