index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
2651322,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-40 HOUR,64115.0,242615.0,140656.0,CONTRA COSTA,178500.0,65276.748776418026,247011.12694986598,143204.65376114563,181734.37817344797,CONTRA_COSTA_COUNTY
2651323,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,111114.0,301556.0,164561.0,CONTRA COSTA,190442.0,113127.3596434986,307020.12405866827,167542.8067596682,193892.76441516963,CONTRA_COSTA_COUNTY
2651324,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,26589.0,196881.0,99789.0,CONTRA COSTA,170292.0,27070.786449601168,200448.43758636757,101597.1532972,173377.65113676642,CONTRA_COSTA_COUNTY
2651325,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,80814.0,276298.0,168265.0,CONTRA COSTA,195484.0,82278.33074346793,281304.4550171839,171313.92237173795,199026.124273716,CONTRA_COSTA_COUNTY
2651326,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,61529.0,246592.0,152567.0,CONTRA COSTA,185063.0,62643.891062375806,251060.18925796574,155331.47829013132,188416.29819558994,CONTRA_COSTA_COUNTY
2651327,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,49351.0,146978.0,135959.0,CONTRA COSTA,97627.0,50245.228555954236,149641.2069197593,138422.54522175805,99395.97836380507,CONTRA_COSTA_COUNTY
2651328,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,116081.0,295387.0,149006.0,CONTRA COSTA,179306.0,118184.36051961913,300739.3432242032,151705.95380455346,182554.9827045841,CONTRA_COSTA_COUNTY
2651329,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,37096.0,209303.0,141618.0,CONTRA COSTA,172207.0,37768.1708275755,213095.52131561446,144184.08497572748,175327.350488039,CONTRA_COSTA_COUNTY
2651330,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,67038.0,260940.0,156317.0,CONTRA COSTA,193902.0,68252.71285149359,265668.17165590764,159149.42741142222,197415.45880441405,CONTRA_COSTA_COUNTY
2651331,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,64480.0,227018.0,136747.0,CONTRA COSTA,162538.0,65648.36249089034,231131.5129645928,139224.82359711197,165483.15047370244,CONTRA_COSTA_COUNTY
2651332,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,BATTALION CHIEF-56 HOUR,93643.0,238890.0,108065.0,CONTRA COSTA,145247.0,95339.7892173456,243218.63082271704,110023.11247794765,147878.84160537142,CONTRA_COSTA_COUNTY
2651354,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-40 HOUR,85130.0,221013.0,127953.0,CONTRA COSTA,135883.0,86672.53565213236,225017.70377169893,130271.47837774336,138345.16811956657,CONTRA_COSTA_COUNTY
2651355,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-40 HOUR,42625.0,184332.0,126346.0,CONTRA COSTA,141707.0,43397.35501200683,187672.05264687963,128635.35991429948,144274.69763487278,CONTRA_COSTA_COUNTY
2651356,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-40 HOUR,964.0,92317.0,123441.0,CONTRA COSTA,91353.0,981.4674541131868,93989.76240805713,125677.72199500611,93008.29495394394,CONTRA_COSTA_COUNTY
2651357,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-40 HOUR,48166.0,192010.0,134775.0,CONTRA COSTA,143844.0,49038.756633626304,195489.17620775208,137217.0914191958,146450.4195741258,CONTRA_COSTA_COUNTY
2651358,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-56 HOUR,48731.0,194011.0,136584.0,CONTRA COSTA,145280.0,49613.99430123414,197526.43385887294,139058.87007530653,147912.43955763878,CONTRA_COSTA_COUNTY
2651359,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-56 HOUR,80118.0,214857.0,120942.0,CONTRA COSTA,134739.0,81569.71938655633,218750.15849418775,123133.44070057785,137180.43910763142,CONTRA_COSTA_COUNTY
2651360,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-56 HOUR,35050.0,179451.0,130692.0,CONTRA COSTA,144401.0,35685.09778699917,182702.61007060736,133060.10841593426,147017.5122836082,CONTRA_COSTA_COUNTY
2651361,2018,COUNTY,1155879.0,CONTRA COSTA,CCC FIRE PROTECTION DISTRICT,FIRE CAPTAIN-56 HOUR,70225.0,200797.0,123150.0,CONTRA COSTA,130572.0,71497.46054470802,204435.39458876097,125381.44914319394,132937.93404405293,CONTRA_COSTA_COUNTY
