index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
904611,2019,CITY,168248.0,CORONA,FIRE,BATTALION CHIEF,64738.0,247480.0,36307.0,RIVERSIDE,182742.0,64738.0,247480.0,36307.0,182742.0,CORONA_CITY
904612,2019,CITY,168248.0,CORONA,FIRE,BATTALION CHIEF,95546.0,263861.0,54780.0,RIVERSIDE,168315.0,95546.0,263861.0,54780.0,168315.0,CORONA_CITY
904613,2019,CITY,168248.0,CORONA,FIRE,BATTALION CHIEF,63939.0,219502.0,52201.0,RIVERSIDE,155563.0,63939.0,219502.0,52201.0,155563.0,CORONA_CITY
904614,2019,CITY,168248.0,CORONA,FIRE,DEPUTY FIRE CHIEF,2280.0,189096.0,58125.0,RIVERSIDE,186816.0,2280.0,189096.0,58125.0,186816.0,CORONA_CITY
904615,2019,CITY,168248.0,CORONA,FIRE,DEPUTY FIRE MARSHAL,18712.0,127770.0,38685.0,RIVERSIDE,109058.0,18712.0,127770.0,38685.0,109058.0,CORONA_CITY
904620,2019,CITY,168248.0,CORONA,FIRE,FIRE CAPTAIN,75366.0,209100.0,46344.0,RIVERSIDE,133734.0,75366.0,209100.0,46344.0,133734.0,CORONA_CITY
904621,2019,CITY,168248.0,CORONA,FIRE,FIRE CAPTAIN,79748.0,211757.0,47762.0,RIVERSIDE,132009.0,79748.0,211757.0,47762.0,132009.0,CORONA_CITY
904622,2019,CITY,168248.0,CORONA,FIRE,FIRE CAPTAIN,29707.0,159487.0,41756.0,RIVERSIDE,129780.0,29707.0,159487.0,41756.0,129780.0,CORONA_CITY
904623,2019,CITY,168248.0,CORONA,FIRE,FIRE CAPTAIN,62208.0,201252.0,27857.0,RIVERSIDE,139044.0,62208.0,201252.0,27857.0,139044.0,CORONA_CITY
904624,2019,CITY,168248.0,CORONA,FIRE,FIRE CAPTAIN,91472.0,228226.0,48814.0,RIVERSIDE,136754.0,91472.0,228226.0,48814.0,136754.0,CORONA_CITY
