index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
934281,2018,CITY,206283.0,GLENDALE,FIRE,ASST FIRE MARSHAL,0.0,149298.0,47345.0,LOS ANGELES,149298.0,0.0,149298.0,47345.0,149298.0,GLENDALE_CITY
934287,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,27927.0,200123.0,96401.0,LOS ANGELES,172196.0,27927.0,200123.0,96401.0,172196.0,GLENDALE_CITY
934288,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,56247.0,232401.0,80748.0,LOS ANGELES,176154.0,56247.0,232401.0,80748.0,176154.0,GLENDALE_CITY
934289,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,24297.0,211818.0,101059.0,LOS ANGELES,187521.0,24297.0,211818.0,101059.0,187521.0,GLENDALE_CITY
934293,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,74192.0,216224.0,70040.0,LOS ANGELES,142032.0,74192.0,216224.0,70040.0,142032.0,GLENDALE_CITY
934294,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,1985.0,11533.0,3197.0,LOS ANGELES,9548.0,1985.0,11533.0,3197.0,9548.0,GLENDALE_CITY
934295,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,0.0,195.0,3183.0,LOS ANGELES,195.0,0.0,195.0,3183.0,195.0,GLENDALE_CITY
934296,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,88886.0,219156.0,64873.0,LOS ANGELES,130270.0,88886.0,219156.0,64873.0,130270.0,GLENDALE_CITY
934297,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,163225.0,304680.0,83159.0,LOS ANGELES,141455.0,163225.0,304680.0,83159.0,141455.0,GLENDALE_CITY
934298,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,46999.0,151925.0,80466.0,LOS ANGELES,104926.0,46999.0,151925.0,80466.0,104926.0,GLENDALE_CITY
934299,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,107963.0,239559.0,78385.0,LOS ANGELES,131596.0,107963.0,239559.0,78385.0,131596.0,GLENDALE_CITY
934300,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,44726.0,180052.0,83423.0,LOS ANGELES,135326.0,44726.0,180052.0,83423.0,135326.0,GLENDALE_CITY
934301,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,68241.0,207606.0,83423.0,LOS ANGELES,139365.0,68241.0,207606.0,83423.0,139365.0,GLENDALE_CITY
934302,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,140982.0,285382.0,70689.0,LOS ANGELES,144400.0,140982.0,285382.0,70689.0,144400.0,GLENDALE_CITY
934303,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,52095.0,179772.0,73998.0,LOS ANGELES,127677.0,52095.0,179772.0,73998.0,127677.0,GLENDALE_CITY
934304,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,30383.0,179871.0,66905.0,LOS ANGELES,149488.0,30383.0,179871.0,66905.0,149488.0,GLENDALE_CITY
934305,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,25034.0,165449.0,83159.0,LOS ANGELES,140415.0,25034.0,165449.0,83159.0,140415.0,GLENDALE_CITY
934309,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56862.0,199330.0,83998.0,LOS ANGELES,142468.0,56862.0,199330.0,83998.0,142468.0,GLENDALE_CITY
934310,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,105962.0,253195.0,86594.0,LOS ANGELES,147233.0,105962.0,253195.0,86594.0,147233.0,GLENDALE_CITY
934311,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,66503.0,211228.0,88545.0,LOS ANGELES,144725.0,66503.0,211228.0,88545.0,144725.0,GLENDALE_CITY
934312,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,33334.0,182167.0,86858.0,LOS ANGELES,148833.0,33334.0,182167.0,86858.0,148833.0,GLENDALE_CITY
