index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
1051478,2018,CITY,178268.0,ONTARIO,FIRE,DEPUTY FIRE MARSHAL,0.0,109677.0,33473.0,SAN BERNARDINO,109677.0,0.0,109677.0,33473.0,109677.0,ONTARIO_CITY
1051482,2018,CITY,178268.0,ONTARIO,FIRE,FIRE BATTALION CHIEF,0.0,116319.0,53015.0,SAN BERNARDINO,116319.0,0.0,116319.0,53015.0,116319.0,ONTARIO_CITY
1051488,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN,3296.0,76767.0,50057.0,SAN BERNARDINO,73471.0,3296.0,76767.0,50057.0,73471.0,ONTARIO_CITY
1051489,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN,0.0,43867.0,12678.0,SAN BERNARDINO,43867.0,0.0,43867.0,12678.0,43867.0,ONTARIO_CITY
1051490,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN,0.0,43245.0,2336.0,SAN BERNARDINO,43245.0,0.0,43245.0,2336.0,43245.0,ONTARIO_CITY
1051491,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN,0.0,31246.0,1633.0,SAN BERNARDINO,31246.0,0.0,31246.0,1633.0,31246.0,ONTARIO_CITY
1051492,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN - 40 HR,95963.0,274928.0,61356.0,SAN BERNARDINO,178965.0,95963.0,274928.0,61356.0,178965.0,ONTARIO_CITY
1051493,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN - 40 HR,142933.0,315231.0,60637.0,SAN BERNARDINO,172298.0,142933.0,315231.0,60637.0,172298.0,ONTARIO_CITY
1051494,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN - 40 HR,14205.0,190340.0,47470.0,SAN BERNARDINO,176135.0,14205.0,190340.0,47470.0,176135.0,ONTARIO_CITY
1051495,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CAPTAIN - 40 HR,45133.0,213012.0,59316.0,SAN BERNARDINO,167879.0,45133.0,213012.0,59316.0,167879.0,ONTARIO_CITY
1051527,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CHIEF,0.0,287743.0,87400.0,SAN BERNARDINO,287743.0,0.0,287743.0,87400.0,287743.0,ONTARIO_CITY
1051528,2018,CITY,178268.0,ONTARIO,FIRE,FIRE CHIEF,1371.0,263978.0,75875.0,SAN BERNARDINO,262607.0,1371.0,263978.0,75875.0,262607.0,ONTARIO_CITY
1051543,2018,CITY,178268.0,ONTARIO,FIRE,FIRE ENGINEER,3244.0,45983.0,2315.0,SAN BERNARDINO,42739.0,3244.0,45983.0,2315.0,42739.0,ONTARIO_CITY
1051544,2018,CITY,178268.0,ONTARIO,FIRE,FIRE ENGINEER,3244.0,46682.0,2280.0,SAN BERNARDINO,43438.0,3244.0,46682.0,2280.0,43438.0,ONTARIO_CITY
1051545,2018,CITY,178268.0,ONTARIO,FIRE,FIRE ENGINEER,0.0,37997.0,3127.0,SAN BERNARDINO,37997.0,0.0,37997.0,3127.0,37997.0,ONTARIO_CITY
1051546,2018,CITY,178268.0,ONTARIO,FIRE,FIRE ENGINEER,0.0,33464.0,17463.0,SAN BERNARDINO,33464.0,0.0,33464.0,17463.0,33464.0,ONTARIO_CITY
1051595,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,0.0,14156.0,20983.0,SAN BERNARDINO,14156.0,0.0,14156.0,20983.0,14156.0,ONTARIO_CITY
1051596,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,32017.0,103848.0,24619.0,SAN BERNARDINO,71831.0,32017.0,103848.0,24619.0,71831.0,ONTARIO_CITY
1051597,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,160.0,5246.0,4192.0,SAN BERNARDINO,5086.0,160.0,5246.0,4192.0,5086.0,ONTARIO_CITY
1051598,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,2992.0,34546.0,12628.0,SAN BERNARDINO,31554.0,2992.0,34546.0,12628.0,31554.0,ONTARIO_CITY
1051599,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,0.0,322.0,1052.0,SAN BERNARDINO,322.0,0.0,322.0,1052.0,322.0,ONTARIO_CITY
1051600,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,464.0,18576.0,8435.0,SAN BERNARDINO,18112.0,464.0,18576.0,8435.0,18112.0,ONTARIO_CITY
1051601,2018,CITY,178268.0,ONTARIO,FIRE,FIREFIGHTER,49537.0,188080.0,33209.0,SAN BERNARDINO,138543.0,49537.0,188080.0,33209.0,138543.0,ONTARIO_CITY
1616481,2013,CITY,167382.0,ONTARIO,E.M.S. TECHNICAL SERVICES,FIRE CAPTAIN,29686.0,162003.0,67821.0,SAN BERNARDINO,132317.0,31998.877054563716,174624.87635486378,73105.02730976103,142625.99930030006,ONTARIO_CITY
1616482,2013,CITY,167382.0,ONTARIO,E.M.S. TECHNICAL SERVICES,SENIOR DEPUTY FIRE CHIEF,0.0,214936.0,79515.0,SAN BERNARDINO,214936.0,0.0,231681.95912550387,85710.12291968046,231681.95912550387,ONTARIO_CITY
1616490,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,DEPUTY FIRE CHIEF,0.0,190968.0,81949.0,SAN BERNARDINO,190968.0,0.0,205846.57930862776,88333.7592044884,205846.57930862776,ONTARIO_CITY
1616491,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,40435.0,190301.0,70287.0,SAN BERNARDINO,149866.0,43585.34641586216,205127.612422035,75763.15675854342,161542.2660061728,ONTARIO_CITY
1616492,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,64707.0,244791.0,83441.0,SAN BERNARDINO,180084.0,69748.41129049567,263863.00320230774,89942.00297479793,194114.59191181205,ONTARIO_CITY
1616493,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,72008.0,232205.0,77709.0,SAN BERNARDINO,160197.0,77618.24223354524,250296.41064660004,83763.41497787146,172678.16841305475,ONTARIO_CITY
1616494,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,57361.0,215161.0,67771.0,SAN BERNARDINO,157800.0,61830.074335607,231924.4891846993,73051.13174105094,170094.41484909234,ONTARIO_CITY
1616495,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,67046.0,239728.0,83261.0,SAN BERNARDINO,172682.0,72269.64599475439,258405.53791472246,89747.97892744155,186135.89191996807,ONTARIO_CITY
1616496,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,0.0,66620.0,3598.0,SAN BERNARDINO,66620.0,0.0,71810.4557493443,3878.3251243791774,71810.4557493443,ONTARIO_CITY
1616497,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE BATTALION CHIEF,48620.0,201904.0,83441.0,SAN BERNARDINO,153284.0,52408.05101370639,217634.618096902,89942.00297479793,165226.5670831956,ONTARIO_CITY
1616498,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE CAPTAIN,62743.0,198486.0,69164.0,SAN BERNARDINO,135743.0,67631.39335156274,213950.3170198792,74552.66228531447,146318.92366831648,ONTARIO_CITY
1616499,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE CAPTAIN,49610.0,177513.0,67009.0,SAN BERNARDINO,127903.0,53475.18327416648,191343.28176873847,72229.76327390892,137868.09849457195,ONTARIO_CITY
1616500,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE CAPTAIN,11631.0,142855.0,68160.0,SAN BERNARDINO,131224.0,12537.187193344695,153985.02936164185,73470.43926561555,141447.84216829715,ONTARIO_CITY
1616501,2013,CITY,167382.0,ONTARIO,EMERGENCY SERVICES,FIRE CAPTAIN,44956.0,206483.0,76367.0,SAN BERNARDINO,161527.0,48458.58373862987,222570.37427937347,82316.85791369223,174111.79054074356,ONTARIO_CITY
