,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
0,90001,3374,2541,809,1479,2485,371,411,144,224,1010,15316
1,90002,3055,2217,728,1426,2490,268,366,181,225,1115,14216
2,90003,4456,2974,966,1671,3095,341,489,252,360,1412,18950
3,90004,5105,2946,601,488,1643,949,744,1075,875,665,19282
4,90005,2635,1589,217,214,831,697,576,770,619,411,10091
5,90006,4461,2610,421,457,1784,515,734,642,490,744,14406
6,90007,2067,1373,317,422,1062,339,239,97,247,590,8029
7,90008,1757,1339,508,600,1084,503,450,426,685,742,10135
8,90010,1118,136,262,51,57,262,452,240,480,0,3831
9,90011,6199,4467,1326,2395,4172,423,593,294,370,1740,26392
10,90012,2885,1442,4723,1022,467,768,284,391,458,255,17343
11,90013,370,243,0,41,76,227,40,27,134,38,1662
12,90014,125,121,24,0,12,211,22,25,249,41,1241
13,90015,1231,873,200,155,666,629,167,236,780,213,6528
14,90016,3848,2578,805,1006,1752,541,573,426,545,895,16002
15,90017,1386,850,351,223,513,443,245,201,445,224,5811
16,90018,4244,2530,619,911,1967,440,475,412,434,873,15319
17,90019,5297,3265,975,866,1801,1132,940,1176,920,961,22278
18,90020,3394,2030,238,220,911,788,805,891,677,533,12238
19,90021,37,12,108,0,0,60,47,0,75,44,943
20,90022,4319,3737,1479,2123,2525,335,706,270,248,1139,20162
21,90023,2785,2382,867,1267,1742,224,377,114,108,721,12578
22,90024,1568,1052,211,135,247,1289,207,1123,1720,97,11943
23,90025,3263,2368,789,391,634,1548,615,1458,1416,337,19698
24,90026,5517,3505,716,729,1574,826,653,627,512,766,21050
25,90027,3849,2407,578,487,769,1034,573,855,937,668,17567
26,90028,2009,1249,438,226,733,671,427,261,580,408,9323
27,90029,2808,1815,364,297,1030,334,320,279,296,411,9587
28,90031,3402,2330,457,727,1140,239,281,314,174,516,11348
29,90032,3550,3102,744,896,1465,383,442,330,262,818,14670
30,90033,2766,2202,644,951,1602,201,356,93,108,712,11102
31,90034,4983,3870,1142,722,1406,1052,985,1013,855,710,22851
32,90035,2175,1671,328,271,496,911,470,906,769,376,11717
33,90036,2658,1972,529,326,611,1557,641,975,1074,483,16225
34,90037,4433,2700,694,1186,2531,311,480,218,328,1017,16092
35,90038,2069,1444,577,217,763,439,374,227,399,296,8641
36,90039,2862,1742,465,404,600,604,313,458,391,341,11541
37,90040,1014,877,657,429,520,70,202,37,87,218,4951
38,90041,2515,1793,376,317,592,401,303,419,329,403,9741
39,90042,5220,3910,936,1049,1807,643,622,634,503,1055,21333
40,90043,2886,2089,902,1105,1737,660,612,688,899,994,15928
41,90044,5799,4004,1319,2137,4038,550,836,430,703,2109,26664
42,90045,14689,3478,8717,6637,9675,1416,4898,1001,1067,4530,83693
43,90046,3470,2162,1451,657,761,2067,673,1141,1619,572,22826
44,90047,3312,2225,1040,1499,2264,594,683,589,836,1409,18081
45,90048,1383,912,229,144,249,1108,255,687,1000,141,9866
46,90049,2086,1127,446,206,229,2050,274,1652,2285,141,18525
47,90054,0,0,14,22,0,0,0,0,0,0,57
48,90056,494,405,173,94,183,235,125,273,449,85,3053
49,90057,3049,1701,337,249,1119,302,436,270,227,424,8935
50,90058,261,119,159,52,246,45,0,11,57,13,1929
51,90059,2497,1734,550,1223,1912,234,394,183,264,1034,11842
52,90061,1615,1189,386,725,1353,126,256,154,219,676,7678
53,90062,2638,1678,415,628,1442,269,304,187,277,665,9633
54,90063,3957,2945,6378,2334,1935,228,482,193,181,911,22773
55,90064,2143,1563,489,319,391,1053,325,1046,911,210,12777
56,90065,4126,2727,1085,952,1286,624,480,611,423,773,17261
57,90066,4963,3124,1192,893,1112,1153,734,1104,879,593,23362
58,90067,70,24,14,67,0,241,0,242,485,0,1835
59,90068,1614,864,302,255,421,960,245,439,813,218,9774
60,90069,1073,743,241,62,237,1234,195,498,1135,137,9523
61,90071,0,0,61,0,0,0,0,0,0,0,102
62,90077,315,156,46,15,0,560,27,333,770,0,3789
63,90089,0,0,51,0,0,0,0,0,0,0,51
64,90094,439,400,71,13,54,477,124,311,380,11,3928
65,90095,0,0,11,103,0,0,0,0,0,0,114
66,90201,6872,5664,1877,2476,4451,583,762,316,444,1880,31006
67,90202,0,0,11,0,0,0,0,0,0,0,11
68,90209,0,0,0,0,0,0,0,0,22,0,41
69,90210,690,366,190,114,11,1398,343,907,2534,83,11392
70,90211,640,319,86,55,74,553,84,449,789,41,4640
71,90212,671,358,57,43,68,739,51,685,1075,66,5729
72,90220,3174,2347,1065,1943,2410,306,549,320,468,1502,17469
73,90221,3189,2477,1297,1829,2477,266,477,280,322,1182,17138
74,90222,1649,1369,472,974,1473,156,307,79,196,825,8805
75,90230,3112,2119,780,591,670,556,457,663,513,352,13084
76,90232,1537,1049,382,240,326,292,222,307,255,96,6398
77,90240,2549,1997,648,684,925,516,412,444,549,511,11452
78,90241,4308,3294,1212,1277,1939,711,744,566,748,934,19576
79,90242,4082,3021,1046,1181,1776,510,614,430,448,885,17087
80,90245,1719,983,1001,317,332,330,238,306,342,215,8061
81,90247,4839,3110,821,1057,1939,459,663,742,511,956,18030
82,90248,1517,833,698,407,479,183,181,210,195,237,6316
83,90249,2746,1728,687,675,1075,314,383,449,393,559,10686
84,90250,8151,5472,2826,2319,3887,1022,1214,1001,1042,2085,37164
85,90254,1357,734,533,280,204,735,230,460,535,66,8945
86,90255,4937,3724,1166,1789,3278,372,515,261,316,1264,21440
87,90260,3139,1973,736,773,1225,354,357,311,325,594,11715
88,90262,4832,3547,1224,1975,3390,375,542,283,347,1327,21816
89,90265,991,366,437,178,30,590,24,426,756,0,6572
90,90266,2881,1283,1107,569,276,1625,263,1156,1272,128,18438
91,90270,1764,1436,397,720,1206,85,189,46,11,452,7170
