,zip,teslas,name,avg_house_income,avg_net_worth,population,all_vehicles,tesla_rate_1k
0,90004,279,Los Angeles,65893,232653,63987,19561,14.26
1,90005,94,Los Angeles,53191,105569,41844,11005,8.54
2,90006,36,Los Angeles,42242,39289,61184,14989,2.4
3,90007,26,Los Angeles,38564,39966,45381,9020,2.88
4,90008,100,Los Angeles,56286,284531,34600,11155,8.96
5,90010,77,Los Angeles,53753,59071,496,5194,14.82
6,90011,16,Los Angeles,43304,58679,110888,25544,0.63
7,90012,128,Los Angeles,51188,68935,35157,17472,7.33
8,90013,79,Los Angeles,49192,63747,15110,2972,26.58
9,90014,94,Los Angeles,43242,39950,9183,2564,36.66
10,90015,191,Los Angeles,62200,100689,20971,7972,23.96
11,90016,115,Los Angeles,55582,175853,48816,16564,6.94
12,90017,135,Los Angeles,43408,40713,29243,7098,19.02
13,90018,64,Los Angeles,52309,115776,52217,15905,4.02
14,90019,253,Los Angeles,72111,177964,67126,22417,11.29
15,90020,122,Los Angeles,57416,128492,40985,13210,9.24
16,90021,54,Los Angeles,40958,39156,3249,2581,20.92
17,90022,11,Los Angeles,49577,108631,69422,20177,0.55
18,90024,612,Los Angeles,123841,709379,49209,13085,46.77
19,90025,617,Los Angeles,115619,333376,44958,20373,30.29
20,90026,275,Los Angeles,72819,152557,70375,21088,13.04
21,90027,423,Los Angeles,86923,349921,48436,18045,23.44
22,90028,158,Los Angeles,50625,37237,29458,10439,15.14
23,90029,35,Los Angeles,51845,58247,39016,10431,3.36
24,90031,76,Los Angeles,55158,125306,41313,11987,6.34
25,90032,84,Los Angeles,60507,196457,48135,15362,5.47
26,90034,389,Los Angeles,88027,284628,60991,22805,17.06
27,90035,246,Los Angeles,113986,502212,29887,12711,19.35
28,90036,364,Los Angeles,117665,317300,40160,17055,21.34
29,90038,102,Los Angeles,56852,63824,30618,9802,10.41
30,90039,259,Los Angeles,100278,439489,29654,12701,20.39
31,90040,29,Los Angeles,61815,174156,12559,6646,4.36
32,90041,152,Los Angeles,94562,517547,29001,10713,14.19
