,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
0,90004,Los Angeles,279,19561,14.26,65893,232653
1,90005,Los Angeles,94,11005,8.54,53191,105569
2,90006,Los Angeles,36,14989,2.4,42242,39289
3,90007,Los Angeles,26,9020,2.88,38564,39966
4,90008,Los Angeles,100,11155,8.96,56286,284531
5,90010,Los Angeles,77,5194,14.82,53753,59071
6,90011,Los Angeles,16,25544,0.63,43304,58679
7,90012,Los Angeles,128,17472,7.33,51188,68935
8,90013,Los Angeles,79,2972,26.58,49192,63747
9,90014,Los Angeles,94,2564,36.66,43242,39950
10,90015,Los Angeles,191,7972,23.96,62200,100689
11,90016,Los Angeles,115,16564,6.94,55582,175853
12,90017,Los Angeles,135,7098,19.02,43408,40713
13,90018,Los Angeles,64,15905,4.02,52309,115776
14,90019,Los Angeles,253,22417,11.29,72111,177964
15,90020,Los Angeles,122,13210,9.24,57416,128492
16,90021,Los Angeles,54,2581,20.92,40958,39156
17,90022,Los Angeles,11,20177,0.55,49577,108631
18,90024,Los Angeles,612,13085,46.77,123841,709379
19,90025,Los Angeles,617,20373,30.29,115619,333376
20,90026,Los Angeles,275,21088,13.04,72819,152557
21,90027,Los Angeles,423,18045,23.44,86923,349921
22,90028,Los Angeles,158,10439,15.14,50625,37237
23,90029,Los Angeles,35,10431,3.36,51845,58247
24,90031,Los Angeles,76,11987,6.34,55158,125306
25,90032,Los Angeles,84,15362,5.47,60507,196457
26,90034,Los Angeles,389,22805,17.06,88027,284628
27,90035,Los Angeles,246,12711,19.35,113986,502212
28,90036,Los Angeles,364,17055,21.34,117665,317300
29,90038,Los Angeles,102,9802,10.41,56852,63824
30,90039,Los Angeles,259,12701,20.39,100278,439489
31,90040,Los Angeles,29,6646,4.36,61815,174156
32,90041,Los Angeles,152,10713,14.19,94562,517547
33,90042,Los Angeles,196,21364,9.17,71450,238700
34,90043,Los Angeles,135,16498,8.18,66403,443312
35,90044,Los Angeles,12,25789,0.47,43448,85014
36,90045,Los Angeles,488,84389,5.78,122098,969118
37,90046,Los Angeles,749,23598,31.74,104552,416475
38,90047,Los Angeles,70,18349,3.81,55403,269341
39,90048,Los Angeles,324,10912,29.69,131176,392422
40,90049,Los Angeles,1256,19572,64.17,199864,1678098
41,90056,Los Angeles,110,4375,25.14,134704,1546050
42,90058,Los Angeles,16,3503,4.57,34949,39695
43,90063,Los Angeles,11,22692,0.48,51917,115560
44,90064,Los Angeles,566,13849,40.87,148352,1156819
45,90065,Los Angeles,284,17724,16.02,83940,402613
46,90066,Los Angeles,658,23371,28.15,109187,587302
47,90067,Los Angeles,191,3045,62.73,180115,2157237
48,90068,Los Angeles,498,10872,45.81,132979,666654
49,90069,West Hollywood,404,10729,37.65,125721,484728
50,90077,Los Angeles,417,5178,80.53,280179,3548806
51,90094,Playa Vista,352,5085,69.22,157974,466653
52,90201,Bell Gardens,30,30137,1.0,48301,69959
