,zip,total
0,90001,15935
1,90002,14634
2,90003,19526
3,90004,21021
4,90005,10873
5,90006,15710
6,90007,8989
7,90008,10786
8,90010,4903
9,90011,27073
10,90012,16102
11,90013,1874
12,90014,1341
13,90015,7159
14,90016,17339
15,90017,6993
16,90018,16307
17,90019,24200
18,90020,13216
19,90021,711
20,90022,21045
21,90023,13074
22,90024,13918
23,90025,22312
24,90026,22881
25,90027,19420
26,90028,10320
27,90029,10319
28,90031,12073
29,90032,15530
30,90033,11738
31,90034,25516
32,90035,13107
33,90036,18584
34,90037,16837
35,90038,9180
36,90039,12844
37,90040,5074
38,90041,10710
39,90042,22809
40,90043,16852
41,90044,26888
42,90045,117752
43,90046,25515
44,90047,18554
45,90048,11143
46,90049,21065
47,90054,76
48,90056,3437
49,90057,9504
50,90058,1432
51,90059,12222
52,90061,7999
53,90062,10240
54,90063,22406
55,90064,14363
56,90065,18642
57,90066,25787
58,90067,2424
59,90068,10874
60,90069,11350
61,90071,167
62,90077,4692
63,90089,104
64,90094,4502
65,90095,200
66,90201,31888
67,90209,56
68,90210,13733
69,90211,5414
70,90212,6618
71,90220,17997
72,90221,17046
73,90222,9028
74,90230,14624
75,90232,7176
76,90240,12151
77,90241,20543
78,90242,17972
79,90245,8833
80,90247,19025
81,90248,5847
82,90249,11482
83,90250,38137
84,90254,10300
85,90255,22567
86,90260,13053
87,90262,22972
88,90265,8043
89,90266,20353
90,90270,7801
91,90272,13107
92,90274,15573
93,90275,24233
94,90277,19545
95,90278,21185
96,90280,33963
97,90290,2073
98,90291,11267
99,90292,13510
100,90293,5824
101,90301,12654
102,90302,9844
103,90303,7817
104,90304,8436
105,90305,5620
106,90401,3346
107,90402,5383
108,90403,12350
109,90404,8817
110,90405,12869
111,90501,22248
112,90502,7448
113,90503,23559
114,90504,15868
115,90505,19464
116,90601,14783
117,90602,9011
118,90603,9423
119,90604,17074
120,90605,17027
121,90606,13038
122,90620,22563
123,90621,17009
124,90623,7816
125,90630,27080
126,90631,32860
127,90638,23151
128,90640,26393
129,90650,45286
130,90660,26134
131,90670,10048
132,90680,11688
133,90701,6109
134,90703,29320
135,90704,745
136,90706,32073
137,90710,10306
138,90712,15341
139,90713,13472
140,90715,8030
141,90716,3800
142,90717,8254
143,90720,11764
144,90723,20345
145,90731,22514
146,90732,9154
147,90740,13050
148,90744,17446
149,90745,25612
150,90746,13010
151,90749,119
152,90755,6257
153,90801,25
154,90802,14653
155,90803,16432
156,90804,12401
157,90805,34008
158,90806,15352
159,90807,14895
160,90808,20166
161,90810,13479
162,90813,13729
163,90814,7397
164,90815,18670
165,91001,17460
166,91006,17491
167,91007,15907
168,91008,41
169,91010,11056
170,91011,12334
171,91016,19596
172,91020,3075
173,91024,4657
174,91030,12437
175,91040,9763
176,91042,13178
177,91101,9326
178,91103,9904
179,91104,15351
180,91105,7066
181,91106,11154
182,91107,17693
183,91108,6850
184,91109,49
185,91201,11082
186,91202,11301
187,91203,7293
188,91204,7683
189,91205,15661
190,91206,16423
191,91207,4801
192,91208,8705
193,91214,17375
194,91301,15612
195,91302,17020
196,91303,9954
197,91304,22701
198,91306,20070
199,91307,13547
200,91311,20684
