,zipcode,amount_rcvd
775,95814,129450
219,90010,93300
258,90056,74040
256,90049,71149
218,90008,70176
226,90017,66303
228,90019,64660
233,90024,62600
229,90020,56550
275,90210,55000
264,90064,50480
252,90045,48200
266,90066,47644
250,90043,42852
267,90067,42000
432,91436,41800
236,90027,41550
282,90230,41387
298,90272,41205
296,90266,39650
214,90004,39500
243,90036,39210
776,95815,38900
314,90402,38050
253,90046,37815
234,90025,36365
277,90212,36200
224,90015,35361
215,90005,35350
276,90211,32010
354,90802,31248
269,90069,30989
225,90016,30465
270,90071,28550
306,90292,27550
221,90012,26800
283,90232,26210
255,90048,25700
216,90006,23062
295,90265,22961
242,90035,22810
369,91011,22070
393,91302,21800
305,90291,21576
241,90034,21245
227,90018,21130
401,91326,20716
246,90039,20300
379,91105,20075
317,90405,20050
427,91403,19650
418,91367,19450
268,90068,18800
260,90058,17500
384,91202,17450
398,91316,17250
307,90293,17050
308,90301,17035
300,90275,17000
289,90250,16950
301,90277,16950
438,91601,16750
376,91101,15750
364,91001,15700
568,92660,15515
230,90021,15300
431,91423,14697
435,91505,14600
482,91801,14450
794,95841,14392
254,90047,14330
235,90026,14190
271,90077,13950
795,95864,13500
237,90028,13450
299,90274,13400
651,94115,13050
287,90248,12700
312,90305,12325
390,91208,12100
704,94612,12100
359,90807,11850
407,91344,11600
309,90302,11550
251,90044,11450
670,94501,10950
377,91103,10800
644,94107,10672
249,90042,10312
440,91604,10225
320,90503,10150
380,91106,10100
232,90023,10000
285,90245,10000
326,90620,10000
288,90249,9975
259,90057,9850
381,91107,9805
265,90065,9700
415,91361,9450
774,95811,9450
777,95816,9300
643,94105,9250
358,90806,9000
367,91008,8800
316,90404,8700
313,90401,8500
556,92618,8500
315,90403,8400
439,91602,8350
392,91301,8300
321,90504,8300
417,91364,8250
355,90803,8225
284,90241,8150
245,90038,8114
353,90755,8100
650,94114,8000
559,92626,8000
632,94025,7850
778,95818,7600
697,94605,7592
630,94010,7550
382,91108,7550
373,91030,7500
409,91350,7500
222,90013,7500
554,92614,7500
220,90011,7500
302,90278,7400
347,90731,7400
330,90631,7250
416,91362,7250
489,92024,7250
396,91307,7050
486,92011,7000
286,90247,7000
274,90201,7000
149,63105,7000
779,95819,6900
792,95835,6850
757,95618,6800
48,20001,6750
788,95831,6650
425,91401,6650
352,90746,6600
278,90220,6600
711,94705,6561
667,94402,6500
722,94901,6500
430,91411,6500
363,90815,6500
735,95060,6500
633,94027,6222
338,90703,6050
142,60611,6000
470,91766,6000
590,92868,6000
584,92833,6000
441,91605,6000
434,91504,6000
509,92120,6000
414,91356,5950
322,90505,5700
223,90014,5525
602,93065,5500
771,95757,5463
791,95834,5450
446,91702,5400
490,92037,5300
261,90059,5300
332,90640,5100
279,90221,5100
303,90280,5100
683,94563,5000
646,94109,5000
247,90040,5000
248,90041,4950
318,90501,4950
240,90033,4950
469,91765,4900
391,91214,4850
699,94607,4800
472,91770,4750
436,91506,4750
57,20036,4750
575,92780,4750
641,94103,4750
294,90262,4750
366,91007,4700
272,90094,4700
714,94708,4650
375,91042,4600
211,90001,4600
244,90037,4600
478,91789,4500
153,63146,4500
411,91352,4500
351,90745,4500
763,95661,4500
346,90723,4500
588,92861,4500
549,92592,4500
466,91754,4310
706,94618,4300
648,94111,4266
231,90022,4250
462,91746,4150
456,91732,4100
413,91355,4100
578,92807,4000
71,2116,4000
770,95746,4000
428,91405,3875
291,90254,3850
348,90732,3850
394,91303,3750
429,91406,3750
516,92203,3749
329,90630,3700
365,91006,3700
454,91730,3600
405,91342,3550
652,94117,3545
564,92649,3500
402,91331,3500
331,90638,3500
9,10014,3500
397,91311,3500
51,20004,3500
537,92503,3500
238,90031,3450
532,92405,3400
406,91343,3350
443,91607,3350
304,90290,3300
663,94303,3250
723,94904,3250
733,95032,3250
700,94608,3250
718,94804,3200
727,94949,3200
311,90304,3100
340,90710,3100
637,94065,3000
591,92870,3000
371,91020,3000
395,91304,3000
749,95404,3000
740,95122,3000
734,95037,3000
400,91325,3000
408,91345,3000
724,94920,3000
437,91522,3000
444,91608,3000
484,91902,3000
485,92008,3000
491,92040,3000
522,92316,3000
682,94558,3000
550,92602,3000
576,92804,3000
586,92844,3000
493,92075,3000
0,00nan,3000
194,85033,3000
69,21076,3000
13,10022,3000
173,78249,3000
151,63131,3000
143,60614,3000
179,78732,3000
137,60035,3000
136,60015,3000
133,54481,3000
53,20006,3000
169,77002,3000
85,27514,3000
30,11238,3000
33,11542,3000
167,76131,3000
49,20002,3000
45,19192,3000
205,89102,3000
362,90814,2960
378,91104,2950
782,95822,2950
217,90007,2850
212,90002,2850
127,48070,2840
805,98103,2840
571,92679,2800
448,91709,2750
426,91402,2750
694,94602,2700
372,91024,2500
350,90744,2500
642,94104,2500
769,95722,2500
625,93901,2500
558,92625,2500
565,92651,2500
103,32830,2500
207,89117,2500
687,94577,2500
496,92101,2500
703,94611,2500
572,92701,2500
467,91761,2500
