geoid,name,universe,white_alone,black_alone,latino_alone,asian_alone,other_multirace
06001,Alameda County,1656754,520447,171168,371019,509283,84837
06005,Amador County,38429,30035,848,5340,529,1677
06007,Butte County,225817,162537,3342,36916,10533,12489
06009,Calaveras County,45514,36837,315,5489,703,2170
06011,Colusa County,21454,7576,256,12738,311,573
06013,Contra Costa County,1142251,500592,95892,292298,193534,59935
06015,Del Norte County,27495,17028,899,5429,906,3233
06017,El Dorado County,188563,146747,1426,24199,8959,7232
06019,Fresno County,984521,289650,44209,522364,100687,27611
06021,Glenn County,27976,14398,193,11680,836,869
06023,Humboldt County,135940,101078,1336,15722,4505,13299
06025,Imperial County,180701,19228,3882,152172,2607,2812
06027,Inyo County,17977,11173,141,4020,359,2284
06029,Kern County,887641,303225,45761,473374,41845,23436
06031,Kings County,150691,48537,8779,82116,5806,5453
06033,Lake County,64195,45258,1331,13224,726,3656
06035,Lassen County,30818,20164,2612,5844,674,1524
06037,Los Angeles County,10081570,2641770,790252,4888434,1479366,281748
06039,Madera County,155433,53053,4770,89798,3161,4651
06041,Marin County,259943,184960,5527,41527,15359,12570
06043,Mariposa County,17420,13935,253,1963,263,1006
06045,Mendocino County,87224,56857,626,21898,1938,5905
06047,Merced County,271382,75037,7812,161814,20257,6462
06049,Modoc County,8907,6920,136,1291,108,452
06051,Mono County,14310,9308,59,3865,363,715
06053,Monterey County,433410,129738,10737,254294,25330,13311
06055,Napa County,139623,73210,2780,47544,11480,4609
06057,Nevada County,99244,84513,478,9373,1167,3713
06059,Orange County,3168044,1285855,51269,1078726,651876,100318
06061,Placer County,385512,280105,6361,53969,29139,15938
06063,Plumas County,18660,15514,141,1670,298,1037
06065,Riverside County,2411439,851702,147160,1179478,158818,74281
06067,Sacramento County,1524553,681829,144695,353318,252460,92251
06069,San Benito County,60376,20703,454,36081,1790,1348
06071,San Bernardino County,2149031,613066,169340,1145874,156325,64426
06073,San Diego County,3316073,1510756,156084,1117517,398404,133312
06075,San Francisco County,874961,354423,43782,133314,301042,42400
06077,San Joaquin County,742603,236509,50030,307463,116940,31661
06079,San Luis Obispo County,282165,194375,4909,63534,10234,9113
06081,San Mateo County,767423,301123,16718,187248,227379,34955
06083,Santa Barbara County,444829,197993,8409,201837,24269,12321
06085,Santa Clara County,1927470,607903,45259,490978,705519,77811
06087,Santa Cruz County,273962,156897,2491,91980,12702,9892
06089,Shasta County,179212,143013,2030,17975,5989,10205
06093,Siskiyou County,43468,33081,684,5467,820,3416
06095,Solano County,441829,168060,59652,116869,70158,27090
06097,Sonoma County,499772,316022,7399,133569,21565,21217
06099,Stanislaus County,543194,227369,15311,251259,32909,16346
06101,Sutter County,96109,44412,1684,29748,15290,4975
06103,Tehama County,63912,43679,472,15958,982,2821
06105,Trinity County,12700,10427,127,927,238,981
06107,Tulare County,461898,131716,5785,298245,15573,10579
06109,Tuolumne County,54045,43341,948,6617,855,2284
06111,Ventura County,847263,384818,14297,361601,62131,24416
06113,Yolo County,217352,101452,5279,68704,31038,10879
06115,Yuba County,76360,42145,2554,21563,5371,4727
06091,Sierra County,3040,2662,2,324,0,52
06003,Alpine County,1039,551,9,130,10,339
