NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,zip code tabulation area
ZCTA5 43964,8642.0,,306.0,,43964
ZCTA5 28216,51116.0,,1832.0,,28216
ZCTA5 28277,71605.0,,1470.0,,28277
ZCTA5 28278,27286.0,,1201.0,,28278
ZCTA5 28303,29414.0,,937.0,,28303
ZCTA5 28314,58110.0,,1294.0,,28314
ZCTA5 28330,444.0,,256.0,,28330
ZCTA5 28347,2329.0,,478.0,,28347
ZCTA5 28351,4698.0,,401.0,,28351
ZCTA5 28357,2682.0,,367.0,,28357
ZCTA5 28369,2865.0,,373.0,,28369
ZCTA5 28371,7249.0,,777.0,,28371
ZCTA5 28392,1628.0,,540.0,,28392
ZCTA5 28428,6533.0,,125.0,,28428
ZCTA5 28433,5375.0,,829.0,,28433
ZCTA5 28435,2058.0,,287.0,,28435
ZCTA5 28450,2596.0,,314.0,,28450
ZCTA5 28461,19897.0,,628.0,,28461
ZCTA5 28462,12659.0,,1145.0,,28462
ZCTA5 28537,146.0,,86.0,,28537
ZCTA5 28547,25420.0,,1109.0,,28547
ZCTA5 28552,146.0,,121.0,,28552
ZCTA5 28557,15204.0,,404.0,,28557
ZCTA5 28560,27590.0,,1303.0,,28560
ZCTA5 28562,38598.0,,1130.0,,28562
ZCTA5 28570,21590.0,,709.0,,28570
ZCTA5 28574,18116.0,,1540.0,,28574
ZCTA5 28579,554.0,,196.0,,28579
ZCTA5 28373,2602.0,,383.0,,28373
ZCTA5 28364,15183.0,,844.0,,28364
ZCTA5 28366,5564.0,,790.0,,28366
ZCTA5 28377,12933.0,,783.0,,28377
ZCTA5 28383,8854.0,,643.0,,28383
ZCTA5 28386,5997.0,,612.0,,28386
ZCTA5 28398,7765.0,,883.0,,28398
ZCTA5 28425,11634.0,,699.0,,28425
ZCTA5 28429,7525.0,,746.0,,28429
ZCTA5 28464,2707.0,,510.0,,28464
ZCTA5 28073,5366.0,,724.0,,28073
ZCTA5 28098,3629.0,,93.0,,28098
ZCTA5 28119,2453.0,,443.0,,28119
ZCTA5 28144,25158.0,,1063.0,,28144
ZCTA5 28150,27581.0,,1169.0,,28150
ZCTA5 28168,10056.0,,1016.0,,28168
ZCTA5 28173,56910.0,,1246.0,,28173
ZCTA5 28205,48539.0,,1555.0,,28205
