geoid,name,all_pop,hisp_pop,mexican_pop,hisp_pct_pop,mex_pct_all_pop,mex_pct_hisp_pop
01,Alabama,4876250,208626,126071,4.28,2.59,60.43
02,Alaska,737068,51870,28205,7.04,3.83,54.38
04,Arizona,7050299,2208663,1957968,31.33,27.77,88.65
05,Arkansas,2999370,224130,161614,7.47,5.39,72.11
06,California,39283497,15327688,12687312,39.02,32.3,82.77
08,Colorado,5610349,1208172,885441,21.53,15.78,73.29
09,Connecticut,3575074,574240,60632,16.06,1.7,10.56
10,Delaware,957248,88364,35977,9.23,3.76,40.71
11,District of Columbia,692683,76191,14053,11.0,2.03,18.44
12,Florida,20901636,5346684,725645,25.58,3.47,13.57
13,Georgia,10403847,992394,565361,9.54,5.43,56.97
15,Hawaii,1422094,149118,46989,10.49,3.3,31.51
16,Idaho,1717750,215476,184988,12.54,10.77,85.85
17,Illinois,12770631,2186387,1717260,17.12,13.45,78.54
18,Indiana,6665703,461850,336097,6.93,5.04,72.77
19,Iowa,3139508,188311,145886,6.0,4.65,77.47
20,Kansas,2910652,345680,281161,11.88,9.66,81.34
21,Kentucky,4449052,162994,91325,3.66,2.05,56.03
22,Louisiana,4664362,239164,92224,5.13,1.98,38.56
23,Maine,1335492,22100,6286,1.65,0.47,28.44
24,Maryland,6018848,606482,100975,10.08,1.68,16.65
25,Massachusetts,6850553,809179,48777,11.81,0.71,6.03
26,Michigan,9965265,507353,366137,5.09,3.67,72.17
27,Minnesota,5563378,299556,201662,5.38,3.62,67.32
28,Mississippi,2984418,91202,54516,3.06,1.83,59.78
29,Missouri,6104910,254791,174640,4.17,2.86,68.54
30,Montana,1050649,40314,28776,3.84,2.74,71.38
31,Nebraska,1914571,208271,153123,10.88,8.0,73.52
32,Nevada,2972382,853041,643198,28.7,21.64,75.4
33,New Hampshire,1348124,50493,8262,3.75,0.61,16.36
34,New Jersey,8878503,1794736,225484,20.21,2.54,12.56
35,New Mexico,2092454,1020817,655160,48.79,31.31,64.18
36,New York,19572319,3720983,475773,19.01,2.43,12.79
37,North Carolina,10264876,962665,537963,9.38,5.24,55.88
38,North Dakota,756717,28317,19158,3.74,2.53,67.66
39,Ohio,11655397,443415,201921,3.8,1.73,45.54
40,Oklahoma,3932870,417906,340619,10.63,8.66,81.51
41,Oregon,4129803,537217,436485,13.01,10.57,81.25
42,Pennsylvania,12791530,935216,155969,7.31,1.22,16.68
44,Rhode Island,1057231,163226,11534,15.44,1.09,7.07
45,South Carolina,5020806,285458,151497,5.69,3.02,53.07
46,South Dakota,870638,33024,21212,3.79,2.44,64.23
47,Tennessee,6709356,364174,222154,5.43,3.31,61.0
48,Texas,28260856,11116881,9502159,39.34,33.62,85.48
49,Utah,3096848,434832,315278,14.04,10.18,72.51
50,Vermont,624313,12038,3969,1.93,0.64,32.97
51,Virginia,8454463,792001,180583,9.37,2.14,22.8
53,Washington,7404107,937579,746242,12.66,10.08,79.59
54,West Virginia,1817305,28368,11009,1.56,0.61,38.81
55,Wisconsin,5790716,394392,283726,6.81,4.9,71.94
56,Wyoming,581024,57341,45005,9.87,7.75,78.49
72,Puerto Rico,3318447,3275919,9618,98.72,0.29,0.29
