geoid,name,name_merge,ap_name,all_pop,hisp_pop,mexican_pop,hisp_pct_pop,mex_pct_all_pop,mex_pct_hisp_pop,lon,lat
01,Alabama,Alabama,Ala.,4876250,208626,126071,4.28,2.59,60.43,-86.82974382268647,32.78114775166593
02,Alaska,Alaska,Alaska,737068,51870,28205,7.04,3.83,54.38,-152.35775834599463,63.777768375469904
04,Arizona,Arizona,Ariz.,7050299,2208663,1957968,31.33,27.77,88.65,-111.65853302245056,34.28255350930919
05,Arkansas,Arkansas,Ark.,2999370,224130,161614,7.47,5.39,72.11,-92.44429530055774,34.900565754560326
06,California,California,Calif.,39283497,15327688,12687312,39.02,32.3,82.77,-119.46849674633879,37.196816832135774
08,Colorado,Colorado,Colo.,5610349,1208172,885441,21.53,15.78,73.29,-105.54841793291922,38.998675057115456
09,Connecticut,Connecticut,Conn.,3575074,574240,60632,16.06,1.7,10.56,-72.72858022119446,41.621305461243956
10,Delaware,Delaware,Del.,957248,88364,35977,9.23,3.76,40.71,-75.49629193114916,38.98095605293546
11,District of Columbia,District of Columbia,D.C.,692683,76191,14053,11.0,2.03,18.44,-77.02179416011715,38.898395694054415
12,Florida,Florida,Fla.,20901636,5346684,725645,25.58,3.47,13.57,-82.4569539581388,28.654739297066076
13,Georgia,Georgia,Ga.,10403847,992394,565361,9.54,5.43,56.97,-83.43502415068173,32.63981412036077
15,Hawaii,Hawaii,Hawaii,1422094,149118,46989,10.49,3.3,31.51,-156.1988543339222,20.153842821950274
16,Idaho,Idaho,Idaho,1717750,215476,184988,12.54,10.77,85.85,-114.61391130325066,44.34924724147264
17,Illinois,Illinois,Ill.,12770631,2186387,1717260,17.12,13.45,78.54,-89.19401001567998,40.041084225373154
18,Indiana,Indiana,Ind.,6665703,461850,336097,6.93,5.04,72.77,-86.27637441402665,39.898888101999034
19,Iowa,Iowa,Iowa,3139508,188311,145886,6.0,4.65,77.47,-93.49805330659368,42.08110257569408
20,Kansas,Kansas,Kan.,2910652,345680,281161,11.88,9.66,81.34,-98.38714811032034,38.51043855831889
21,Kentucky,Kentucky,Ky.,4449052,162994,91325,3.66,2.05,56.03,-85.30326367620621,37.53451608347222
22,Louisiana,Louisiana,La.,4664362,239164,92224,5.13,1.98,38.56,-91.9742598150253,31.058341946835245
23,Maine,Maine,Maine,1335492,22100,6286,1.65,0.47,28.44,-69.24440959507518,45.36565348391766
24,Maryland,Maryland,Md.,6018848,606482,100975,10.08,1.68,16.65,-76.77053788234012,39.04467219358412
25,Massachusetts,Massachusetts,Mass.,6850553,809179,48777,11.81,0.71,6.03,-71.83990544433179,42.26856479316735
26,Michigan,Michigan,Mich.,9965265,507353,366137,5.09,3.67,72.17,-85.36981377571928,44.30755659600205
27,Minnesota,Minnesota,Minn.,5563378,299556,201662,5.38,3.62,67.32,-94.30906347888434,46.287170011827286
28,Mississippi,Mississippi,Miss.,2984418,91202,54516,3.06,1.83,59.78,-89.66600491975372,32.73859627370508
29,Missouri,Missouri,Mo.,6104910,254791,174640,4.17,2.86,68.54,-92.4577405012354,38.36285590456431
30,Montana,Montana,Mont.,1050649,40314,28776,3.84,2.74,71.38,-109.63608139777234,47.046768067382935
31,Nebraska,Nebraska,Neb.,1914571,208271,153123,10.88,8.0,73.52,-99.8042550433987,41.54857002877297
32,Nevada,Nevada,Nev.,2972382,853041,643198,28.7,21.64,75.4,-116.62904021706305,39.33109188495448
33,New Hampshire,New Hampshire,N.H.,1348124,50493,8262,3.75,0.61,16.36,-71.58167808628232,43.675823084434114
34,New Jersey,New Jersey,N.J.,8878503,1794736,225484,20.21,2.54,12.56,-74.66396289098705,40.18859652395341
35,New Mexico,New Mexico,N.M.,2092454,1020817,655160,48.79,31.31,64.18,-106.11357274233211,34.41394847513279
36,New York,New York,N.Y.,19572319,3720983,475773,19.01,2.43,12.79,-75.49878052055297,42.94149970035914
37,North Carolina,North Carolina,N.C.,10264876,962665,537963,9.38,5.24,55.88,-79.33395873979866,35.55246440291092
38,North Dakota,North Dakota,N.D.,756717,28317,19158,3.74,2.53,67.66,-100.46989294798261,47.471295774776856
39,Ohio,Ohio,Ohio,11655397,443415,201921,3.8,1.73,45.54,-82.79260240621007,40.29163299006304
40,Oklahoma,Oklahoma,Okla.,3932870,417906,340619,10.63,8.66,81.51,-97.48961120625508,35.59818895943881
41,Oregon,Oregon,Ore.,4129803,537217,436485,13.01,10.57,81.25,-120.56103427190071,43.9320715192379
42,Pennsylvania,Pennsylvania,Pa.,12791530,935216,155969,7.31,1.22,16.68,-77.79920423086651,40.884105645291534
44,Rhode Island,Rhode Island,R.I.,1057231,163226,11534,15.44,1.09,7.07,-71.57088493572311,41.69111564507959
45,South Carolina,South Carolina,S.C.,5020806,285458,151497,5.69,3.02,53.07,-80.88815795524641,33.90310674262245
46,South Dakota,South Dakota,S.D.,870638,33024,21212,3.79,2.44,64.23,-100.23005662405656,44.45565550921569
47,Tennessee,Tennessee,Tenn.,6709356,364174,222154,5.43,3.31,61.0,-86.3533233058067,35.8579122457312
48,Texas,Texas,Texas,28260856,11116881,9502159,39.34,33.62,85.48,-99.3293278073943,31.48658457132266
49,Utah,Utah,Utah,3096848,434832,315278,14.04,10.18,72.51,-111.66891807519184,39.311277429847344
50,Vermont,Vermont,Vt.,624313,12038,3969,1.93,0.64,32.97,-72.66286003232024,44.06877013379996
51,Virginia,Virginia,Va.,8454463,792001,180583,9.37,2.14,22.8,-78.80122915007443,37.52336805154336
53,Washington,Washington,Wash.,7404107,937579,746242,12.66,10.08,79.59,-120.4532073373511,47.380387599977205
54,West Virginia,West Virginia,W.Va.,1817305,28368,11009,1.56,0.61,38.81,-80.62719197807544,38.63683011727598
55,Wisconsin,Wisconsin,Wis.,5790716,394392,283726,6.81,4.9,71.94,-89.99696494583625,44.62088629833483
56,Wyoming,Wyoming,Wyo.,581024,57341,45005,9.87,7.75,78.49,-107.5518478870524,42.99621031021325
72,Puerto Rico,Puerto Rico,,3318447,3275919,9618,98.72,0.29,0.29,-66.47628877588267,18.230213406635013
