geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,congressional district
2701,"Congressional District 1 (116th Congress), Minnesota",672649.0,,322.0,,27,01
2702,"Congressional District 2 (116th Congress), Minnesota",698522.0,,399.0,,27,02
2703,"Congressional District 3 (116th Congress), Minnesota",710378.0,,517.0,,27,03
2704,"Congressional District 4 (116th Congress), Minnesota",706259.0,,337.0,,27,04
2705,"Congressional District 5 (116th Congress), Minnesota",707352.0,,449.0,,27,05
2706,"Congressional District 6 (116th Congress), Minnesota",702583.0,,541.0,,27,06
2707,"Congressional District 7 (116th Congress), Minnesota",664941.0,,540.0,,27,07
2708,"Congressional District 8 (116th Congress), Minnesota",664674.0,,326.0,,27,08
2801,"Congressional District 1 (116th Congress), Mississippi",760715.0,,674.0,,28,01
2802,"Congressional District 2 (116th Congress), Mississippi",711716.0,,1621.0,,28,02
2803,"Congressional District 3 (116th Congress), Mississippi",749199.0,,1712.0,,28,03
2804,"Congressional District 4 (116th Congress), Mississippi",767132.0,,392.0,,28,04
2901,"Congressional District 1 (116th Congress), Missouri",732537.0,,2349.0,,29,01
2902,"Congressional District 2 (116th Congress), Missouri",763266.0,,2810.0,,29,02
2904,"Congressional District 4 (116th Congress), Missouri",765070.0,,967.0,,29,04
2905,"Congressional District 5 (116th Congress), Missouri",764511.0,,1789.0,,29,05
2907,"Congressional District 7 (116th Congress), Missouri",773182.0,,545.0,,29,07
3000,"Congressional District (at Large) (116th Congress), Montana",1041732.0,,-555555555.0,*****,30,00
3101,"Congressional District 1 (116th Congress), Nebraska",641533.0,,867.0,,31,01
3103,"Congressional District 3 (116th Congress), Nebraska",603432.0,,60.0,,31,03
3202,"Congressional District 2 (116th Congress), Nevada",708357.0,,555.0,,32,02
3203,"Congressional District 3 (116th Congress), Nevada",785285.0,,3691.0,,32,03
3301,"Congressional District 1 (116th Congress), New Hampshire",677001.0,,173.0,,33,01
3401,"Congressional District 1 (116th Congress), New Jersey",726200.0,,417.0,,34,01
3402,"Congressional District 2 (116th Congress), New Jersey",719651.0,,793.0,,34,02
3404,"Congressional District 4 (116th Congress), New Jersey",739922.0,,885.0,,34,04
3405,"Congressional District 5 (116th Congress), New Jersey",737642.0,,910.0,,34,05
