geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,metropolitan statistical area/micropolitan statistical area
10100,"Aberdeen, SD Micro Area",42780.0,,-555555555.0,*****,10100
10140,"Aberdeen, WA Micro Area",71967.0,,-555555555.0,*****,10140
10180,"Abilene, TX Metro Area",170009.0,,-555555555.0,*****,10180
10220,"Ada, OK Micro Area",38358.0,,-555555555.0,*****,10220
10260,"Adjuntas, PR Micro Area",18181.0,,-555555555.0,*****,10260
10300,"Adrian, MI Micro Area",98474.0,,-555555555.0,*****,10300
10380,"Aguadilla-Isabela, PR Metro Area",307555.0,,-555555555.0,*****,10380
10420,"Akron, OH Metro Area",704454.0,,-555555555.0,*****,10420
10460,"Alamogordo, NM Micro Area",65745.0,,-555555555.0,*****,10460
10500,"Albany, GA Metro Area",153101.0,,-555555555.0,*****,10500
10540,"Albany, OR Metro Area",122870.0,,-555555555.0,*****,10540
10580,"Albany-Schenectady-Troy, NY Metro Area",880481.0,,-555555555.0,*****,10580
10620,"Albemarle, NC Micro Area",61114.0,,-555555555.0,*****,10620
10660,"Albert Lea, MN Micro Area",30526.0,,-555555555.0,*****,10660
10700,"Albertville, AL Micro Area",95145.0,,-555555555.0,*****,10700
10740,"Albuquerque, NM Metro Area",910012.0,,-555555555.0,*****,10740
10760,"Alexander City, AL Micro Area",40636.0,,-555555555.0,*****,10760
10780,"Alexandria, LA Metro Area",153894.0,,-555555555.0,*****,10780
10820,"Alexandria, MN Micro Area",37203.0,,-555555555.0,*****,10820
10860,"Alice, TX Micro Area",41192.0,,-555555555.0,*****,10860
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",834615.0,,-555555555.0,*****,10900
10940,"Alma, MI Micro Area",41067.0,,-555555555.0,*****,10940
10980,"Alpena, MI Micro Area",28612.0,,-555555555.0,*****,10980
11020,"Altoona, PA Metro Area",123842.0,,-555555555.0,*****,11020
11060,"Altus, OK Micro Area",25384.0,,-555555555.0,*****,11060
11140,"Americus, GA Micro Area",35563.0,,-555555555.0,*****,11140
11180,"Ames, IA Metro Area",96922.0,,-555555555.0,*****,11180
11220,"Amsterdam, NY Micro Area",49426.0,,-555555555.0,*****,11220
11260,"Anchorage, AK Metro Area",399576.0,,-555555555.0,*****,11260
11380,"Andrews, TX Micro Area",17818.0,,-555555555.0,*****,11380
11420,"Angola, IN Micro Area",34474.0,,-555555555.0,*****,11420
11460,"Ann Arbor, MI Metro Area",365961.0,,-555555555.0,*****,11460
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115098.0,,-555555555.0,*****,11500
11540,"Appleton, WI Metro Area",234561.0,,-555555555.0,*****,11540
11580,"Arcadia, FL Micro Area",36399.0,,-555555555.0,*****,11580
11620,"Ardmore, OK Micro Area",48406.0,,-555555555.0,*****,11620
11640,"Arecibo, PR Metro Area",183890.0,,-555555555.0,*****,11640
11660,"Arkadelphia, AR Micro Area",22385.0,,-555555555.0,*****,11660
11680,"Arkansas City-Winfield, KS Micro Area",35591.0,,-555555555.0,*****,11680
11700,"Asheville, NC Metro Area",449937.0,,-555555555.0,*****,11700
11740,"Ashland, OH Micro Area",53477.0,,-555555555.0,*****,11740
11780,"Ashtabula, OH Micro Area",98136.0,,-555555555.0,*****,11780
11820,"Astoria, OR Micro Area",38562.0,,-555555555.0,*****,11820
11860,"Atchison, KS Micro Area",16363.0,,-555555555.0,*****,11860
11900,"Athens, OH Micro Area",65936.0,,-555555555.0,*****,11900
11940,"Athens, TN Micro Area",52773.0,,-555555555.0,*****,11940
