NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Lexington-Fayette, KY Urbanized Area (2010)",311989.0,,869.0,,49582
"Denton--Lewisville, TX Urbanized Area (2010)",407602.0,,1648.0,,23500
"Porterville, CA Urbanized Area (2010)",71814.0,,1577.0,,71074
"Basalt--El Jebel, CO Urban Cluster (2010)",9884.0,,758.0,,05410
"Strasburg, VA Urban Cluster (2010)",6786.0,,144.0,,85195
"Littlefield, TX Urban Cluster (2010)",5326.0,,225.0,,50365
"Litchfield, MN Urban Cluster (2010)",6491.0,,89.0,,50257
"Mount Pleasant, TN Urban Cluster (2010)",3995.0,,348.0,,60139
"Casa Grande, AZ Urbanized Area (2010)",57810.0,,1350.0,,14401
"Whitefish, MT Urban Cluster (2010)",7487.0,,539.0,,94753
"Greenfield, MA Urban Cluster (2010)",22686.0,,465.0,,34975
"Marquette, MI Urban Cluster (2010)",27171.0,,454.0,,54874
"Kaufman, TX Urban Cluster (2010)",6072.0,,395.0,,44074
"Mansfield, LA Urban Cluster (2010)",5977.0,,309.0,,54064
"Clarksburg, WV Urban Cluster (2010)",43293.0,,857.0,,17236
"Asheville, NC Urbanized Area (2010)",300441.0,,2784.0,,03358
"Elberton, GA Urban Cluster (2010)",5157.0,,417.0,,26362
"Collinsville, OK Urban Cluster (2010)",4491.0,,297.0,,18760
"Cloverdale, CA Urban Cluster (2010)",9223.0,,284.0,,18181
"Littlestown, PA Urban Cluster (2010)",6386.0,,167.0,,50419
"Royston, GA Urban Cluster (2010)",3507.0,,473.0,,76582
"Pittsboro, NC Urban Cluster (2010)",3884.0,,285.0,,69632
"Millen, GA Urban Cluster (2010)",2781.0,,56.0,,57250
"Millersburg, OH Urban Cluster (2010)",2986.0,,120.0,,57277
"Rock Springs, WY Urban Cluster (2010)",27758.0,,569.0,,75880
"Wilmington, NC Urbanized Area (2010)",246706.0,,1356.0,,95833
"Greenville, MI Urban Cluster (2010)",9548.0,,282.0,,35326
"Red Wing, MN Urban Cluster (2010)",13988.0,,343.0,,73963
"Hazel Green, AL Urban Cluster (2010)",2322.0,,435.0,,37864
"Martinsburg, PA Urban Cluster (2010)",2668.0,,270.0,,55198
"Burkburnett, TX Urban Cluster (2010)",9881.0,,352.0,,11593
"Jacksonville, TX Urban Cluster (2010)",14250.0,,282.0,,42427
"Palmyra, MO Urban Cluster (2010)",3499.0,,157.0,,67213
"Monahans, TX Urban Cluster (2010)",8296.0,,222.0,,58087
"Molalla, OR Urban Cluster (2010)",9693.0,,354.0,,58033
"Alexandria, MN Urban Cluster (2010)",17509.0,,473.0,,01306
"Bealeton, VA Urban Cluster (2010)",6960.0,,630.0,,05958
