Year,Death rate,Birth rate
2021-01-01,7.18,7.52
2020-01-01,7.07,8.52
2019-01-01,7.09,10.41
2018-01-01,7.08,10.86
2017-01-01,7.06,12.64
2016-01-01,7.04,13.57
2015-01-01,7.05,11.99
2014-01-01,7.12,13.83
2013-01-01,7.13,13.03
2012-01-01,7.13,14.57
2011-01-01,7.14,13.27
2010-01-01,7.11,11.9
2009-01-01,7.08,11.95
2008-01-01,7.06,12.14
2007-01-01,6.93,12.1
2006-01-01,6.81,12.09
2005-01-01,6.51,12.4
2004-01-01,6.42,12.29
2003-01-01,6.4,12.41
2002-01-01,6.41,12.86
2001-01-01,6.43,13.38
2000-01-01,6.45,14.03
1999-01-01,6.46,14.64
1998-01-01,6.5,15.64
1997-01-01,6.51,16.57
1996-01-01,6.56,16.98
1995-01-01,6.57,17.12
1994-01-01,6.49,17.7
1993-01-01,6.64,18.09
1992-01-01,6.64,18.24
1991-01-01,6.7,19.68
1990-01-01,6.67,21.06
1989-01-01,6.54,21.58
1988-01-01,6.64,22.37
1987-01-01,6.72,23.33
1986-01-01,6.86,22.43
1985-01-01,6.78,21.04
1984-01-01,6.82,19.9
1983-01-01,6.9,20.19
1982-01-01,6.6,22.28
1981-01-01,6.36,20.91
1980-01-01,6.34,18.21
1979-01-01,6.21,17.82
1978-01-01,6.25,18.25
1977-01-01,6.87,18.93
1976-01-01,7.25,19.91
1975-01-01,7.32,23.01
1974-01-01,7.34,24.82
1973-01-01,7.04,27.93
1972-01-01,7.61,29.77
1971-01-01,7.32,30.65
1970-01-01,7.6,33.43
