City,Year,Good,Moderate,Unhealthy For Sensitive Groups,Unhealthy,Very Unhealthy,Hazardous
Beijing,2015,30.0,80.0,109.0,89.0,39.0,17.0
Yanqing,2015,65.0,103.0,85.0,76.0,29.0,5.0
Zhangjiakou,2015,1.0,117.0,172.0,71.0,3.0,0.0
Beijing,2017,49.0,115.0,108.0,65.0,17.0,7.0
Yanqing,2017,37.0,136.0,98.0,68.0,12.0,1.0
Zhangjiakou,2017,0.0,195.0,122.0,37.0,4.0,1.0
Beijing,2019,44.0,119.0,121.0,68.0,11.0,0.0
Yanqing,2019,65.0,157.0,101.0,33.0,6.0,0.0
Zhangjiakou,2019,23.0,237.0,85.0,17.0,1.0,0.0
Beijing,2021,80.0,165.0,71.0,38.0,10.0,1.0
Yanqing,2021,128.0,145.0,57.0,29.0,6.0,0.0
Zhangjiakou,2021,30.0,229.0,70.0,26.0,5.0,5.0
