year,commodity_code,commodity_chapter,commodity_chapter_desc,commodity_chapter_four,commodity_chapter_four_desc,us_dollar,exported_to,exported_from
2019,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,1628,Kazakhstan,Xingjiang Uygur
2018,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,4246,Kazakhstan,Xingjiang Uygur
2017,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,17452,Kazakhstan,Xingjiang Uygur
2018,03063210,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",468,Kazakhstan,Xingjiang Uygur
2019,04012000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0401,"Milk and cream; not concentrated, not containing added sugar or other sweetening matter",317,Kazakhstan,Xingjiang Uygur
2019,04021000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,654,Kazakhstan,Xingjiang Uygur
2020,04021000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,81000,Kazakhstan,Xingjiang Uygur
2020,04022100,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,90549,Kazakhstan,Xingjiang Uygur
2020,04022900,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2197,Kazakhstan,Xingjiang Uygur
2019,06021000,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",4736,Kazakhstan,Xingjiang Uygur
2019,06029091,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",1800,Kazakhstan,Xingjiang Uygur
2018,06022010,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",15000,Kazakhstan,Xingjiang Uygur
2017,06022010,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",2000,Kazakhstan,Xingjiang Uygur
2017,06029091,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",82486,Kazakhstan,Xingjiang Uygur
2017,06029099,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",11605,Kazakhstan,Xingjiang Uygur
2019,06031100,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",34534,Kazakhstan,Xingjiang Uygur
