commodity_chapter,commodity_chapter_desc,us_dollar
02,Meat and edible meat offal,12920070
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1653478
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1565804
05,Animal originated products; not elsewhere specified or included,64099649
06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1144197
07,Vegetables and certain roots and tubers; edible,112105239
08,"Fruit and nuts, edible; peel of citrus fruit or melons",1510275242
09,"Coffee, tea, mate and spices",67464530
10,Cereals,2193135
11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1345590
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",205998404
13,"Lac; gums, resins and other vegetable saps and extracts",57524952
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1815461
15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,417516
16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",5443859
17,Sugars and sugar confectionery,3420085
18,Cocoa and cocoa preparations,2576696
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",27708144
20,"Preparations of vegetables, fruit, nuts or other parts of plants",2012005412
21,Miscellaneous edible preparations,273331179
22,"Beverages, spirits and vinegar",25552475
23,"Food industries, residues and wastes thereof; prepared animal fodder",104291352
24,Tobacco and manufactured tobacco substitutes,33822736
25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",41573489
26,"Ores, slag and ash",1827335
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",129291314
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",719861350
29,Organic chemicals,2136200606
30,Pharmaceutical products,29586963
31,Fertilizers,66430637
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",201695534
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",51162444
34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",95251506
35,Albuminoidal substances; modified starches; glues; enzymes,48683294
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,478426
37,Photographic or cinematographic goods,16756015
38,Chemical products n.e.c.,188819131
39,Plastics and articles thereof,4450636812
40,Rubber and articles thereof,481506300
41,Raw hides and skins (other than furskins) and leather,1323477
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",2424928662
43,Furskins and artificial fur; manufactures thereof,51615118
44,Wood and articles of wood; wood charcoal,55610442
45,Cork and articles of cork,40892
46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2616531
47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,3448576
48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",391772061
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",30545492
50,Silk,719214
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",21030952
52,Cotton,261978584
53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1099308
54,Man-made filaments; strip and the like of man-made textile materials,1154480014
55,Man-made staple fibres,446386098
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",139310258
57,Carpets and other textile floor coverings,50622786
58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",160352059
59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",100149170
60,Fabrics; knitted or crocheted,819549653
61,Apparel and clothing accessories; knitted or crocheted,7145433906
62,Apparel and clothing accessories; not knitted or crocheted,12361523418
63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1494637674
64,Footwear; gaiters and the like; parts of such articles,8530093335
65,Headgear and parts thereof,315880953
66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",96187398
67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",355512757
68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",252402048
69,Ceramic products,1054283977
70,Glass and glassware,401971268
71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",117968878
72,Iron and steel,1250200872
73,Iron or steel articles,1378102247
74,Copper and articles thereof,9358266
75,Nickel and articles thereof,322641
76,Aluminium and articles thereof,293845566
78,Lead and articles thereof,502605
79,Zinc and articles thereof,1826910
80,Tin; articles thereof,475475
81,"Metals; n.e.c., cermets and articles thereof",20637187
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",268679954
83,Metal; miscellaneous products of base metal,204170295
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1016381537
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2125848899
86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",2016095
87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",782275096
88,"Aircraft, spacecraft and parts thereof",58259
89,"Ships, boats and floating structures",277889
90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",198350547
91,Clocks and watches and parts thereof,21915316
92,Musical instruments; parts and accessories of such articles,4931547
93,Arms and ammunition; parts and accessories thereof,14400
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",642189079
95,"Toys, games and sports requisites; parts and accessories thereof",767135447
96,Miscellaneous manufactured articles,166273014
97,Works of art; collectors' pieces and antiques,1918710
