"China batteries"
"Current date: 01/05/2022 3:09 PM (Eastern Standard Time)"
"Time","Commodity","Country","Customs  Value (Cons) ($US)",
"2015","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","23,538,342"
"2015","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","23,256,683"
"2015","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","19,993,058"
"2016","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","44,080,526"
"2016","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","17,044,729"
"2016","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","43,089,691"
"2017","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","53,142,386"
"2017","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","63,360,059"
"2017","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","57,115,949"
"2018","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","44,673,292"
"2018","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","85,081,264"
"2018","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","252,060,499"
"2019","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","56,229,728"
"2019","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","121,144,064"
"2019","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","237,517,436"
"2020","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","102,492,797"
"2020","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","94,132,448"
"2020","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","163,575,321"
"2021 through October","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","China","375,832,124"
"2021 through October","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Japan","101,454,724"
"2021 through October","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","Korea, South","56,990,953"
