id,title,count,slug
1,"Anglican Churches",124,Anglican_churches
2,Foursquare,375,Foursquare_churches
3,"Apostolic Churches",2064,Apostolic_churches
4,"Lutheran Churches",11139,Lutheran_churches
5,"Assembly of God",4790,Assembly_of_God_churches
6,"Mennonite Churches",862,Mennonite_churches
7,"Baptist Churches",41452,Baptist_churches
8,"Messianic Churches",62,Messianic_churches
9,"Bible Churches",1887,Bible_churches
10,"Methodist Churches",18089,Methodist_churches
11,"Brethren Churches",115,Brethren_churches
12,"Nazarene Churches",2569,Nazarene_churches
13,"Calvary Chapel",638,Calvary_Chapel_churches
14,Non-Denominational,11357,Non-Denominational_churches
15,"Catholic Churches",9901,Catholic_churches
16,"Orthodox Churches",1048,Orthodox_churches
17,"Christian Churches",6967,Christian_churches
18,Pentecostal,3665,Pentecostal_churches
19,"Church of Christ",9466,Church_of_Christ_churches
20,Presbyterian,7963,Presbyterian_churches
21,"Church of God",10868,Church_of_God_churches
22,"Reformed Churches",392,Reformed_churches
23,Congregational,756,Congregational_churches
24,"Seventh Day Adventist",2393,Seventh_Day_Adventist_churches
25,"Episcopal Churches",4258,Episcopal_churches
26,"Vineyard Churches",295,Vineyard_churches
27,Evangelical,2145,Evangelical_churches
