Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1801,1979-07-31 (1),CLE,BOS,W 11-10,50,44,11,14,5,1,0,10,5,1,2,0,1,0,0,1,1,0,0.815,5.562,1.341,7,13,,210,81,,,rain,
1802,1979-07-31 (1),BOS,CLE,L 10-11,52,47,10,15,2,0,3,10,3,0,10,1,1,0,0,0,2,0,0.312,4.229,0.97,9,13,,210,81,,,rain,
1803,7/31/79,DET,TEX,L 3-11,38,35,3,9,1,1,1,3,2,0,3,1,0,0,1,2,0,0,-0.258,-1.631,0.616,8,13,"12,218",165,,,,rain,night
1804,7/31/79,TEX,DET,W 11-3,42,36,11,16,7,0,0,11,4,1,3,0,0,2,0,1,0,0,0.241,6.885,0.422,7,13,"12,218",165,,,,rain,night
1805,7/29/79,CHC,NYM,L 0-4,24,23,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,-0.357,-3.125,0.974,3,13,"27,605",123,,,,rain,overcast
1806,7/29/79,NYM,CHC,W 4-0,30,27,4,11,0,1,1,4,1,0,2,1,1,0,1,1,1,0,0.125,1.777,0.927,6,11,"27,605",123,,,,rain,overcast
1807,7/26/79,CAL,NYY,L 0-2,32,29,0,3,1,0,0,0,3,0,6,0,0,0,0,0,0,1,-0.56,-4.632,0.985,5,11,"43,136",123,86,,,rain,cloudy
1808,7/26/79,NYY,CAL,W 2-0,33,31,2,8,1,0,0,2,1,1,1,0,1,0,0,0,0,0,-0.06,-2.117,0.688,7,11,"43,136",123,86,,,rain,cloudy
1809,7/26/79,MIN,CLE,L 2-7,35,33,2,7,0,0,0,2,2,0,4,0,0,0,0,1,0,0,-0.316,-2.913,0.969,6,15,"18,728",150,81,,10,rain,
1810,7/26/79,STL,ATL,W 6-2,35,33,6,12,2,1,0,6,1,0,4,0,1,0,0,1,1,1,0.337,2.169,0.691,5,9,"14,602",134,,,,rain,overcast
1811,7/26/79,CLE,MIN,W 7-2,43,38,7,14,2,1,1,7,3,0,2,0,2,0,1,1,0,1,0.184,2.087,0.832,9,11,"18,728",150,81,,10,rain,
1812,7/26/79,ATL,STL,L 2-6,35,31,2,5,0,0,0,2,4,0,1,0,0,0,1,1,0,0,-0.164,-2.309,0.904,6,13,"14,602",134,,,,rain,overcast
1813,7/25/79,TEX,TOR,L 3-8,39,35,3,9,1,1,1,3,4,0,3,0,0,0,0,1,2,0,-0.227,-1.721,1.1,9,11,"24,705",144,,,,rain,night
