Month,2022,2016,2020,2019,2015,2017,2021,2018,2014,2010,2013
JAN,0.88,1.12,1.13,0.93,0.83,0.97,0.77,0.75,0.69,0.73,0.62
FEB,0.84,1.19,1.14,0.89,0.85,0.99,0.70,0.75,0.59,0.76,0.64
MAR,0.87,1.23,1.15,0.96,0.87,1.02,0.75,0.80,0.65,0.80,0.65
APR,0.86,1.20,1.13,0.96,0.85,1.00,0.76,0.81,0.68,0.81,0.63
MAY,0.85,1.15,1.09,0.94,0.86,0.97,0.77,0.81,0.71,0.80,0.64
JUN,0.85,1.11,1.06,0.94,0.87,0.95,0.79,0.80,0.72,0.79,0.65
JUL,,1.08,1.04,0.94,0.87,0.94,0.81,0.81,0.72,0.78,0.65
AUG,,1.07,1.03,0.93,0.87,0.94,0.82,0.80,0.73,0.77,0.65
SEP,,1.05,1.02,0.93,0.88,0.93,0.82,0.81,0.74,0.76,0.66
OCT,,1.03,1.00,0.94,0.89,0.92,0.83,0.82,0.74,0.74,0.66
NOV,,1.00,0.99,0.93,0.90,0.91,0.84,0.81,0.73,0.74,0.67
DEC,,0.99,0.97,0.94,0.92,0.90,0.84,0.82,0.74,0.72,0.67
