id,seniority,full_name,apstate,first_name,last_name,chamber,session,state,party,dw_nominate,votes_with_party_pct
A000370,10,Alma Adams,N.C.,Alma,Adams,house,117,NC,D,-0.465,98.91
A000055,26,Robert Aderholt,Ala.,Robert,Aderholt,house,117,AL,R,0.376,97.34
A000371,8,Pete Aguilar,Calif.,Pete,Aguilar,house,117,CA,D,-0.294,98.7
A000372,8,Rick Allen,Ga.,Rick,Allen,house,117,GA,R,0.696,93.57
A000376,4,Colin Allred,Texas,Colin,Allred,house,117,TX,D,,97.84
A000369,12,Mark Amodei,Nev.,Mark,Amodei,house,117,NV,R,0.378,95.14
A000377,4,Kelly Armstrong,N.D.,Kelly,Armstrong,house,117,ND,R,,95.59
A000375,6,Jodey Arrington,Texas,Jodey,Arrington,house,117,TX,R,0.649,89.91
A000148,2,Jake Auchincloss,Mass.,Jake,Auchincloss,house,117,MA,D,,98.91
A000378,4,Cynthia Axne,Iowa,Cynthia,Axne,house,117,IA,D,,97.19
B001291,8,Brian Babin,Texas,Brian,Babin,house,117,TX,R,0.703,93.13
B001298,6,Don Bacon,Neb.,Don,Bacon,house,117,NE,R,0.377,91.92
B001307,4,James Baird,Ind.,James,Baird,house,117,IN,R,,96.51
B001306,6,Troy Balderson,Ohio,Troy,Balderson,house,117,OH,R,,97.34
B001299,6,Jim Banks,Ind.,Jim,Banks,house,117,IN,R,0.645,93.44
B001282,10,Andy Barr,Ky.,Andy,Barr,house,117,KY,R,0.486,98.45
B001300,6,Nanette Barragán,Calif.,Nanette,Barragán,house,117,CA,D,-0.514,98.9
B001270,12,Karen Bass,Calif.,Karen,Bass,house,117,CA,D,-0.584,99.12
B001281,10,Joyce Beatty,Ohio,Joyce,Beatty,house,117,OH,D,-0.433,98.69
B000668,2,Cliff Bentz,Ore.,Cliff,Bentz,house,117,OR,R,,98.04
B001287,10,Ami Bera,Calif.,Ami,Bera,house,117,CA,D,-0.234,98.92
B001301,6,Jack Bergman,Mich.,Jack,Bergman,house,117,MI,R,0.437,98.68
B001292,8,Donald Beyer,Va.,Donald,Beyer,house,117,VA,D,-0.385,99.57
B000740,2,Stephanie Bice,Okla.,Stephanie,Bice,house,117,OK,R,,97.59
B001302,6,Andy Biggs,Ariz.,Andy,Biggs,house,117,AZ,R,0.883,74.28
B001257,18,Gus Bilirakis,Fla.,Gus,Bilirakis,house,117,FL,R,0.404,96.69
B001311,4,Dan Bishop,N.C.,Dan,Bishop,house,117,NC,R,,90.77
B000490,30,Sanford Bishop,Ga.,Sanford,Bishop,house,117,GA,D,-0.283,98.25
B000574,28,Earl Blumenauer,Ore.,Earl,Blumenauer,house,117,OR,D,-0.427,98.68
B001303,6,Lisa Blunt Rochester,Del.,Lisa,Blunt Rochester,house,117,DE,D,-0.334,99.35
B000825,2,Lauren Boebert,Colo.,Lauren,Boebert,house,117,CO,R,,80.04
B001278,12,Suzanne Bonamici,Ore.,Suzanne,Bonamici,house,117,OR,D,-0.393,98.7
B001295,8,Mike Bost,Ill.,Mike,Bost,house,117,IL,R,0.28,94.57
B001312,2,Carolyn Bourdeaux,Ga.,Carolyn,Bourdeaux,house,117,GA,D,,97.19
B001223,2,Jamaal Bowman,N.Y.,Jamaal,Bowman,house,117,NY,D,,95.85
B001296,8,Brendan Boyle,Pa.,Brendan,Boyle,house,117,PA,D,-0.4,98.69
B000755,26,Kevin Brady,Texas,Kevin,Brady,house,117,TX,R,0.523,97.99
B001274,12,Mo Brooks,Ala.,Mo,Brooks,house,117,AL,R,0.645,89.57
B001313,2,Shontel Brown,Ohio,Shontel,Brown,house,117,OH,D,,100.0
B001304,6,Anthony Brown,Md.,Anthony,Brown,house,117,MD,D,-0.335,98.47
B001285,10,Julia Brownley,Calif.,Julia,Brownley,house,117,CA,D,-0.287,98.91
B001260,16,Vern Buchanan,Fla.,Vern,Buchanan,house,117,FL,R,0.36,97.33
B001297,8,Ken Buck,Colo.,Ken,Buck,house,117,CO,R,0.727,85.02
B001275,12,Larry Bucshon,Ind.,Larry,Bucshon,house,117,IN,R,0.408,97.54
B001305,6,Ted Budd,N.C.,Ted,Budd,house,117,NC,R,0.669,91.52
B001309,4,Tim Burchett,Tenn.,Tim,Burchett,house,117,TN,R,,87.58
B001248,20,Michael Burgess,Texas,Michael,Burgess,house,117,TX,R,0.572,93.92
B001224,2,Cori Bush,Mo.,Cori,Bush,house,117,MO,D,,93.68
B001286,10,Cheri Bustos,Ill.,Cheri,Bustos,house,117,IL,D,-0.238,97.37
B001251,20,G. Butterfield,N.C.,G.,Butterfield,house,117,NC,D,-0.403,98.68
C000059,30,Ken Calvert,Calif.,Ken,Calvert,house,117,CA,R,0.35,97.1
C001039,2,Kat Cammack,Fla.,Kat,Cammack,house,117,FL,R,,91.23
C001112,6,Salud Carbajal,Calif.,Salud,Carbajal,house,117,CA,D,-0.302,99.35
C001097,10,Tony Cárdenas,Calif.,Tony,Cárdenas,house,117,CA,D,-0.384,98.45
C001126,2,Mike Carey,Ohio,Mike,Carey,house,117,OH,R,,99.05
C001054,2,Jerry Carl,Ala.,Jerry,Carl,house,117,AL,R,,97.37
