,hospital,ccn,week,county,fips,total_covid_icu_patients,total_staffed_adult_icu_beds,total_available_adult_icu_beds,pct_occupied_adult_icu_beds
5379,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-12-11,San Bernardino,71,27.142857142857146,48.0,3.8571428571428537,0.9196428571428572
5186,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-12-04,San Bernardino,71,23.857142857142854,39.285714285714285,5.4285714285714315,0.8618181818181818
5141,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-27,San Bernardino,71,18.857142857142858,38.0,3.0,0.9210526315789472
5068,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-20,San Bernardino,71,12.857142857142858,36.142857142857146,2.285714285714292,0.9367588932806322
4876,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-13,San Bernardino,71,11.142857142857142,33.857142857142854,4.428571428571427,0.869198312236287
4864,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-06,San Bernardino,71,12.0,33.57142857142857,4.428571428571427,0.8680851063829788
4777,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-30,San Bernardino,71,9.857142857142858,32.285714285714285,1.7142857142857115,0.9469026548672568
4768,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-23,San Bernardino,71,4.285714285714286,32.0,5.0,0.84375
4769,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-16,San Bernardino,71,2.571428571428572,32.0,7.142857142857142,0.7767857142857143
4417,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-09,San Bernardino,71,2.333333333333333,32.0,4.0,0.875
4784,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-02,San Bernardino,71,4.571428571428571,32.57142857142857,2.2857142857142847,0.9298245614035088
4774,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-25,San Bernardino,71,2.7142857142857144,32.142857142857146,1.7142857142857189,0.9466666666666664
4766,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-18,San Bernardino,71,2.4285714285714284,32.0,5.1428571428571415,0.8392857142857143
4771,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-11,San Bernardino,71,3.4285714285714284,32.0,1.1428571428571423,0.9642857142857144
4761,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-04,San Bernardino,71,6.2857142857142865,32.0,2.1428571428571423,0.9330357142857144
4753,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-28,San Bernardino,71,8.285714285714286,32.0,6.428571428571428,0.7991071428571429
4758,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-21,San Bernardino,71,11.428571428571427,32.0,10.142857142857142,0.6830357142857143
4767,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-14,San Bernardino,71,11.571428571428573,32.0,11.0,0.65625
4765,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-07,San Bernardino,71,15.285714285714285,32.0,10.714285714285717,0.6651785714285714
4757,ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-07-31,San Bernardino,71,15.571428571428573,32.0,12.0,0.625
