name,date,rate
La Habra Heights,2020-11-15,0.0
Avalon,2020-11-15,0.0
Rolling Hills,2020-11-15,0.0
Unincorporated - Angeles National Forest,2020-11-15,0.0
West Antelope Valley,2020-11-15,0.0
Twin Lakes/Oat Mountain,2020-11-15,0.0
Irwindale,2020-11-15,0.0
Lake Manor,2020-11-15,0.0
Unincorporated - Monrovia,2020-11-15,25.77
West Rancho Dominguez,2020-11-15,73.58
San Marino,2020-11-15,15.06
El Camino Village,2020-11-15,45.5
La Rambla,2020-11-15,48.19
Wellington Square,2020-11-15,81.38
View Heights,2020-11-15,54.14
Leimert Park,2020-11-15,59.07
Toluca Terrace,2020-11-15,76.57
Kagel/Lopez Canyons,2020-11-15,70.82
Angelino Heights,2020-11-15,79.94
Gramercy Place,2020-11-15,92.9
Mandeville Canyon,2020-11-15,96.03
Del Aire,2020-11-15,91.05
Park La Brea,2020-11-15,117.82
Rancho Dominguez,2020-11-15,375.8
White Fence Farms,2020-11-15,298.67
Malibu,2020-11-15,100.3
Bouquet Canyon,2020-11-15,186.39
Westfield/Academy Hills,2020-11-15,76.92
Hi Vista,2020-11-15,182.15
Leona Valley,2020-11-15,114.22
Del Sur,2020-11-15,331.26
Agua Dulce,2020-11-15,240.5
Unincorporated - Pomona,2020-11-15,103.2
West Hollywood,2020-11-15,211.09
Palisades Highlands,2020-11-15,104.0
Toluca Woods,2020-11-15,322.93
North Lancaster,2020-11-15,751.25
Sunrise Village,2020-11-15,540.12
Playa Del Rey,2020-11-15,250.31
San Pasqual,2020-11-15,98.28
La Habra Heights,2021-01-15,18.33
Avalon,2021-01-15,51.69
Rolling Hills,2021-01-15,309.28
Unincorporated - Angeles National Forest,2021-01-15,160.64
West Antelope Valley,2021-01-15,661.81
Twin Lakes/Oat Mountain,2021-01-15,482.51
Irwindale,2021-01-15,1370.8
Lake Manor,2021-01-15,730.37
Unincorporated - Monrovia,2021-01-15,747.23
West Rancho Dominguez,2021-01-15,1986.75
San Marino,2021-01-15,316.34
El Camino Village,2021-01-15,898.65
La Rambla,2021-01-15,819.28
Wellington Square,2021-01-15,1281.79
View Heights,2021-01-15,757.99
Leimert Park,2021-01-15,774.53
Toluca Terrace,2021-01-15,995.41
Kagel/Lopez Canyons,2021-01-15,849.86
Angelino Heights,2021-01-15,959.23
Gramercy Place,2021-01-15,1096.25
Mandeville Canyon,2021-01-15,256.08
Del Aire,2021-01-15,227.63
Park La Brea,2021-01-15,265.1
Rancho Dominguez,2021-01-15,789.18
White Fence Farms,2021-01-15,624.49
Malibu,2021-01-15,208.32
Bouquet Canyon,2021-01-15,372.79
Westfield/Academy Hills,2021-01-15,153.85
Hi Vista,2021-01-15,364.3
Leona Valley,2021-01-15,228.44
Del Sur,2021-01-15,579.71
Agua Dulce,2021-01-15,408.85
Unincorporated - Pomona,2021-01-15,154.8
West Hollywood,2021-01-15,308.52
Palisades Highlands,2021-01-15,130.01
Toluca Woods,2021-01-15,376.75
North Lancaster,2021-01-15,834.72
Sunrise Village,2021-01-15,540.12
Playa Del Rey,2021-01-15,187.73
San Pasqual,2021-01-15,49.14
