,size,name,pct_week_9,pct_week_15,change_week9_to_15,name_clean
0,largest,Los Angeles - University Park,6.46,25.15,289.0,University Park
1,largest,Unincorporated - Littlerock/Pearblossom,5.59,21.74,289.0,Littlerock/Pearblossom
2,largest,Los Angeles - Thai Town,7.21,27.97,288.0,Thai Town
3,largest,Unincorporated - Florence-Firestone,6.76,25.36,275.0,Florence-Firestone
4,largest,Unincorporated - Lennox,7.29,27.16,273.0,Lennox
5,largest,Los Angeles - Alsace,8.49,29.92,252.0,Alsace
6,largest,Los Angeles - Green Meadows,6.82,23.61,246.0,Green Meadows
7,largest,Los Angeles - Florence-Firestone,6.59,22.81,246.0,Florence-Firestone
8,largest,Los Angeles - Vernon Central,6.52,22.51,245.0,Vernon Central
9,largest,Los Angeles - Echo Park,12.06,41.02,240.0,Echo Park
10,smallest,Los Angeles - Porter Ranch,27.41,51.24,87.0,Porter Ranch
11,smallest,Los Angeles - Pacific Palisades,30.4,56.17,85.0,Pacific Palisades
12,smallest,Unincorporated - Ladera Heights,25.83,47.48,84.0,Ladera Heights
13,smallest,Los Angeles - Tarzana,26.13,47.64,82.0,Tarzana
14,smallest,Los Angeles - Westwood,19.74,35.76,81.0,Westwood
15,smallest,Los Angeles - Encino,30.77,54.11,76.0,Encino
16,smallest,Los Angeles - Century City,34.26,59.68,74.0,Century City
17,smallest,Los Angeles - Cheviot Hills,37.08,63.66,72.0,Cheviot Hills
18,smallest,Los Angeles - Beverly Crest,32.56,54.03,66.0,Beverly Crest
19,smallest,Los Angeles - Bel Air,34.3,52.68,54.0,Bel Air
