outcome,age_group,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,week_date
death,65+,1.594642003,3.979650449,49.69172575,2021-09-20
death,65+,1.695932814,3.364234241,44.15627976,2021-09-27
death,65+,1.606550442,3.02981689,41.15536822,2021-10-04
death,65+,1.095054507,2.874733077,38.83946415,2021-10-11
death,65+,0.756130655,2.874402435,34.62038858,2021-10-18
death,65+,0.682454952,2.988844329,34.56978213,2021-10-25
death,65+,0.775105406,3.206088137,35.98722649,2021-11-01
death,65+,0.552195439,3.773680865,39.73535236,2021-11-08
death,65+,0.699635552,4.400523825,48.93485681,2021-11-15
death,65+,0.727955424,4.695025187,47.04509677,2021-11-22
death,65+,0.952916626,5.58692902,63.37553032,2021-11-29
death,65+,0.863591136,5.538841074,66.75963291,2021-12-06
death,65+,1.16518724,4.846518094,60.71428999,2021-12-13
death,65+,1.446085025,6.492698825,67.19590425,2021-12-20
death,65+,3.613753263,15.44188777,104.6331917,2021-12-27
death,65+,5.937519546,24.50782831,160.1855954,2022-01-03
death,65+,6.729165803,25.40429103,168.0889627,2022-01-10
death,65+,6.190269653,23.81231272,157.4865029,2022-01-17
death,65+,5.251854955,18.04280144,131.1752353,2022-01-24
death,65+,3.859306994,12.46057215,95.37299291,2022-01-31
death,65+,2.829483923,8.11944376,69.5191987,2022-02-07
death,65+,1.903619412,5.509494873,42.72527462,2022-02-14
death,65+,1.412001911,3.398702027,29.03410174,2022-02-21
death,65+,1.066305595,2.682211573,19.66675285,2022-02-28
death,65+,0.796307145,1.503832448,13.20737298,2022-03-07
death,65+,0.519502183,1.283888051,9.055229304,2022-03-14
death,65+,0.419116477,0.809984367,7.156681155,2022-03-21
death,65+,0.422684639,0.632730104,5.36173466,2022-03-28
death,65+,0.468306799,0.655796652,4.711435141,2022-04-04
death,65+,0.494600225,0.65901553,5.014631099,2022-04-11
death,65+,0.648949902,0.713418256,5.017929732,2022-04-18
death,65+,0.773554599,0.921952897,6.770869335,2022-04-25
death,65+,0.957058086,1.090724061,7.964436183,2022-05-02
death,65+,1.007006074,1.333177073,9.374371811,2022-05-09
death,65+,1.0298115,1.493840863,9.360933205,2022-05-16
death,65+,1.025719765,1.384490644,9.138517475,2022-05-23
