county,fips,population,type,has_scraper,caveat,url,source,region,has_polygons,has_recoveries,include_new_deaths,include_averages,include_map,include_places_timeseries,include_places_percapita,include_hospital_patients,include_icu_beds
Alameda,001,"1,643,700",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/alameda-county/,automatic,Bay Area,False,False,True,True,True,True,True,True,True
Alpine,003,"1,146",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/alpine-county/,,Greater Sacramento,False,True,False,True,False,False,False,False,False
Amador,005,"37,829",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/amador-county/,automatic,Greater Sacramento,False,True,True,False,True,True,False,True,True
Butte,007,"227,075",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/butte-county/,automatic,Greater Sacramento,False,True,True,True,True,True,False,True,True
Calaveras,009,"45,235",supervisor districts,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/calaveras-county/,manual,San Joaquin Valley,False,True,True,False,True,True,True,True,True
Colusa,011,"21,464",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/colusa-county/,,Greater Sacramento,False,True,False,False,False,False,False,True,True
Contra Costa,013,"1,133,247",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/contra-costa-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
Del Norte,015,"27,424",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/del-norte-county/,manual,Northern California,False,True,False,False,True,True,True,False,False
El Dorado,017,"186,661",cities and regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/el-dorado-county/,automatic,Greater Sacramento,False,True,False,False,True,True,True,True,True
Fresno,019,"978,130",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/fresno-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Glenn,021,"27,897",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/glenn-county/,,Northern California,False,True,False,False,False,False,False,False,False
Humboldt,023,"135,768",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/humboldt-county/,automatic,Northern California,False,True,False,False,True,True,True,True,True
Imperial,025,"180,216",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/imperial-county/,automatic,Southern California,False,True,True,True,True,True,True,True,True
Inyo,027,"18,085",regions,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/inyo-county/,manual,Southern California,False,True,False,False,True,True,True,True,True
Kern,029,"883,053",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/kern-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Kings,031,"150,075",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/kings-county/,manual,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Lake,033,"64,148",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/lake-county/,automatic,Northern California,False,True,False,False,True,False,True,True,True
Lassen,035,"31,185",regions,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/lassen-county/,manual,Northern California,False,True,False,False,True,False,True,False,False
Long Beach,,,ZIP Codes,True,,,automatic,Southern California,False,True,True,True,True,True,True,True,True
Pasadena,,,ZIP Codes,True,,https://www.cityofpasadena.net/public-health/covid-19-dashboard/,,Southern California,False,False,True,True,True,True,True,True,True
Los Angeles,037,"10,098,052",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/los-angeles-county/,manual,Southern California,True,False,True,True,True,True,True,True,True
Madera,039,"155,013",reporting areas,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/madera-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Marin,041,"260,295",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/marin-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
Mariposa,043,"17,540",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/mariposa-county/,,San Joaquin Valley,False,True,False,False,False,False,False,False,False
Mendocino,045,"87,422",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/mendocino-county/,automatic,Northern California,False,True,True,False,True,True,True,True,True
Merced,047,"269,075",cities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/merced-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Modoc,049,"8,938",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/modoc-county/,,Northern California,False,True,False,False,False,False,False,False,False
Mono,051,"14,174",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/mono-county/,manual,Southern California,False,False,False,False,True,True,True,True,True
Monterey,053,"433,212",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/monterey-county/,manual,Bay Area,False,True,True,True,True,True,False,True,True
Napa,055,"140,530",cities and regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/napa-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
Nevada,057,"99,092",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/nevada-county/,automatic,Greater Sacramento,False,True,False,False,True,True,True,True,True
Orange,059,"3,164,182",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/orange-county/,automatic,Southern California,False,True,True,True,True,True,True,True,True
Placer,061,"380,077",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/placer-county/,automatic,Greater Sacramento,False,True,True,False,True,True,True,True,True
Plumas,063,"18,699",regions,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/plumas-county/,manual,Greater Sacramento,False,True,False,False,True,True,True,False,False
Riverside,065,"2,383,286",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/riverside-county/,manual,Southern California,False,True,True,True,True,True,True,True,True
Sacramento,067,"1,510,023",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/sacramento-county/,manual,Greater Sacramento,False,True,True,True,True,True,True,True,True
San Benito,069,"59,416",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-benito-county/,,San Joaquin Valley,False,True,True,False,False,False,False,True,True
San Bernardino,071,"2,135,413",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-bernardino-county/,automatic,Southern California,False,True,True,True,True,True,True,True,True
San Diego,073,"3,302,833",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-diego-county/,automatic,Southern California,False,False,True,True,True,True,True,True,True
San Francisco,075,"870,044",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-francisco-county/,automatic,Bay Area,False,False,True,True,True,True,True,True,True
San Joaquin,077,"732,212",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-joaquin-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
San Luis Obispo,079,"281,455",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-luis-obispo-county/,automatic,Southern California,False,True,True,True,True,True,True,True,True
San Mateo,081,"765,935",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/san-mateo-county/,automatic,Bay Area,False,False,True,True,True,True,True,True,True
Santa Barbara,083,"443,738",cities and regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/santa-barbara-county/,automatic,Southern California,False,True,True,True,True,True,True,True,True
Santa Clara,085,"1,922,200",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/santa-clara-county/,manual,Bay Area,False,False,True,True,True,True,True,True,True
Santa Cruz,087,"273,765",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/santa-cruz-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
