id,title,type,author_name,image_url,date,month,week_start
ZCspC,California leads on electric vehicles,d3-maps-choropleth,Stiles,//img.datawrapper.de/ksTqI/ad6c0c28fb48c763a54843146f33d18b/full.png,2022-08-24,August,2022-08-22
ksTqI,California still fueled by gas,d3-bars,Stiles,//img.datawrapper.de/Q91BW/5ea61e53e0b6b3c100f337a7591f387e/full.png,2022-08-24,August,2022-08-22
iSNsf,School book bans by state,d3-maps-choropleth,Deen,//img.datawrapper.de/PdsBn/46639260a01abb52d2db1e82629d27b5/full.png,2022-08-23,August,2022-08-22
Q91BW,Dining out vs. eating at home,d3-lines,Deen,//img.datawrapper.de/zXfEf/4daf2cfeee1967898e5c084b2e1cdec1/full.png,2022-08-23,August,2022-08-22
PdsBn,Percent change in CPI for food,d3-lines,Deen,//img.datawrapper.de/A5jS1/5535716089c901a50952c0ab3b0c6e45/full.png,2022-08-23,August,2022-08-22
zXfEf,Polio vaccination worldwide,d3-maps-choropleth,Matthews,//img.datawrapper.de/o2ZUA/002c5fb696e74e3563a37578c1fb82d4/full.png,2022-08-19,August,2022-08-15
A5jS1,New York polio vaccination rates,d3-maps-choropleth,Matthews,//img.datawrapper.de/5Xj8o/3e42b6dd290a36231e3d8ae9376e8a33/full.png,2022-08-19,August,2022-08-15
o2ZUA,Germans support Ukraine despite gas prices,d3-bars,Matthews,//img.datawrapper.de/k5Euz/6d65b08ff5d40afcd65ad7b3b5b7af18/full.png,2022-08-17,August,2022-08-15
5Xj8o,Gas trade from Russia to Germany,d3-lines,Matthews,//img.datawrapper.de/PYeCO/64bdb8081d70cf5237c7a2a279f7bcbd/full.png,2022-08-17,August,2022-08-15
k5Euz,German gas storage over time,d3-area,Matthews,//img.datawrapper.de/w5BFQ/06ecd4513f9f4987057842e404f4cd88/full.png,2022-08-17,August,2022-08-15
LUeJq,More guns found by TSA,column-chart,Deen,//img.datawrapper.de/fKWir/cce7ac85932d2200ad3f0cf1a6815658/full.png,2022-08-17,August,2022-08-15
geVVU,Crude oil below $100 per barrel,d3-lines,Deen,//img.datawrapper.de/qgnQ4/8465ce82f9d023db81f8f92b94880033/full.png,2022-08-17,August,2022-08-15
PYeCO,Price of gas per gallon drops,d3-lines,Deen,//img.datawrapper.de/Wg070/9c45fd61be06f94c4e51aa4beeb267a5/full.png,2022-08-17,August,2022-08-15
w5BFQ,Wind turbine and electric vehicle factories,d3-multiple-donuts,Deen,//img.datawrapper.de/tWOs5/3ea7631b144de6d6fbe6f3dc24830c5b/full.png,2022-08-16,August,2022-08-15
fKWir,Hong Kong's population is declining,column-chart,Deen,//img.datawrapper.de/dJsO1/ebc01aecbd364ffab7fd35538a3b8d86/full.png,2022-08-12,August,2022-08-08
qgnQ4,Global monkeypox cases,d3-maps-choropleth,Stiles,//img.datawrapper.de/dU7Cs/38b95369e0de63517f6d591ce9b17661/full.png,2022-08-11,August,2022-08-08
Wg070,Teens aren't using Facebook anymore,d3-lines,Deen,//img.datawrapper.de/52ntX/5f106d81f6fd615cb51077df6a401cf1/full.png,2022-08-11,August,2022-08-08
tWOs5,Global air conditioning stock,d3-area,Deen,//img.datawrapper.de/qBn73/8c10b812a1d2cf271c631f593b2a1270/full.png,2022-08-09,August,2022-08-08
IF3IP,Serena Williams' dominance,column-chart,Stiles,//img.datawrapper.de/NtZsP/b9c4a6d1702ee7f3fa2e968df5c58678/full.png,2022-08-09,August,2022-08-08
