week,count
2021-12-06,3
2021-12-13,11
2021-12-20,7
2021-12-27,6
2022-01-03,12
2022-01-10,2
2022-01-17,17
2022-01-24,13
2022-01-31,7
2022-02-07,21
2022-02-14,9
2022-02-21,12
2022-02-28,8
2022-03-07,4
2022-03-14,12
2022-03-21,2
2022-03-28,3
2022-04-04,11
2022-04-11,2
2022-04-18,4
2022-04-25,11
2022-05-02,14
2022-05-09,10
2022-05-16,1
2022-05-23,11
2022-05-30,10
2022-06-06,7
2022-06-13,5
2022-06-20,12
2022-06-27,9
2022-07-04,6
2022-07-11,7
2022-07-18,15
2022-07-25,7
2022-08-01,15
2022-08-08,7
2022-08-15,9
2022-08-22,5
