week,week_ending_date,year,count
1,2020-01-04,Normal,59317.0
2,2020-01-11,Normal,59993.0
3,2020-01-18,Normal,58469.0
4,2020-01-25,Normal,57655.0
5,2020-02-01,Normal,57358.0
6,2020-02-08,Normal,57383.0
7,2020-02-15,Normal,57172.0
8,2020-02-22,Normal,56397.0
9,2020-02-29,Normal,56023.0
10,2020-03-07,Normal,56210.0
11,2020-03-14,Normal,55311.0
12,2020-03-21,Normal,54937.0
13,2020-03-28,Normal,54234.0
14,2020-04-04,Normal,54153.0
15,2020-04-11,Normal,53792.0
16,2020-04-18,Normal,52724.0
17,2020-04-25,Normal,52209.0
18,2020-05-02,Normal,52184.0
19,2020-05-09,Normal,51621.0
20,2020-05-16,Normal,50758.0
21,2020-05-23,Normal,50772.0
22,2020-05-30,Normal,50376.0
23,2020-06-06,Normal,50688.0
24,2020-06-13,Normal,50295.0
25,2020-06-20,Normal,50154.0
26,2020-06-27,Normal,50038.0
27,2020-07-04,Normal,50197.0
28,2020-07-11,Normal,49934.0
29,2020-07-18,Normal,49610.0
30,2020-07-25,Normal,49496.0
31,2020-08-01,Normal,49511.0
32,2020-08-08,Normal,49683.0
33,2020-08-15,Normal,49442.0
34,2020-08-22,Normal,49317.0
35,2020-08-29,Normal,49617.0
36,2020-09-05,Normal,49924.0
37,2020-09-12,Normal,50075.0
38,2020-09-19,Normal,50332.0
39,2020-09-26,Normal,50458.0
40,2020-10-03,Normal,51334.0
41,2020-10-10,Normal,51367.0
42,2020-10-17,Normal,51895.0
43,2020-10-24,Normal,51997.0
44,2020-10-31,Normal,52258.0
45,2020-11-07,Normal,52840.0
46,2020-11-14,Normal,53397.0
47,2020-11-21,Normal,53760.0
48,2020-11-28,Normal,54008.0
49,2020-12-05,Normal,55130.0
50,2020-12-12,Normal,55574.0
51,2020-12-19,Normal,56383.0
52,2020-12-26,Normal,57016.0
1,2020-01-04,2020,60168.0
2,2020-01-11,2020,60717.0
3,2020-01-18,2020,59358.0
4,2020-01-25,2020,59149.0
5,2020-02-01,2020,58819.0
6,2020-02-08,2020,59454.0
7,2020-02-15,2020,58798.0
8,2020-02-22,2020,58884.0
9,2020-02-29,2020,59319.0
10,2020-03-07,2020,59700.0
11,2020-03-14,2020,58660.0
12,2020-03-21,2020,59197.0
13,2020-03-28,2020,62996.0
14,2020-04-04,2020,72297.0
15,2020-04-11,2020,79076.0
16,2020-04-18,2020,76782.0
17,2020-04-25,2020,73891.0
18,2020-05-02,2020,69282.0
19,2020-05-09,2020,66794.0
20,2020-05-16,2020,64454.0
21,2020-05-23,2020,61613.0
22,2020-05-30,2020,59651.0
23,2020-06-06,2020,58862.0
24,2020-06-13,2020,58004.0
25,2020-06-20,2020,57964.0
26,2020-06-27,2020,58477.0
27,2020-07-04,2020,59781.0
28,2020-07-11,2020,61897.0
29,2020-07-18,2020,63122.0
30,2020-07-25,2020,64201.0
31,2020-08-01,2020,64189.0
32,2020-08-08,2020,63671.0
33,2020-08-15,2020,63592.0
34,2020-08-22,2020,62501.0
35,2020-08-29,2020,61061.0
36,2020-09-05,2020,60175.0
37,2020-09-12,2020,59580.0
38,2020-09-19,2020,59662.0
39,2020-09-26,2020,60531.0
40,2020-10-03,2020,59627.0
41,2020-10-10,2020,61470.0
42,2020-10-17,2020,60110.0
43,2020-10-24,2020,61647.0
44,2020-10-31,2020,62866.0
45,2020-11-07,2020,66990.0
46,2020-11-14,2020,68189.0
47,2020-11-21,2020,70616.0
48,2020-11-28,2020,72266.0
49,2020-12-05,2020,75528.0
50,2020-12-12,2020,79544.0
51,2020-12-19,2020,80148.0
52,2020-12-26,2020,81185.0
