Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547756490,2019-01-17T20:21:30Z,DAL89,"33.946301,-118.412689",0,0,354
1547756727,2019-01-17T20:25:27Z,DAL89,"33.946484,-118.412483",0,0,38
1547756768,2019-01-17T20:26:08Z,DAL89,"33.946262,-118.412766",0,0,228
1547757153,2019-01-17T20:32:33Z,DAL89,"33.94677,-118.412834",0,16,351
1547757162,2019-01-17T20:32:42Z,DAL89,"33.946999,-118.412857",0,15,351
1547757174,2019-01-17T20:32:54Z,DAL89,"33.947311,-118.412918",0,18,351
1547757181,2019-01-17T20:33:01Z,DAL89,"33.947533,-118.412949",0,22,351
1547757187,2019-01-17T20:33:07Z,DAL89,"33.9478,-118.412872",0,27,8
1547757193,2019-01-17T20:33:13Z,DAL89,"33.947998,-118.412575",0,27,39
1547757201,2019-01-17T20:33:21Z,DAL89,"33.948055,-118.412079",0,25,75
1547757209,2019-01-17T20:33:29Z,DAL89,"33.948086,-118.411629",0,26,81
1547757220,2019-01-17T20:33:40Z,DAL89,"33.948151,-118.410973",0,28,84
1547757228,2019-01-17T20:33:48Z,DAL89,"33.948208,-118.4104",0,29,84
1547757235,2019-01-17T20:33:55Z,DAL89,"33.948257,-118.409958",0,31,81
1547757241,2019-01-17T20:34:01Z,DAL89,"33.948299,-118.409515",0,32,81
1547757247,2019-01-17T20:34:07Z,DAL89,"33.948349,-118.409111",0,33,81
1547757253,2019-01-17T20:34:13Z,DAL89,"33.948406,-118.408569",0,15,84
1547757259,2019-01-17T20:34:19Z,DAL89,"33.948463,-118.408012",0,15,84
1547757267,2019-01-17T20:34:27Z,DAL89,"33.948521,-118.407486",0,16,81
1547757282,2019-01-17T20:34:42Z,DAL89,"33.948662,-118.406067",0,16,81
1547757291,2019-01-17T20:34:51Z,DAL89,"33.94875,-118.405281",0,16,84
1547757303,2019-01-17T20:35:03Z,DAL89,"33.948853,-118.404198",0,15,84
1547757314,2019-01-17T20:35:14Z,DAL89,"33.948944,-118.40329",0,33,84
1547757321,2019-01-17T20:35:21Z,DAL89,"33.949009,-118.402649",0,30,81
1547757329,2019-01-17T20:35:29Z,DAL89,"33.949059,-118.402145",0,29,81
1547757340,2019-01-17T20:35:40Z,DAL89,"33.949127,-118.40152",0,15,81
1547757359,2019-01-17T20:35:59Z,DAL89,"33.949162,-118.401291",0,11,81
1547757370,2019-01-17T20:36:10Z,DAL89,"33.949184,-118.400963",0,16,84
1547757382,2019-01-17T20:36:22Z,DAL89,"33.949219,-118.400528",0,19,84
1547757390,2019-01-17T20:36:30Z,DAL89,"33.949245,-118.400299",0,20,84
1547757400,2019-01-17T20:36:40Z,DAL89,"33.949314,-118.399673",0,26,81
1547757407,2019-01-17T20:36:47Z,DAL89,"33.949463,-118.399345",0,27,64
1547757414,2019-01-17T20:36:54Z,DAL89,"33.949696,-118.39917",0,25,42
1547757422,2019-01-17T20:37:02Z,DAL89,"33.950089,-118.399139",0,21,11
1547757431,2019-01-17T20:37:11Z,DAL89,"33.950375,-118.399185",0,16,357
1547757446,2019-01-17T20:37:26Z,DAL89,"33.950512,-118.399529",0,12,309
1547757481,2019-01-17T20:38:01Z,DAL89,"33.950386,-118.399895",0,28,270
1547757488,2019-01-17T20:38:08Z,DAL89,"33.950317,-118.400642",0,37,264
1547757498,2019-01-17T20:38:18Z,DAL89,"33.949986,-118.403992",0,84,264
1547757508,2019-01-17T20:38:28Z,DAL89,"33.949245,-118.411217",0,131,262
