Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549826025,2019-02-10T19:13:45Z,DAL89,"33.945206,-118.411232",0,0,95
1549826122,2019-02-10T19:15:22Z,DAL89,"33.945213,-118.411217",0,0,61
1549826212,2019-02-10T19:16:52Z,DAL89,"33.945206,-118.411232",0,0,242
1549826293,2019-02-10T19:18:13Z,DAL89,"33.945213,-118.411217",0,0,61
1549826413,2019-02-10T19:20:13Z,DAL89,"33.945206,-118.411232",0,0,242
1549826617,2019-02-10T19:23:37Z,DAL89,"33.945206,-118.411232",0,0,242
1549826772,2019-02-10T19:26:12Z,DAL89,"33.945206,-118.411232",0,0,242
1549827148,2019-02-10T19:32:28Z,DAL89,"33.945213,-118.411217",0,0,61
1549827273,2019-02-10T19:34:33Z,DAL89,"33.945206,-118.411232",0,0,242
1549827346,2019-02-10T19:35:46Z,DAL89,"33.945213,-118.411217",0,0,61
1549827414,2019-02-10T19:36:54Z,DAL89,"33.945206,-118.411232",0,0,242
1549827468,2019-02-10T19:37:48Z,DAL89,"33.945213,-118.411217",0,0,61
1549827617,2019-02-10T19:40:17Z,DAL89,"33.945206,-118.411232",0,0,242
1549827876,2019-02-10T19:44:36Z,DAL89,"33.945206,-118.411232",0,0,242
1549828177,2019-02-10T19:49:37Z,DAL89,"33.945213,-118.411217",0,0,61
1549828714,2019-02-10T19:58:34Z,DAL89,"33.945213,-118.411217",0,0,61
1549828912,2019-02-10T20:01:52Z,DAL89,"33.945206,-118.411232",0,0,242
1549829059,2019-02-10T20:04:19Z,DAL89,"33.945206,-118.411232",0,0,242
1549829204,2019-02-10T20:06:44Z,DAL89,"33.945213,-118.411217",0,0,61
1549829268,2019-02-10T20:07:48Z,DAL89,"33.945206,-118.411232",0,0,242
1549829412,2019-02-10T20:10:12Z,DAL89,"33.945213,-118.411217",0,0,61
1549829527,2019-02-10T20:12:07Z,DAL89,"33.945213,-118.411217",0,0,61
1549829795,2019-02-10T20:16:35Z,DAL89,"33.945206,-118.411232",0,0,242
1549829990,2019-02-10T20:19:50Z,DAL89,"33.945206,-118.411232",0,0,242
1549830054,2019-02-10T20:20:54Z,DAL89,"33.945213,-118.411217",0,0,61
1549830904,2019-02-10T20:35:04Z,DAL89,"33.945206,-118.411232",0,0,242
1549830966,2019-02-10T20:36:06Z,DAL89,"33.945213,-118.411217",0,0,61
1549831120,2019-02-10T20:38:40Z,DAL89,"33.945213,-118.411217",0,0,61
1549831413,2019-02-10T20:43:33Z,DAL89,"33.945213,-118.411217",0,0,61
1549831603,2019-02-10T20:46:43Z,DAL89,"33.945206,-118.411232",0,0,242
1549832159,2019-02-10T20:55:59Z,DAL89,"33.945213,-118.411217",0,0,61
1549832198,2019-02-10T20:56:38Z,DAL89,"33.945213,-118.411217",0,0,61
1549832402,2019-02-10T21:00:02Z,DAL89,"33.945206,-118.411232",0,0,242
1549832447,2019-02-10T21:00:47Z,DAL89,"33.945206,-118.411232",0,0,242
1549832623,2019-02-10T21:03:43Z,DAL89,"33.945206,-118.411232",0,0,242
1549832699,2019-02-10T21:04:59Z,DAL89,"33.945213,-118.411217",0,0,61
1549832957,2019-02-10T21:09:17Z,DAL89,"33.945206,-118.411232",0,0,242
1549833066,2019-02-10T21:11:06Z,DAL89,"33.945206,-118.411232",0,0,242
1549833227,2019-02-10T21:13:47Z,DAL89,"33.945213,-118.411217",0,0,61
1549833373,2019-02-10T21:16:13Z,DAL89,"33.945213,-118.411217",0,0,61
1549833418,2019-02-10T21:16:58Z,DAL89,"33.945206,-118.411263",0,0,260
1549833446,2019-02-10T21:17:26Z,DAL89,"33.945217,-118.411514",0,9,104
1549833464,2019-02-10T21:17:44Z,DAL89,"33.945229,-118.411728",0,9,109
1549833486,2019-02-10T21:18:06Z,DAL89,"33.945381,-118.411957",0,9,87
1549833509,2019-02-10T21:18:29Z,DAL89,"33.945461,-118.412201",0,9,56
1549833530,2019-02-10T21:18:50Z,DAL89,"33.945431,-118.412453",0,9,30
1549833637,2019-02-10T21:20:37Z,DAL89,"33.94566,-118.412651",0,2,351
1549833661,2019-02-10T21:21:01Z,DAL89,"33.945869,-118.412659",0,2,354
1549833689,2019-02-10T21:21:29Z,DAL89,"33.946106,-118.412704",0,2,351
1549833924,2019-02-10T21:25:24Z,DAL89,"33.946346,-118.412506",0,10,351
1549833934,2019-02-10T21:25:34Z,DAL89,"33.946568,-118.412537",0,14,351
1549833943,2019-02-10T21:25:43Z,DAL89,"33.94677,-118.412552",0,15,351
1549833955,2019-02-10T21:25:55Z,DAL89,"33.947021,-118.412567",0,14,351
1549833971,2019-02-10T21:26:11Z,DAL89,"33.947433,-118.412605",0,20,351
1549833977,2019-02-10T21:26:17Z,DAL89,"33.947674,-118.412674",0,26,345
1549833984,2019-02-10T21:26:24Z,DAL89,"33.947895,-118.412949",0,29,320
1549833992,2019-02-10T21:26:32Z,DAL89,"33.947857,-118.413528",0,29,267
1549833998,2019-02-10T21:26:38Z,DAL89,"33.947685,-118.414223",0,32,250
1549834004,2019-02-10T21:26:44Z,DAL89,"33.947601,-118.414734",0,34,264
1549834011,2019-02-10T21:26:51Z,DAL89,"33.947544,-118.415283",0,34,264
1549834021,2019-02-10T21:27:01Z,DAL89,"33.947456,-118.416222",0,16,264
1549834028,2019-02-10T21:27:08Z,DAL89,"33.947392,-118.417183",0,18,264
1549834038,2019-02-10T21:27:18Z,DAL89,"33.947262,-118.4179",0,28,253
1549834045,2019-02-10T21:27:25Z,DAL89,"33.946964,-118.418198",0,33,205
1549834053,2019-02-10T21:27:33Z,DAL89,"33.946404,-118.418167",0,31,174
1549834063,2019-02-10T21:27:43Z,DAL89,"33.945824,-118.418114",0,31,177
1549834070,2019-02-10T21:27:50Z,DAL89,"33.945217,-118.418037",0,31,174
1549834076,2019-02-10T21:27:56Z,DAL89,"33.944832,-118.417953",0,31,174
1549834083,2019-02-10T21:28:03Z,DAL89,"33.944424,-118.417854",0,32,163
1549834095,2019-02-10T21:28:15Z,DAL89,"33.943634,-118.417236",0,15,171
1549834102,2019-02-10T21:28:22Z,DAL89,"33.943123,-118.417152",0,16,171
1549834108,2019-02-10T21:28:28Z,DAL89,"33.942585,-118.417511",0,21,160
1549834117,2019-02-10T21:28:37Z,DAL89,"33.941643,-118.417465",0,20,174
1549834125,2019-02-10T21:28:45Z,DAL89,"33.941238,-118.417442",0,34,180
1549834141,2019-02-10T21:29:01Z,DAL89,"33.940002,-118.416656",0,19,174
1549834153,2019-02-10T21:29:13Z,DAL89,"33.938931,-118.416473",0,18,171
1549834165,2019-02-10T21:29:25Z,DAL89,"33.938004,-118.416321",0,32,174
1549834177,2019-02-10T21:29:37Z,DAL89,"33.937351,-118.416069",0,32,157
1549834187,2019-02-10T21:29:47Z,DAL89,"33.937134,-118.415886",0,28,90
1549834194,2019-02-10T21:29:54Z,DAL89,"33.937191,-118.415504",0,28,84
1549834202,2019-02-10T21:30:02Z,DAL89,"33.937256,-118.414925",0,27,81
1549834208,2019-02-10T21:30:08Z,DAL89,"33.937294,-118.414566",0,22,81
1549834215,2019-02-10T21:30:15Z,DAL89,"33.937313,-118.414337",0,17,81
1549834231,2019-02-10T21:30:31Z,DAL89,"33.937363,-118.413963",0,11,81
1549834241,2019-02-10T21:30:41Z,DAL89,"33.937386,-118.41375",0,16,81
1549834247,2019-02-10T21:30:47Z,DAL89,"33.937408,-118.413521",0,20,84
1549834253,2019-02-10T21:30:53Z,DAL89,"33.937431,-118.413239",0,24,84
1549834266,2019-02-10T21:31:06Z,DAL89,"33.937511,-118.412491",0,31,81
1549834272,2019-02-10T21:31:12Z,DAL89,"33.937557,-118.412003",0,33,84
1549834278,2019-02-10T21:31:18Z,DAL89,"33.937618,-118.41156",0,34,81
1549834290,2019-02-10T21:31:30Z,DAL89,"33.93771,-118.410545",0,15,84
1549834298,2019-02-10T21:31:38Z,DAL89,"33.937775,-118.409775",0,15,84
1549834307,2019-02-10T21:31:47Z,DAL89,"33.937862,-118.408981",0,16,81
1549834313,2019-02-10T21:31:53Z,DAL89,"33.937923,-118.408432",0,16,81
1549834320,2019-02-10T21:32:00Z,DAL89,"33.937981,-118.407852",0,16,81
1549834331,2019-02-10T21:32:11Z,DAL89,"33.938107,-118.406654",0,19,81
1549834338,2019-02-10T21:32:18Z,DAL89,"33.938175,-118.405983",0,20,81
1549834350,2019-02-10T21:32:30Z,DAL89,"33.938335,-118.404518",0,23,81
1549834364,2019-02-10T21:32:44Z,DAL89,"33.938507,-118.402786",0,22,84
1549834376,2019-02-10T21:32:56Z,DAL89,"33.938675,-118.4011",0,23,84
1549834384,2019-02-10T21:33:04Z,DAL89,"33.938747,-118.400345",0,25,84
1549834390,2019-02-10T21:33:10Z,DAL89,"33.938839,-118.399506",0,26,84
1549834399,2019-02-10T21:33:19Z,DAL89,"33.93898,-118.398087",0,24,84
1549834409,2019-02-10T21:33:29Z,DAL89,"33.939091,-118.396965",0,19,84
1549834422,2019-02-10T21:33:42Z,DAL89,"33.939262,-118.395256",0,21,84
1549834434,2019-02-10T21:33:54Z,DAL89,"33.939411,-118.393784",0,22,84
1549834447,2019-02-10T21:34:07Z,DAL89,"33.939606,-118.392075",0,24,81
1549834464,2019-02-10T21:34:24Z,DAL89,"33.939823,-118.389748",0,26,84
1549834470,2019-02-10T21:34:30Z,DAL89,"33.939926,-118.38884",0,27,81
1549834476,2019-02-10T21:34:36Z,DAL89,"33.940002,-118.388084",0,27,84
1549834482,2019-02-10T21:34:42Z,DAL89,"33.940121,-118.387001",0,28,84
1549834492,2019-02-10T21:34:52Z,DAL89,"33.940269,-118.385506",0,22,84
1549834513,2019-02-10T21:35:13Z,DAL89,"33.940464,-118.383545",0,16,81
1549834523,2019-02-10T21:35:23Z,DAL89,"33.940556,-118.382675",0,16,84
1549834529,2019-02-10T21:35:29Z,DAL89,"33.940609,-118.382164",0,32,84
1549834541,2019-02-10T21:35:41Z,DAL89,"33.940693,-118.381302",0,32,84
1549834552,2019-02-10T21:35:52Z,DAL89,"33.940784,-118.380501",0,19,81
1549834589,2019-02-10T21:36:29Z,DAL89,"33.940807,-118.380264",0,10,84
1549834600,2019-02-10T21:36:40Z,DAL89,"33.940655,-118.380043",0,16,112
1549834613,2019-02-10T21:36:53Z,DAL89,"33.940269,-118.379959",0,19,157
1549834621,2019-02-10T21:37:01Z,DAL89,"33.939995,-118.379929",0,18,168
1549834628,2019-02-10T21:37:08Z,DAL89,"33.939789,-118.379959",0,16,180
1549834678,2019-02-10T21:37:58Z,DAL89,"33.9398,-118.380653",0,17,258
1549834686,2019-02-10T21:38:06Z,DAL89,"33.939697,-118.381653",0,40,261
1549834698,2019-02-10T21:38:18Z,DAL89,"33.939293,-118.385483",0,88,264
1549834710,2019-02-10T21:38:30Z,DAL89,"33.93837,-118.394669",50,143,262
1549834717,2019-02-10T21:38:37Z,DAL89,"33.93782,-118.400215",25,164,263
1549834727,2019-02-10T21:38:47Z,DAL89,"33.937,-118.408928",275,172,263
1549834740,2019-02-10T21:39:00Z,DAL89,"33.936035,-118.42012",900,167,265
1549834749,2019-02-10T21:39:09Z,DAL89,"33.93544,-118.429535",1400,167,265
1549834755,2019-02-10T21:39:15Z,DAL89,"33.934952,-118.436737",1650,171,264
1549834764,2019-02-10T21:39:24Z,DAL89,"33.934441,-118.442688",1775,176,264
1549834773,2019-02-10T21:39:33Z,DAL89,"33.933277,-118.4543",1950,190,262
1549834780,2019-02-10T21:39:40Z,DAL89,"33.932419,-118.46154",2050,197,260
1549834788,2019-02-10T21:39:48Z,DAL89,"33.931503,-118.467819",2150,205,260
1549834800,2019-02-10T21:40:00Z,DAL89,"33.929718,-118.482338",2300,220,262
1549834809,2019-02-10T21:40:09Z,DAL89,"33.928207,-118.495903",2475,233,262
1549834816,2019-02-10T21:40:16Z,DAL89,"33.927505,-118.504944",2750,236,265
1549834823,2019-02-10T21:40:23Z,DAL89,"33.927036,-118.513069",3000,236,266
1549834834,2019-02-10T21:40:34Z,DAL89,"33.926155,-118.528404",3700,228,266
1549834841,2019-02-10T21:40:41Z,DAL89,"33.925735,-118.5355",3950,227,266
1549834847,2019-02-10T21:40:47Z,DAL89,"33.925278,-118.543823",4225,228,266
1549834857,2019-02-10T21:40:57Z,DAL89,"33.924362,-118.557892",4625,231,265
1549834880,2019-02-10T21:41:20Z,DAL89,"33.921524,-118.588272",5375,239,262
1549834897,2019-02-10T21:41:37Z,DAL89,"33.9207,-118.611092",5925,246,280
1549834906,2019-02-10T21:41:46Z,DAL89,"33.924454,-118.622864",6275,250,298
1549834913,2019-02-10T21:41:53Z,DAL89,"33.928436,-118.629456",6500,253,310
1549834919,2019-02-10T21:41:59Z,DAL89,"33.933838,-118.635529",6725,256,321
1549834926,2019-02-10T21:42:06Z,DAL89,"33.940063,-118.640404",6975,261,329
1549834934,2019-02-10T21:42:14Z,DAL89,"33.949196,-118.646851",7250,263,327
1549834940,2019-02-10T21:42:20Z,DAL89,"33.955482,-118.651825",7450,264,325
1549834956,2019-02-10T21:42:36Z,DAL89,"33.970566,-118.663788",7950,266,327
1549834966,2019-02-10T21:42:46Z,DAL89,"33.983318,-118.673462",7950,271,330
1549834974,2019-02-10T21:42:54Z,DAL89,"33.990627,-118.677063",7950,275,342
1549834982,2019-02-10T21:43:02Z,DAL89,"34.002228,-118.678574",7875,289,1
1549834991,2019-02-10T21:43:11Z,DAL89,"34.014359,-118.677345",8050,292,4
1549835001,2019-02-10T21:43:21Z,DAL89,"34.02594,-118.676224",8475,288,4
1549835012,2019-02-10T21:43:32Z,DAL89,"34.042465,-118.674706",9050,287,4
1549835024,2019-02-10T21:43:44Z,DAL89,"34.058258,-118.673416",9425,290,3
1549835037,2019-02-10T21:43:57Z,DAL89,"34.074886,-118.672256",10025,289,5
1549835048,2019-02-10T21:44:08Z,DAL89,"34.090942,-118.668991",10325,300,11
1549835061,2019-02-10T21:44:21Z,DAL89,"34.108311,-118.665329",10450,312,8
1549835074,2019-02-10T21:44:34Z,DAL89,"34.125732,-118.662094",10600,324,8
1549835086,2019-02-10T21:44:46Z,DAL89,"34.143585,-118.658569",10750,336,9
1549835096,2019-02-10T21:44:56Z,DAL89,"34.162994,-118.654022",10900,350,12
1549835109,2019-02-10T21:45:09Z,DAL89,"34.182468,-118.648743",11075,362,12
1549835120,2019-02-10T21:45:20Z,DAL89,"34.200211,-118.643822",11250,370,13
1549835134,2019-02-10T21:45:34Z,DAL89,"34.222,-118.637993",11425,379,12
1549835142,2019-02-10T21:45:42Z,DAL89,"34.239944,-118.634186",11575,379,4
1549835150,2019-02-10T21:45:50Z,DAL89,"34.254116,-118.63443",11800,371,355
1549835158,2019-02-10T21:45:58Z,DAL89,"34.263985,-118.636154",11950,368,350
1549835164,2019-02-10T21:46:04Z,DAL89,"34.273712,-118.638496",12100,367,348
1549835173,2019-02-10T21:46:13Z,DAL89,"34.288982,-118.642334",12400,369,348
1549835210,2019-02-10T21:46:50Z,DAL89,"34.355667,-118.658394",13650,374,349
1549835245,2019-02-10T21:47:25Z,DAL89,"34.412437,-118.671112",14825,375,349
1549835278,2019-02-10T21:47:58Z,DAL89,"34.469147,-118.68351",15850,383,350
1549835309,2019-02-10T21:48:29Z,DAL89,"34.524582,-118.693932",16775,387,351
1549835341,2019-02-10T21:49:01Z,DAL89,"34.585052,-118.705429",17675,392,350
1549835374,2019-02-10T21:49:34Z,DAL89,"34.641312,-118.716301",18625,395,350
1549835421,2019-02-10T21:50:21Z,DAL89,"34.726685,-118.736816",19900,381,338
1549835429,2019-02-10T21:50:29Z,DAL89,"34.736893,-118.742699",20075,374,331
1549835435,2019-02-10T21:50:35Z,DAL89,"34.745846,-118.748993",20225,370,328
1549835441,2019-02-10T21:50:41Z,DAL89,"34.754738,-118.75563",20375,370,328
1549835448,2019-02-10T21:50:48Z,DAL89,"34.767075,-118.764664",20600,371,329
1549835511,2019-02-10T21:51:51Z,DAL89,"34.862972,-118.830246",22050,382,330
1549835574,2019-02-10T21:52:54Z,DAL89,"34.963303,-118.899254",23175,395,330
1549835637,2019-02-10T21:53:57Z,DAL89,"35.064404,-118.968948",24375,402,330
1549835702,2019-02-10T21:55:02Z,DAL89,"35.160095,-119.048241",25700,398,324
1549835763,2019-02-10T21:56:03Z,DAL89,"35.256546,-119.130997",26725,406,324
1549835823,2019-02-10T21:57:03Z,DAL89,"35.347,-119.208588",28825,382,324
1549835886,2019-02-10T21:58:06Z,DAL89,"35.435806,-119.285431",30025,377,324
1549835953,2019-02-10T21:59:13Z,DAL89,"35.533371,-119.370255",30300,394,324
1549836015,2019-02-10T22:00:15Z,DAL89,"35.627335,-119.451828",30550,412,324
1549836076,2019-02-10T22:01:16Z,DAL89,"35.721954,-119.534111",30750,425,324
1549836139,2019-02-10T22:02:19Z,DAL89,"35.824768,-119.623833",31200,432,324
1549836201,2019-02-10T22:03:21Z,DAL89,"35.928909,-119.715042",31725,433,324
1549836266,2019-02-10T22:04:26Z,DAL89,"36.02861,-119.802475",33225,416,324
1549836327,2019-02-10T22:05:27Z,DAL89,"36.127945,-119.89048",33525,421,324
1549836391,2019-02-10T22:06:31Z,DAL89,"36.228348,-119.979004",34000,413,324
1549836455,2019-02-10T22:07:35Z,DAL89,"36.32597,-120.065895",34000,414,324
1549836518,2019-02-10T22:08:38Z,DAL89,"36.424473,-120.153557",34000,418,324
1549836582,2019-02-10T22:09:42Z,DAL89,"36.527958,-120.246063",34000,416,324
1549836645,2019-02-10T22:10:45Z,DAL89,"36.622833,-120.331024",34000,419,324
1549836704,2019-02-10T22:11:44Z,DAL89,"36.718914,-120.41758",34000,418,324
1549836769,2019-02-10T22:12:49Z,DAL89,"36.821548,-120.509949",34000,423,323
1549836831,2019-02-10T22:13:51Z,DAL89,"36.919464,-120.598717",34000,423,324
1549836895,2019-02-10T22:14:55Z,DAL89,"37.022388,-120.692215",34000,430,323
1549836958,2019-02-10T22:15:58Z,DAL89,"37.122849,-120.783752",33150,427,323
1549837020,2019-02-10T22:17:00Z,DAL89,"37.224613,-120.876656",32125,423,323
1549837085,2019-02-10T22:18:05Z,DAL89,"37.324654,-120.968552",32000,424,323
1549837148,2019-02-10T22:19:08Z,DAL89,"37.424648,-121.060616",32000,425,323
1549837211,2019-02-10T22:20:11Z,DAL89,"37.525574,-121.153824",32000,427,323
1549837273,2019-02-10T22:21:13Z,DAL89,"37.625751,-121.246727",32000,428,323
1549837338,2019-02-10T22:22:18Z,DAL89,"37.726822,-121.340607",32000,433,323
