Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551149456,2019-02-26T02:50:56Z,DAL89,"42.218189,-83.35508",0,32,14
1551149472,2019-02-26T02:51:12Z,DAL89,"42.21904,-83.355629",0,30,331
1551149738,2019-02-26T02:55:38Z,DAL89,"42.205765,-83.368629",575,178,207
1551149749,2019-02-26T02:55:49Z,DAL89,"42.197975,-83.374283",1100,178,211
1551149757,2019-02-26T02:55:57Z,DAL89,"42.191364,-83.381187",1575,175,223
1551149763,2019-02-26T02:56:03Z,DAL89,"42.188004,-83.385857",1775,176,227
1551149772,2019-02-26T02:56:12Z,DAL89,"42.183334,-83.393219",1950,183,231
1551149778,2019-02-26T02:56:18Z,DAL89,"42.179993,-83.399025",2075,189,233
1551149785,2019-02-26T02:56:25Z,DAL89,"42.176933,-83.404694",2150,194,234
1551149793,2019-02-26T02:56:33Z,DAL89,"42.171906,-83.414268",2325,203,235
1551149803,2019-02-26T02:56:43Z,DAL89,"42.16753,-83.424301",2500,211,244
1551149811,2019-02-26T02:56:51Z,DAL89,"42.164703,-83.43573",2600,222,259
1551149817,2019-02-26T02:56:57Z,DAL89,"42.164108,-83.443718",2700,227,269
1551149837,2019-02-26T02:57:17Z,DAL89,"42.169064,-83.469078",3225,236,296
1551149844,2019-02-26T02:57:24Z,DAL89,"42.173859,-83.480957",3650,234,300
1551149852,2019-02-26T02:57:32Z,DAL89,"42.177383,-83.487915",4000,231,307
1551149860,2019-02-26T02:57:40Z,DAL89,"42.18401,-83.497688",4425,233,316
1551149869,2019-02-26T02:57:49Z,DAL89,"42.191551,-83.505806",4775,236,324
1551149876,2019-02-26T02:57:56Z,DAL89,"42.200024,-83.512383",5250,234,335
1551149883,2019-02-26T02:58:03Z,DAL89,"42.206352,-83.515259",5575,235,346
1551149889,2019-02-26T02:58:09Z,DAL89,"42.211945,-83.516502",5775,241,355
1551149896,2019-02-26T02:58:16Z,DAL89,"42.220001,-83.516258",5975,252,5
1551149902,2019-02-26T02:58:22Z,DAL89,"42.227142,-83.514946",6125,259,9
1551149908,2019-02-26T02:58:28Z,DAL89,"42.2341,-83.513321",6300,262,10
1551149914,2019-02-26T02:58:34Z,DAL89,"42.241699,-83.511452",6500,265,10
1551149920,2019-02-26T02:58:40Z,DAL89,"42.248337,-83.509827",6625,270,10
1551149930,2019-02-26T02:58:50Z,DAL89,"42.263443,-83.506393",7050,271,9
1551149944,2019-02-26T02:59:04Z,DAL89,"42.278458,-83.50296",7675,267,9
1551149955,2019-02-26T02:59:15Z,DAL89,"42.293335,-83.499588",8150,267,9
1551149968,2019-02-26T02:59:28Z,DAL89,"42.3078,-83.496407",8675,265,9
1551149980,2019-02-26T02:59:40Z,DAL89,"42.322826,-83.493156",9150,267,8
1551149991,2019-02-26T02:59:51Z,DAL89,"42.3367,-83.49028",9525,270,8
1551150003,2019-02-26T03:00:03Z,DAL89,"42.352062,-83.487213",9800,279,8
1551150016,2019-02-26T03:00:16Z,DAL89,"42.368587,-83.484024",9900,294,8
1551150029,2019-02-26T03:00:29Z,DAL89,"42.38493,-83.480888",10025,307,8
1551150040,2019-02-26T03:00:40Z,DAL89,"42.402328,-83.477303",10250,316,8
1551150052,2019-02-26T03:00:52Z,DAL89,"42.419563,-83.473671",10400,328,8
1551150065,2019-02-26T03:01:05Z,DAL89,"42.438881,-83.469521",10525,341,9
1551150076,2019-02-26T03:01:16Z,DAL89,"42.457306,-83.465508",10650,352,9
1551150091,2019-02-26T03:01:31Z,DAL89,"42.482456,-83.460136",10850,365,9
1551150105,2019-02-26T03:01:45Z,DAL89,"42.502846,-83.455658",11250,367,9
1551150115,2019-02-26T03:01:55Z,DAL89,"42.522675,-83.451256",11800,365,9
1551150127,2019-02-26T03:02:07Z,DAL89,"42.542816,-83.446594",12375,362,9
1551150160,2019-02-26T03:02:40Z,DAL89,"42.597519,-83.434418",13400,366,9
1551150193,2019-02-26T03:03:13Z,DAL89,"42.65332,-83.42231",15000,353,9
1551150227,2019-02-26T03:03:47Z,DAL89,"42.706371,-83.410759",16225,352,8
1551150257,2019-02-26T03:04:17Z,DAL89,"42.755493,-83.400589",16975,360,8
1551150292,2019-02-26T03:04:52Z,DAL89,"42.810787,-83.388908",17650,372,8
1551150324,2019-02-26T03:05:24Z,DAL89,"42.868465,-83.376419",18275,385,9
1551150364,2019-02-26T03:06:04Z,DAL89,"42.933407,-83.380211",19600,342,343
1551150372,2019-02-26T03:06:12Z,DAL89,"42.946629,-83.385574",19875,341,343
1551150433,2019-02-26T03:07:13Z,DAL89,"43.038757,-83.419128",21350,351,345
1551150496,2019-02-26T03:08:16Z,DAL89,"43.140797,-83.45594",22875,356,345
1551150559,2019-02-26T03:09:19Z,DAL89,"43.243469,-83.493538",23575,381,344
1551150618,2019-02-26T03:10:18Z,DAL89,"43.348885,-83.531731",24500,392,345
1551150682,2019-02-26T03:11:22Z,DAL89,"43.460285,-83.572411",25650,398,345
1551150744,2019-02-26T03:12:24Z,DAL89,"43.57132,-83.613113",26900,398,345
1551150810,2019-02-26T03:13:30Z,DAL89,"43.687458,-83.655922",27775,404,344
1551150872,2019-02-26T03:14:32Z,DAL89,"43.805004,-83.686852",28000,427,350
1551150934,2019-02-26T03:15:34Z,DAL89,"43.92897,-83.71537",28000,425,350
1551150999,2019-02-26T03:16:39Z,DAL89,"44.052887,-83.744179",28000,428,350
1551151019,2019-02-26T03:16:59Z,DAL89,"44.091721,-83.753159",28000,428,350
1551151109,2019-02-26T03:18:29Z,DAL89,"44.268478,-83.794266",28000,423,350
1551151169,2019-02-26T03:19:29Z,DAL89,"44.38591,-83.821762",28000,423,350
1551151232,2019-02-26T03:20:32Z,DAL89,"44.506546,-83.850067",28000,421,350
1551151293,2019-02-26T03:21:33Z,DAL89,"44.62344,-83.877731",28000,419,350
1551151353,2019-02-26T03:22:33Z,DAL89,"44.739029,-83.905136",28000,418,350
1551151414,2019-02-26T03:23:34Z,DAL89,"44.856899,-83.933205",28000,417,350
1551151477,2019-02-26T03:24:37Z,DAL89,"44.971279,-83.960533",28000,414,350
1551151538,2019-02-26T03:25:38Z,DAL89,"45.088394,-83.988647",28000,415,350
1551151600,2019-02-26T03:26:40Z,DAL89,"45.207367,-84.017357",28000,418,350
1551151661,2019-02-26T03:27:41Z,DAL89,"45.324097,-84.045609",28000,418,350
1551151722,2019-02-26T03:28:42Z,DAL89,"45.437824,-84.07328",28475,421,350
1551151783,2019-02-26T03:29:43Z,DAL89,"45.556347,-84.102127",29350,421,350
1551151845,2019-02-26T03:30:45Z,DAL89,"45.676437,-84.13176",29925,427,350
1551151905,2019-02-26T03:31:45Z,DAL89,"45.79454,-84.160629",30000,424,350
1551151969,2019-02-26T03:32:49Z,DAL89,"45.913559,-84.190109",30000,424,350
1551152029,2019-02-26T03:33:49Z,DAL89,"46.031971,-84.219543",30000,427,350
1551152095,2019-02-26T03:34:55Z,DAL89,"46.160549,-84.251541",30000,428,350
1551152157,2019-02-26T03:35:57Z,DAL89,"46.282059,-84.281952",30000,426,350
1551152218,2019-02-26T03:36:58Z,DAL89,"46.399872,-84.315948",30000,417,343
1551152278,2019-02-26T03:37:58Z,DAL89,"46.503616,-84.378487",30000,398,333
1551152340,2019-02-26T03:39:00Z,DAL89,"46.608147,-84.451012",30000,401,334
1551152401,2019-02-26T03:40:01Z,DAL89,"46.710159,-84.522247",30900,398,334
1551152463,2019-02-26T03:41:03Z,DAL89,"46.810883,-84.59301",31900,391,334
1551152525,2019-02-26T03:42:05Z,DAL89,"46.911667,-84.664307",32225,399,334
1551152586,2019-02-26T03:43:06Z,DAL89,"47.013702,-84.73645",32850,401,334
1551152647,2019-02-26T03:44:07Z,DAL89,"47.116333,-84.809578",33075,409,334
1551152707,2019-02-26T03:45:07Z,DAL89,"47.219513,-84.883118",33625,409,334
1551152769,2019-02-26T03:46:09Z,DAL89,"47.324249,-84.958305",33875,416,333
1551152829,2019-02-26T03:47:09Z,DAL89,"47.429981,-85.034393",34000,418,333
1551152892,2019-02-26T03:48:12Z,DAL89,"47.539398,-85.113625",34000,418,333
1551152969,2019-02-26T03:49:29Z,DAL89,"47.673077,-85.210945",34000,421,333
1551153034,2019-02-26T03:50:34Z,DAL89,"47.785591,-85.29306",34000,418,333
1551153095,2019-02-26T03:51:35Z,DAL89,"47.892609,-85.371872",34000,419,333
1551153157,2019-02-26T03:52:37Z,DAL89,"47.997025,-85.449051",34000,427,333
1551153220,2019-02-26T03:53:40Z,DAL89,"48.111969,-85.534264",34000,429,333
1551153298,2019-02-26T03:54:58Z,DAL89,"48.251587,-85.638496",34000,432,333
1551153360,2019-02-26T03:56:00Z,DAL89,"48.360561,-85.7201",34000,435,333
1551153421,2019-02-26T03:57:01Z,DAL89,"48.474148,-85.805824",34000,437,333
1551153483,2019-02-26T03:58:03Z,DAL89,"48.585114,-85.889847",34000,442,333
1551153565,2019-02-26T03:59:25Z,DAL89,"48.733658,-86.003021",34000,440,333
1551153628,2019-02-26T04:00:28Z,DAL89,"48.848427,-86.091034",34000,444,333
1551153689,2019-02-26T04:01:29Z,DAL89,"48.962173,-86.178726",34000,448,333
1551153752,2019-02-26T04:02:32Z,DAL89,"49.076767,-86.267464",34025,449,332
1551153815,2019-02-26T04:03:35Z,DAL89,"49.193115,-86.358032",34000,448,332
1551153875,2019-02-26T04:04:35Z,DAL89,"49.30513,-86.445709",34000,449,332
1551153890,2019-02-26T04:04:50Z,DAL89,"49.330708,-86.465729",34000,449,332
1551153979,2019-02-26T04:06:19Z,DAL89,"49.49448,-86.59491",34000,442,332
1551154041,2019-02-26T04:07:21Z,DAL89,"49.607414,-86.684578",34000,438,332
1551154080,2019-02-26T04:08:00Z,DAL89,"49.677612,-86.740532",34000,440,332
1551154138,2019-02-26T04:08:58Z,DAL89,"49.782074,-86.824226",34175,445,332
1551154240,2019-02-26T04:10:40Z,DAL89,"49.932991,-86.915314",34800,440,340
1551154295,2019-02-26T04:11:35Z,DAL89,"50.018936,-86.988724",35100,440,324
1551154385,2019-02-26T04:13:05Z,DAL89,"50.191132,-87.270912",35625,445,317
1551154447,2019-02-26T04:14:07Z,DAL89,"50.286381,-87.407082",35800,450,317
1551154507,2019-02-26T04:15:07Z,DAL89,"50.380695,-87.54277",36000,450,317
1551154568,2019-02-26T04:16:08Z,DAL89,"50.473938,-87.67762",36000,452,317
1551154634,2019-02-26T04:17:14Z,DAL89,"50.575516,-87.825432",36000,455,317
1551154695,2019-02-26T04:18:15Z,DAL89,"50.668854,-87.961891",36000,455,317
1551154760,2019-02-26T04:19:20Z,DAL89,"50.767822,-88.107681",36000,452,316
1551154820,2019-02-26T04:20:20Z,DAL89,"50.862579,-88.248123",36000,452,316
1551154890,2019-02-26T04:21:30Z,DAL89,"50.965668,-88.401566",36000,452,316
1551154944,2019-02-26T04:22:24Z,DAL89,"51.047241,-88.523895",36000,452,316
1551154977,2019-02-26T04:22:57Z,DAL89,"51.097366,-88.599243",36000,451,316
1551155087,2019-02-26T04:24:47Z,DAL89,"51.240208,-88.794243",36000,450,317
1551155147,2019-02-26T04:25:47Z,DAL89,"51.31078,-88.90625",36000,450,312
1551155207,2019-02-26T04:26:47Z,DAL89,"51.387306,-89.020271",36000,450,319
1551155269,2019-02-26T04:27:49Z,DAL89,"51.465504,-89.14949",36000,450,312
1551155330,2019-02-26T04:28:50Z,DAL89,"51.556129,-89.285713",36000,450,321
1551155390,2019-02-26T04:29:50Z,DAL89,"51.65192,-89.421509",36000,450,321
1551155451,2019-02-26T04:30:51Z,DAL89,"51.744728,-89.558945",36000,450,316
1551155510,2019-02-26T04:31:50Z,DAL89,"51.832378,-89.701241",36000,450,312
1551155571,2019-02-26T04:32:51Z,DAL89,"51.91814,-89.849365",36000,450,313
1551155635,2019-02-26T04:33:55Z,DAL89,"52.013359,-89.997711",36000,450,321
1551155694,2019-02-26T04:34:54Z,DAL89,"52.099766,-90.141357",36000,450,313
1551155756,2019-02-26T04:35:56Z,DAL89,"52.194859,-90.292816",36000,450,318
1551155818,2019-02-26T04:36:58Z,DAL89,"52.282902,-90.425354",36000,450,320
1551155878,2019-02-26T04:37:58Z,DAL89,"52.376591,-90.564842",36000,450,318
1551155968,2019-02-26T04:39:28Z,DAL89,"52.539444,-90.811897",36000,450,321
1551156031,2019-02-26T04:40:31Z,DAL89,"52.643791,-90.980888",36000,450,313
1551156091,2019-02-26T04:41:31Z,DAL89,"52.74847,-91.129936",36000,450,325
1551156153,2019-02-26T04:42:33Z,DAL89,"52.842541,-91.284149",36000,450,310
1551156210,2019-02-26T04:43:30Z,DAL89,"52.933868,-91.429649",36000,450,318
1551156272,2019-02-26T04:44:32Z,DAL89,"53.028027,-91.580437",36000,450,317
1551156294,2019-02-26T04:44:54Z,DAL89,"53.078117,-91.677452",36000,450,315
1551156348,2019-02-26T04:45:48Z,DAL89,"53.157486,-91.805763",36000,447,315
1551156438,2019-02-26T04:47:18Z,DAL89,"53.291153,-92.023605",36000,447,315
1551156498,2019-02-26T04:48:18Z,DAL89,"53.382523,-92.173485",36000,451,315
1551156560,2019-02-26T04:49:20Z,DAL89,"53.473663,-92.324158",36000,453,315
1551156623,2019-02-26T04:50:23Z,DAL89,"53.566589,-92.478516",36000,454,315
1551156668,2019-02-26T04:51:08Z,DAL89,"53.633999,-92.591316",36000,456,315
1551156760,2019-02-26T04:52:40Z,DAL89,"53.75655,-92.790985",36000,450,316
1551156819,2019-02-26T04:53:39Z,DAL89,"53.835323,-92.90992",36000,450,319
1551156881,2019-02-26T04:54:41Z,DAL89,"53.91935,-93.058899",36000,450,311
1551156942,2019-02-26T04:55:42Z,DAL89,"54.001488,-93.198517",36000,450,317
1551157002,2019-02-26T04:56:42Z,DAL89,"54.090641,-93.348915",36000,450,316
1551157063,2019-02-26T04:57:43Z,DAL89,"54.179646,-93.511536",36000,460,311
1551157124,2019-02-26T04:58:44Z,DAL89,"54.26651,-93.663498",36000,460,317
1551157190,2019-02-26T04:59:50Z,DAL89,"54.353832,-93.826668",36000,460,311
1551157248,2019-02-26T05:00:48Z,DAL89,"54.43924,-93.979378",36000,460,316
1551157309,2019-02-26T05:01:49Z,DAL89,"54.531857,-94.153473",36000,460,311
1551157368,2019-02-26T05:02:48Z,DAL89,"54.615906,-94.302399",36000,460,318
1551157427,2019-02-26T05:03:47Z,DAL89,"54.701946,-94.463287",36000,460,311
1551157490,2019-02-26T05:04:50Z,DAL89,"54.795776,-94.622169",36000,460,320
1551157549,2019-02-26T05:05:49Z,DAL89,"54.891666,-94.781296",36000,460,317
1551157610,2019-02-26T05:06:50Z,DAL89,"54.982056,-94.942909",36000,460,312
1551157671,2019-02-26T05:07:51Z,DAL89,"55.062248,-95.109253",36000,460,305
1551157733,2019-02-26T05:08:53Z,DAL89,"55.143513,-95.287514",36000,460,309
1551157792,2019-02-26T05:09:52Z,DAL89,"55.222851,-95.459343",36000,460,312
1551157853,2019-02-26T05:10:53Z,DAL89,"55.303188,-95.645477",36000,460,307
1551157915,2019-02-26T05:11:55Z,DAL89,"55.378548,-95.837875",36000,460,303
1551157976,2019-02-26T05:12:56Z,DAL89,"55.454617,-96.016907",36000,460,312
1551158036,2019-02-26T05:13:56Z,DAL89,"55.523079,-96.191902",36000,460,303
1551158098,2019-02-26T05:14:58Z,DAL89,"55.602047,-96.390472",36000,460,307
1551158187,2019-02-26T05:16:27Z,DAL89,"55.73328,-96.707939",36000,460,312
1551158194,2019-02-26T05:16:34Z,DAL89,"55.766602,-96.797211",36000,461,306
1551158286,2019-02-26T05:18:06Z,DAL89,"55.883789,-97.084015",36000,462,305
1551158350,2019-02-26T05:19:10Z,DAL89,"55.961655,-97.276527",36000,462,305
1551158411,2019-02-26T05:20:11Z,DAL89,"56.03907,-97.46933",36000,461,305
1551158474,2019-02-26T05:21:14Z,DAL89,"56.11607,-97.662537",36000,461,305
1551158537,2019-02-26T05:22:17Z,DAL89,"56.192596,-97.856224",36000,462,305
1551158598,2019-02-26T05:23:18Z,DAL89,"56.269409,-98.052147",36000,465,305
1551158661,2019-02-26T05:24:21Z,DAL89,"56.345711,-98.248329",36000,463,304
1551158723,2019-02-26T05:25:23Z,DAL89,"56.421982,-98.446159",36000,464,304
