Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554057522,2019-03-31T18:38:42Z,DAL89,"33.947147,-118.403992",0,0,205
1554060687,2019-03-31T19:31:27Z,DAL89,"33.947147,-118.403992",0,0,205
1554061007,2019-03-31T19:36:47Z,DAL89,"33.947147,-118.403992",0,0,205
1554061077,2019-03-31T19:37:57Z,DAL89,"33.947147,-118.403992",0,0,205
1554061650,2019-03-31T19:47:30Z,DAL89,"33.947392,-118.403847",0,9,199
1554061670,2019-03-31T19:47:50Z,DAL89,"33.947628,-118.403793",0,9,208
1554061694,2019-03-31T19:48:14Z,DAL89,"33.947906,-118.403709",0,10,236
1554061719,2019-03-31T19:48:39Z,DAL89,"33.948067,-118.403503",0,2,253
1554061752,2019-03-31T19:49:12Z,DAL89,"33.948078,-118.403717",0,2,264
1554061773,2019-03-31T19:49:33Z,DAL89,"33.948063,-118.403931",0,2,264
1554062071,2019-03-31T19:54:31Z,DAL89,"33.948044,-118.404152",0,14,264
1554062080,2019-03-31T19:54:40Z,DAL89,"33.948021,-118.404434",0,18,264
1554062087,2019-03-31T19:54:47Z,DAL89,"33.947994,-118.404678",0,19,264
1554062100,2019-03-31T19:55:00Z,DAL89,"33.947948,-118.405151",0,19,264
1554062116,2019-03-31T19:55:16Z,DAL89,"33.94788,-118.405884",0,20,264
1554062122,2019-03-31T19:55:22Z,DAL89,"33.947845,-118.406136",0,20,261
1554062130,2019-03-31T19:55:30Z,DAL89,"33.947811,-118.406395",0,20,261
1554062141,2019-03-31T19:55:41Z,DAL89,"33.947765,-118.406937",0,20,261
1554062153,2019-03-31T19:55:53Z,DAL89,"33.947708,-118.407455",0,19,261
1554062161,2019-03-31T19:56:01Z,DAL89,"33.947685,-118.407669",0,9,261
1554062241,2019-03-31T19:57:21Z,DAL89,"33.947651,-118.407898",0,16,261
1554062248,2019-03-31T19:57:28Z,DAL89,"33.947628,-118.408119",0,20,261
1554062258,2019-03-31T19:57:38Z,DAL89,"33.947567,-118.408699",0,23,264
1554062267,2019-03-31T19:57:47Z,DAL89,"33.947525,-118.409172",0,24,264
1554062276,2019-03-31T19:57:56Z,DAL89,"33.947475,-118.409668",0,25,264
1554062284,2019-03-31T19:58:04Z,DAL89,"33.947422,-118.410172",0,26,264
