Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554488771,2019-04-05T18:26:11Z,DAL89,"33.945202,-118.411232",0,0,180
1554489404,2019-04-05T18:36:44Z,DAL89,"33.945206,-118.411232",0,0,92
1554489478,2019-04-05T18:37:58Z,DAL89,"33.945202,-118.411232",0,0,180
1554489834,2019-04-05T18:43:54Z,DAL89,"33.945206,-118.411232",0,0,180
1554490273,2019-04-05T18:51:13Z,DAL89,"33.945202,-118.411232",0,0,180
1554490733,2019-04-05T18:58:53Z,DAL89,"33.945202,-118.411232",0,0,180
1554490803,2019-04-05T19:00:03Z,DAL89,"33.945206,-118.411232",0,0,180
1554491211,2019-04-05T19:06:51Z,DAL89,"33.945202,-118.411232",0,0,180
1554491397,2019-04-05T19:09:57Z,DAL89,"33.945202,-118.411232",0,0,180
1554492008,2019-04-05T19:20:08Z,DAL89,"33.945206,-118.411232",0,0,180
1554492660,2019-04-05T19:31:00Z,DAL89,"33.945206,-118.411232",0,0,92
1554493110,2019-04-05T19:38:30Z,DAL89,"33.945206,-118.411232",0,0,180
1554493440,2019-04-05T19:44:00Z,DAL89,"33.945202,-118.411232",0,0,180
1554493812,2019-04-05T19:50:12Z,DAL89,"33.945194,-118.411491",0,9,98
1554493829,2019-04-05T19:50:29Z,DAL89,"33.945168,-118.411713",0,9,115
1554493848,2019-04-05T19:50:48Z,DAL89,"33.945202,-118.411919",0,9,129
1554493867,2019-04-05T19:51:07Z,DAL89,"33.945404,-118.412048",0,9,104
1554493909,2019-04-05T19:51:49Z,DAL89,"33.945648,-118.41246",0,10,19
1554493972,2019-04-05T19:52:52Z,DAL89,"33.945797,-118.412689",0,9,348
1554493992,2019-04-05T19:53:12Z,DAL89,"33.946045,-118.412735",0,9,351
1554494066,2019-04-05T19:54:26Z,DAL89,"33.946251,-118.412788",0,0,318
1554494194,2019-04-05T19:56:34Z,DAL89,"33.946484,-118.412888",0,12,351
1554494238,2019-04-05T19:57:18Z,DAL89,"33.947296,-118.41304",0,9,351
1554494259,2019-04-05T19:57:39Z,DAL89,"33.947533,-118.413094",0,10,351
1554494272,2019-04-05T19:57:52Z,DAL89,"33.947823,-118.413132",0,18,354
1554494278,2019-04-05T19:57:58Z,DAL89,"33.947845,-118.412926",0,18,17
1554494288,2019-04-05T19:58:08Z,DAL89,"33.948009,-118.412643",0,19,36
1554494295,2019-04-05T19:58:15Z,DAL89,"33.948029,-118.412422",0,18,61
1554494303,2019-04-05T19:58:23Z,DAL89,"33.948044,-118.412148",0,19,75
1554494311,2019-04-05T19:58:31Z,DAL89,"33.948078,-118.41169",0,21,81
1554494317,2019-04-05T19:58:37Z,DAL89,"33.948116,-118.4114",0,22,81
1554494325,2019-04-05T19:58:45Z,DAL89,"33.948139,-118.411087",0,24,84
1554494339,2019-04-05T19:58:59Z,DAL89,"33.948223,-118.410255",0,27,81
1554494345,2019-04-05T19:59:05Z,DAL89,"33.948265,-118.409859",0,28,84
1554494353,2019-04-05T19:59:13Z,DAL89,"33.948338,-118.409241",0,31,81
1554494359,2019-04-05T19:59:19Z,DAL89,"33.948383,-118.408798",0,32,81
1554494365,2019-04-05T19:59:25Z,DAL89,"33.948418,-118.408348",0,33,84
1554494372,2019-04-05T19:59:32Z,DAL89,"33.948475,-118.407829",0,34,84
1554494391,2019-04-05T19:59:51Z,DAL89,"33.948624,-118.406342",0,32,84
1554494404,2019-04-05T20:00:04Z,DAL89,"33.948742,-118.405197",0,15,81
1554494410,2019-04-05T20:00:10Z,DAL89,"33.948792,-118.404678",0,15,81
1554494416,2019-04-05T20:00:16Z,DAL89,"33.948853,-118.404167",0,15,81
1554494423,2019-04-05T20:00:23Z,DAL89,"33.948906,-118.403694",0,33,84
1554494435,2019-04-05T20:00:35Z,DAL89,"33.948997,-118.402664",0,32,84
1554494443,2019-04-05T20:00:43Z,DAL89,"33.949059,-118.402107",0,29,84
1554494450,2019-04-05T20:00:50Z,DAL89,"33.949104,-118.401703",0,26,84
1554494462,2019-04-05T20:01:02Z,DAL89,"33.949162,-118.401077",0,21,84
1554494468,2019-04-05T20:01:08Z,DAL89,"33.949196,-118.400818",0,19,84
1554494475,2019-04-05T20:01:15Z,DAL89,"33.949219,-118.400574",0,18,84
1554494487,2019-04-05T20:01:27Z,DAL89,"33.949257,-118.400177",0,17,84
1554494500,2019-04-05T20:01:40Z,DAL89,"33.94931,-118.399673",0,23,81
1554494506,2019-04-05T20:01:46Z,DAL89,"33.949501,-118.399269",0,23,64
1554494515,2019-04-05T20:01:55Z,DAL89,"33.949825,-118.399101",0,20,30
1554494522,2019-04-05T20:02:02Z,DAL89,"33.950043,-118.399109",0,21,11
1554494528,2019-04-05T20:02:08Z,DAL89,"33.950272,-118.399139",0,20,2
1554494538,2019-04-05T20:02:18Z,DAL89,"33.950489,-118.39933",0,16,331
1554494546,2019-04-05T20:02:26Z,DAL89,"33.950489,-118.399574",0,13,300
1554494560,2019-04-05T20:02:40Z,DAL89,"33.950409,-118.399788",0,10,272
1554494610,2019-04-05T20:03:30Z,DAL89,"33.950375,-118.400162",0,28,267
1554494620,2019-04-05T20:03:40Z,DAL89,"33.950233,-118.401535",0,49,261
1554494629,2019-04-05T20:03:49Z,DAL89,"33.949711,-118.406639",25,99,263
1554494636,2019-04-05T20:03:56Z,DAL89,"33.94931,-118.410698",25,126,263
1554494642,2019-04-05T20:04:02Z,DAL89,"33.948807,-118.415466",0,143,263
1554494651,2019-04-05T20:04:11Z,DAL89,"33.947941,-118.423691",75,173,262
1554494657,2019-04-05T20:04:17Z,DAL89,"33.947342,-118.429199",250,177,262
1554494663,2019-04-05T20:04:23Z,DAL89,"33.946732,-118.435249",500,178,262
1554494669,2019-04-05T20:04:29Z,DAL89,"33.946125,-118.441147",825,177,263
1554494676,2019-04-05T20:04:36Z,DAL89,"33.945511,-118.44725",1125,177,263
1554494682,2019-04-05T20:04:42Z,DAL89,"33.944962,-118.452988",1400,178,263
1554494688,2019-04-05T20:04:48Z,DAL89,"33.944401,-118.458878",1600,182,263
1554494696,2019-04-05T20:04:56Z,DAL89,"33.94347,-118.468323",1775,189,263
1554494703,2019-04-05T20:05:03Z,DAL89,"33.942902,-118.474823",1875,197,263
1554494709,2019-04-05T20:05:09Z,DAL89,"33.942261,-118.481499",1975,204,263
1554494716,2019-04-05T20:05:16Z,DAL89,"33.94162,-118.488106",2050,211,263
1554494730,2019-04-05T20:05:30Z,DAL89,"33.939701,-118.506889",2300,227,262
1554494739,2019-04-05T20:05:39Z,DAL89,"33.938538,-118.518448",2450,238,263
1554494745,2019-04-05T20:05:45Z,DAL89,"33.937698,-118.526398",2550,245,262
1554494759,2019-04-05T20:05:59Z,DAL89,"33.935944,-118.543266",2775,259,262
1554494768,2019-04-05T20:06:08Z,DAL89,"33.93425,-118.560638",3125,265,263
1554494774,2019-04-05T20:06:14Z,DAL89,"33.933472,-118.569443",3350,266,263
1554494780,2019-04-05T20:06:20Z,DAL89,"33.932602,-118.578186",3625,266,263
1554494787,2019-04-05T20:06:27Z,DAL89,"33.931648,-118.58786",3925,265,263
1554494797,2019-04-05T20:06:37Z,DAL89,"33.930298,-118.60096",4375,264,262
1554494810,2019-04-05T20:06:50Z,DAL89,"33.928482,-118.617844",4975,260,262
1554494831,2019-04-05T20:07:11Z,DAL89,"33.925049,-118.647804",6000,255,261
1554494843,2019-04-05T20:07:23Z,DAL89,"33.922989,-118.664619",6525,254,261
1554494853,2019-04-05T20:07:33Z,DAL89,"33.920708,-118.682327",6875,263,260
1554494864,2019-04-05T20:07:44Z,DAL89,"33.918594,-118.698364",7200,266,260
1554494878,2019-04-05T20:07:58Z,DAL89,"33.916004,-118.716774",7650,267,260
1554494907,2019-04-05T20:08:27Z,DAL89,"33.923172,-118.759346",7900,263,309
1554494913,2019-04-05T20:08:33Z,DAL89,"33.928299,-118.765457",7900,262,319
1554494921,2019-04-05T20:08:41Z,DAL89,"33.934299,-118.770218",7900,263,332
1554494928,2019-04-05T20:08:48Z,DAL89,"33.944729,-118.774628",7900,265,345
1554494935,2019-04-05T20:08:55Z,DAL89,"33.95224,-118.775383",7900,269,359
1554494955,2019-04-05T20:09:15Z,DAL89,"33.976894,-118.76535",7900,278,31
1554494961,2019-04-05T20:09:21Z,DAL89,"33.983738,-118.759918",7900,279,34
1554494978,2019-04-05T20:09:38Z,DAL89,"33.999344,-118.746567",7900,279,35
1554494988,2019-04-05T20:09:48Z,DAL89,"34.01207,-118.73558",7900,277,35
1554495001,2019-04-05T20:10:01Z,DAL89,"34.025032,-118.724327",7900,277,35
1554495014,2019-04-05T20:10:14Z,DAL89,"34.037384,-118.713554",7900,279,35
