Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1555094548,2019-04-12T18:42:28Z,DAL89,"33.945194,-118.411232",0,0,180
1555094925,2019-04-12T18:48:45Z,DAL89,"33.945194,-118.411232",0,0,180
1555095107,2019-04-12T18:51:47Z,DAL89,"33.945194,-118.411232",0,0,180
1555095509,2019-04-12T18:58:29Z,DAL89,"33.945202,-118.411232",0,0,180
1555095735,2019-04-12T19:02:15Z,DAL89,"33.945194,-118.411232",0,0,180
1555095778,2019-04-12T19:02:58Z,DAL89,"33.945194,-118.411232",0,0,180
1555095916,2019-04-12T19:05:16Z,DAL89,"33.945194,-118.411232",0,0,180
1555096151,2019-04-12T19:09:11Z,DAL89,"33.945202,-118.411232",0,0,180
1555096355,2019-04-12T19:12:35Z,DAL89,"33.945202,-118.411232",0,0,180
1555096465,2019-04-12T19:14:25Z,DAL89,"33.945202,-118.411232",0,0,180
1555096706,2019-04-12T19:18:26Z,DAL89,"33.945202,-118.411232",0,0,180
1555096862,2019-04-12T19:21:02Z,DAL89,"33.945202,-118.411232",0,0,180
1555097399,2019-04-12T19:29:59Z,DAL89,"33.945194,-118.411232",0,0,180
1555098331,2019-04-12T19:45:31Z,DAL89,"33.945202,-118.411232",0,0,180
1555098391,2019-04-12T19:46:31Z,DAL89,"33.945202,-118.411232",0,0,180
1555098591,2019-04-12T19:49:51Z,DAL89,"33.945194,-118.411232",0,0,180
1555098813,2019-04-12T19:53:33Z,DAL89,"33.945194,-118.411232",0,0,180
1555099014,2019-04-12T19:56:54Z,DAL89,"33.945202,-118.411232",0,0,180
1555099058,2019-04-12T19:57:38Z,DAL89,"33.945194,-118.411232",0,0,180
1555099202,2019-04-12T20:00:02Z,DAL89,"33.945202,-118.411232",0,0,180
1555099462,2019-04-12T20:04:22Z,DAL89,"33.945194,-118.411232",0,0,180
1555099720,2019-04-12T20:08:40Z,DAL89,"33.945202,-118.411232",0,0,180
1555099795,2019-04-12T20:09:55Z,DAL89,"33.945137,-118.411446",0,9,104
1555099814,2019-04-12T20:10:14Z,DAL89,"33.945145,-118.411652",0,2,112
1555099842,2019-04-12T20:10:42Z,DAL89,"33.945282,-118.411903",0,2,98
1555099869,2019-04-12T20:11:09Z,DAL89,"33.945427,-118.412117",0,2,64
1555099892,2019-04-12T20:11:32Z,DAL89,"33.94545,-118.412346",0,2,36
1555099924,2019-04-12T20:12:04Z,DAL89,"33.945343,-118.412575",0,2,5
1555099986,2019-04-12T20:13:06Z,DAL89,"33.945553,-118.41259",0,9,337
1555100012,2019-04-12T20:13:32Z,DAL89,"33.945774,-118.412704",0,9,345
1555100034,2019-04-12T20:13:54Z,DAL89,"33.946014,-118.41275",0,9,351
1555100153,2019-04-12T20:15:53Z,DAL89,"33.946194,-118.412865",0,0,267
1555100326,2019-04-12T20:18:46Z,DAL89,"33.946175,-118.413071",0,0,212
1555100425,2019-04-12T20:20:25Z,DAL89,"33.946198,-118.412773",0,2,351
1555100444,2019-04-12T20:20:44Z,DAL89,"33.946426,-118.412804",0,15,351
1555100457,2019-04-12T20:20:57Z,DAL89,"33.94677,-118.412842",0,17,351
1555100465,2019-04-12T20:21:05Z,DAL89,"33.947033,-118.412888",0,17,351
1555100476,2019-04-12T20:21:16Z,DAL89,"33.94738,-118.412933",0,18,351
1555100486,2019-04-12T20:21:26Z,DAL89,"33.947731,-118.413017",0,23,348
1555100492,2019-04-12T20:21:32Z,DAL89,"33.947906,-118.413261",0,25,323
1555100500,2019-04-12T20:21:40Z,DAL89,"33.947895,-118.413589",0,24,286
1555100507,2019-04-12T20:21:47Z,DAL89,"33.947754,-118.413979",0,22,255
1555100513,2019-04-12T20:21:53Z,DAL89,"33.947651,-118.414307",0,25,253
1555100521,2019-04-12T20:22:01Z,DAL89,"33.947594,-118.414635",0,28,258
1555100528,2019-04-12T20:22:08Z,DAL89,"33.947521,-118.415306",0,32,261
1555100534,2019-04-12T20:22:14Z,DAL89,"33.947475,-118.415779",0,15,261
1555100541,2019-04-12T20:22:21Z,DAL89,"33.947422,-118.416306",0,15,264
1555100554,2019-04-12T20:22:34Z,DAL89,"33.947323,-118.417351",0,15,264
1555100560,2019-04-12T20:22:40Z,DAL89,"33.947277,-118.417801",0,29,261
1555100567,2019-04-12T20:22:47Z,DAL89,"33.947113,-118.418243",0,27,244
1555100574,2019-04-12T20:22:54Z,DAL89,"33.946743,-118.418327",0,29,196
1555100581,2019-04-12T20:23:01Z,DAL89,"33.946449,-118.418213",0,27,174
1555100593,2019-04-12T20:23:13Z,DAL89,"33.945812,-118.418114",0,29,171
1555100600,2019-04-12T20:23:20Z,DAL89,"33.945236,-118.418015",0,34,174
1555100613,2019-04-12T20:23:33Z,DAL89,"33.944355,-118.417885",0,17,174
1555100626,2019-04-12T20:23:46Z,DAL89,"33.943302,-118.417732",0,19,174
1555100638,2019-04-12T20:23:58Z,DAL89,"33.942112,-118.417557",0,20,171
1555100654,2019-04-12T20:24:14Z,DAL89,"33.940468,-118.417313",0,21,174
1555100661,2019-04-12T20:24:21Z,DAL89,"33.939732,-118.417206",0,22,174
1555100670,2019-04-12T20:24:30Z,DAL89,"33.938793,-118.417053",0,20,171
1555100676,2019-04-12T20:24:36Z,DAL89,"33.938316,-118.416985",0,15,174
1555100686,2019-04-12T20:24:46Z,DAL89,"33.937778,-118.416908",0,28,174
1555100696,2019-04-12T20:24:56Z,DAL89,"33.937153,-118.41674",0,25,160
1555100702,2019-04-12T20:25:02Z,DAL89,"33.937046,-118.416435",0,24,129
1555100709,2019-04-12T20:25:09Z,DAL89,"33.937103,-118.416183",0,22,104
1555100716,2019-04-12T20:25:16Z,DAL89,"33.937164,-118.415848",0,22,87
1555100723,2019-04-12T20:25:23Z,DAL89,"33.937214,-118.415352",0,27,84
1555100730,2019-04-12T20:25:30Z,DAL89,"33.93726,-118.414948",0,31,84
1555100746,2019-04-12T20:25:46Z,DAL89,"33.937397,-118.413643",0,17,81
1555100755,2019-04-12T20:25:55Z,DAL89,"33.937489,-118.412758",0,18,84
1555100770,2019-04-12T20:26:10Z,DAL89,"33.937683,-118.410912",0,20,84
1555100778,2019-04-12T20:26:18Z,DAL89,"33.937744,-118.410248",0,20,84
1555100786,2019-04-12T20:26:26Z,DAL89,"33.937855,-118.409157",0,21,81
1555100797,2019-04-12T20:26:37Z,DAL89,"33.938004,-118.407684",0,22,81
1555100804,2019-04-12T20:26:44Z,DAL89,"33.938084,-118.406952",0,23,81
1555100815,2019-04-12T20:26:55Z,DAL89,"33.93821,-118.405594",0,24,81
1555100826,2019-04-12T20:27:06Z,DAL89,"33.938385,-118.404037",0,27,81
1555100839,2019-04-12T20:27:19Z,DAL89,"33.938587,-118.402016",0,23,81
1555100848,2019-04-12T20:27:28Z,DAL89,"33.938713,-118.400818",0,25,81
1555100856,2019-04-12T20:27:36Z,DAL89,"33.938793,-118.400024",0,20,81
1555100867,2019-04-12T20:27:47Z,DAL89,"33.938919,-118.39875",0,19,84
1555100873,2019-04-12T20:27:53Z,DAL89,"33.938988,-118.398087",0,20,84
1555100884,2019-04-12T20:28:04Z,DAL89,"33.939114,-118.396812",0,21,81
1555100892,2019-04-12T20:28:12Z,DAL89,"33.939201,-118.396011",0,22,84
1555100900,2019-04-12T20:28:20Z,DAL89,"33.939316,-118.39492",0,24,81
1555100906,2019-04-12T20:28:26Z,DAL89,"33.939411,-118.39402",0,25,84
1555100913,2019-04-12T20:28:33Z,DAL89,"33.939491,-118.393242",0,26,84
1555100921,2019-04-12T20:28:41Z,DAL89,"33.939617,-118.391922",0,18,84
1555100930,2019-04-12T20:28:50Z,DAL89,"33.939709,-118.391113",0,19,81
1555100939,2019-04-12T20:28:59Z,DAL89,"33.939816,-118.389961",0,20,84
1555100946,2019-04-12T20:29:06Z,DAL89,"33.939877,-118.38942",0,21,84
1555100959,2019-04-12T20:29:19Z,DAL89,"33.940041,-118.387772",0,23,81
1555100965,2019-04-12T20:29:25Z,DAL89,"33.940121,-118.387009",0,24,81
1555100984,2019-04-12T20:29:44Z,DAL89,"33.940319,-118.385071",0,15,84
1555100991,2019-04-12T20:29:51Z,DAL89,"33.940372,-118.384506",0,16,84
1555101005,2019-04-12T20:30:05Z,DAL89,"33.94051,-118.383179",0,18,84
1555101011,2019-04-12T20:30:11Z,DAL89,"33.94059,-118.382462",0,19,81
1555101025,2019-04-12T20:30:25Z,DAL89,"33.940704,-118.381332",0,25,81
1555101036,2019-04-12T20:30:36Z,DAL89,"33.940739,-118.381004",0,2,84
1555101051,2019-04-12T20:30:51Z,DAL89,"33.940758,-118.380791",0,2,84
1555101089,2019-04-12T20:31:29Z,DAL89,"33.940784,-118.380547",0,15,84
1555101099,2019-04-12T20:31:39Z,DAL89,"33.940746,-118.380203",0,21,92
1555101105,2019-04-12T20:31:45Z,DAL89,"33.940536,-118.37999",0,26,126
1555101111,2019-04-12T20:31:51Z,DAL89,"33.940247,-118.379944",0,25,157
1555101124,2019-04-12T20:32:04Z,DAL89,"33.939781,-118.380348",0,28,225
1555101131,2019-04-12T20:32:11Z,DAL89,"33.93977,-118.380905",0,32,261
1555101137,2019-04-12T20:32:17Z,DAL89,"33.939709,-118.381485",0,26,261
1555101145,2019-04-12T20:32:25Z,DAL89,"33.939571,-118.382912",0,55,264
1555101153,2019-04-12T20:32:33Z,DAL89,"33.93919,-118.386612",250,91,263
1555101164,2019-04-12T20:32:44Z,DAL89,"33.938461,-118.393944",225,133,263
1555101172,2019-04-12T20:32:52Z,DAL89,"33.937885,-118.399544",200,152,263
1555101184,2019-04-12T20:33:04Z,DAL89,"33.936768,-118.410583",525,170,263
1555101194,2019-04-12T20:33:14Z,DAL89,"33.935558,-118.42157",1125,167,262
1555101201,2019-04-12T20:33:21Z,DAL89,"33.934845,-118.427681",1350,172,262
1555101207,2019-04-12T20:33:27Z,DAL89,"33.93425,-118.433571",1575,172,263
1555101219,2019-04-12T20:33:39Z,DAL89,"33.933151,-118.445175",1800,182,263
1555101225,2019-04-12T20:33:45Z,DAL89,"33.932602,-118.45134",1900,189,263
1555101231,2019-04-12T20:33:51Z,DAL89,"33.932007,-118.457672",1975,195,263
1555101239,2019-04-12T20:33:59Z,DAL89,"33.931412,-118.46434",2050,201,264
1555101249,2019-04-12T20:34:09Z,DAL89,"33.930313,-118.478188",2275,213,264
1555101256,2019-04-12T20:34:16Z,DAL89,"33.929764,-118.485474",2400,218,264
1555101269,2019-04-12T20:34:29Z,DAL89,"33.928574,-118.500366",2750,225,264
1555101275,2019-04-12T20:34:35Z,DAL89,"33.927921,-118.50798",2900,229,264
1555101286,2019-04-12T20:34:46Z,DAL89,"33.926712,-118.522964",3125,240,264
1555101299,2019-04-12T20:34:59Z,DAL89,"33.925362,-118.539902",3350,253,264
1555101308,2019-04-12T20:35:08Z,DAL89,"33.924088,-118.55616",3600,262,264
1555101315,2019-04-12T20:35:15Z,DAL89,"33.923218,-118.566246",3800,265,263
1555101322,2019-04-12T20:35:22Z,DAL89,"33.922478,-118.574692",4000,266,263
1555101329,2019-04-12T20:35:29Z,DAL89,"33.921684,-118.583794",4225,268,264
1555101341,2019-04-12T20:35:41Z,DAL89,"33.920471,-118.600777",4625,269,267
1555101349,2019-04-12T20:35:49Z,DAL89,"33.92136,-118.614975",5025,266,281
1555101357,2019-04-12T20:35:57Z,DAL89,"33.925049,-118.627007",5375,260,298
1555101365,2019-04-12T20:36:05Z,DAL89,"33.929226,-118.634377",5575,261,308
1555101372,2019-04-12T20:36:12Z,DAL89,"33.93718,-118.643372",5800,263,323
1555101410,2019-04-12T20:36:50Z,DAL89,"33.978653,-118.670952",7375,258,333
1555101426,2019-04-12T20:37:06Z,DAL89,"33.994537,-118.677979",7650,257,349
1555101451,2019-04-12T20:37:31Z,DAL89,"34.024799,-118.675858",8075,254,6
1555101462,2019-04-12T20:37:42Z,DAL89,"34.03825,-118.674431",8125,251,4
1555101474,2019-04-12T20:37:54Z,DAL89,"34.050121,-118.673462",8150,254,3
1555101486,2019-04-12T20:38:06Z,DAL89,"34.06702,-118.672424",8450,262,2
1555101500,2019-04-12T20:38:20Z,DAL89,"34.081451,-118.671173",9075,258,7
1555101510,2019-04-12T20:38:30Z,DAL89,"34.095184,-118.668251",9625,256,11
1555101523,2019-04-12T20:38:43Z,DAL89,"34.109428,-118.664764",10125,254,11
1555101536,2019-04-12T20:38:56Z,DAL89,"34.12413,-118.661201",10350,264,11
1555101546,2019-04-12T20:39:06Z,DAL89,"34.138199,-118.657776",10475,276,11
1555101558,2019-04-12T20:39:18Z,DAL89,"34.153328,-118.654236",10625,287,11
1555101572,2019-04-12T20:39:32Z,DAL89,"34.170456,-118.650215",10775,299,10
1555101582,2019-04-12T20:39:42Z,DAL89,"34.187031,-118.646332",10925,310,11
1555101594,2019-04-12T20:39:54Z,DAL89,"34.204163,-118.642273",11050,322,11
1555101607,2019-04-12T20:40:07Z,DAL89,"34.222,-118.638054",11175,334,11
1555101619,2019-04-12T20:40:19Z,DAL89,"34.241264,-118.634377",11450,335,3
1555101625,2019-04-12T20:40:25Z,DAL89,"34.250427,-118.634407",11725,333,357
1555101632,2019-04-12T20:40:32Z,DAL89,"34.257889,-118.635475",11950,331,350
1555101642,2019-04-12T20:40:42Z,DAL89,"34.272923,-118.639183",12325,331,347
1555101651,2019-04-12T20:40:51Z,DAL89,"34.286282,-118.642616",12675,331,347
1555101687,2019-04-12T20:41:27Z,DAL89,"34.340103,-118.654755",14075,328,349
1555101741,2019-04-12T20:42:21Z,DAL89,"34.424652,-118.674316",16125,321,345
1555101753,2019-04-12T20:42:33Z,DAL89,"34.44104,-118.682777",16400,323,335
1555101759,2019-04-12T20:42:39Z,DAL89,"34.448795,-118.688339",16525,329,328
1555101766,2019-04-12T20:42:46Z,DAL89,"34.456383,-118.694",16625,331,328
1555101772,2019-04-12T20:42:52Z,DAL89,"34.465759,-118.700996",16775,332,328
1555101817,2019-04-12T20:43:37Z,DAL89,"34.525002,-118.743729",18000,336,329
1555101877,2019-04-12T20:44:37Z,DAL89,"34.607445,-118.801971",19500,341,329
1555101941,2019-04-12T20:45:41Z,DAL89,"34.693333,-118.862854",20850,348,329
1555102001,2019-04-12T20:46:41Z,DAL89,"34.779785,-118.924309",22275,356,329
1555102067,2019-04-12T20:47:47Z,DAL89,"34.872345,-118.990395",23600,366,329
1555102132,2019-04-12T20:48:52Z,DAL89,"34.969894,-119.060242",24925,372,329
1555102197,2019-04-12T20:49:57Z,DAL89,"35.068501,-119.130936",26050,381,329
1555102262,2019-04-12T20:51:02Z,DAL89,"35.165451,-119.200653",27075,389,329
1555102323,2019-04-12T20:52:03Z,DAL89,"35.264328,-119.271988",28025,394,329
1555102388,2019-04-12T20:53:08Z,DAL89,"35.364075,-119.344139",29275,390,329
1555102448,2019-04-12T20:54:08Z,DAL89,"35.459072,-119.412971",30100,393,329
1555102511,2019-04-12T20:55:11Z,DAL89,"35.558975,-119.486488",30400,409,325
1555102529,2019-04-12T20:55:29Z,DAL89,"35.58371,-119.51059",30450,417,318
1555102537,2019-04-12T20:55:37Z,DAL89,"35.596912,-119.524704",30525,418,318
1555102595,2019-04-12T20:56:35Z,DAL89,"35.684944,-119.615051",31250,420,320
1555102659,2019-04-12T20:57:39Z,DAL89,"35.780777,-119.713043",31775,424,320
1555102724,2019-04-12T20:58:44Z,DAL89,"35.876816,-119.811745",32425,425,319
1555102785,2019-04-12T20:59:45Z,DAL89,"35.967888,-119.915421",33075,424,322
1555102791,2019-04-12T20:59:51Z,DAL89,"35.973724,-119.920639",33100,423,324
1555102800,2019-04-12T21:00:00Z,DAL89,"35.988007,-119.932083",33225,421,327
1555102808,2019-04-12T21:00:08Z,DAL89,"36.001236,-119.942322",33325,420,327
1555102872,2019-04-12T21:01:12Z,DAL89,"36.10466,-120.027443",34000,416,325
1555102933,2019-04-12T21:02:13Z,DAL89,"36.206177,-120.111694",34000,417,326
1555102996,2019-04-12T21:03:16Z,DAL89,"36.307487,-120.195984",34000,419,326
1555103061,2019-04-12T21:04:21Z,DAL89,"36.407959,-120.279861",34000,419,326
1555103124,2019-04-12T21:05:24Z,DAL89,"36.510269,-120.365509",34000,417,326
1555103186,2019-04-12T21:06:26Z,DAL89,"36.611286,-120.450417",34000,418,325
1555103245,2019-04-12T21:07:25Z,DAL89,"36.707603,-120.531593",34000,419,325
1555103310,2019-04-12T21:08:30Z,DAL89,"36.80904,-120.617264",34000,421,325
1555103373,2019-04-12T21:09:33Z,DAL89,"36.911407,-120.704163",34000,422,325
1555103437,2019-04-12T21:10:37Z,DAL89,"37.012939,-120.790558",34000,421,325
1555103500,2019-04-12T21:11:40Z,DAL89,"37.114151,-120.876961",34000,419,325
1555103560,2019-04-12T21:12:40Z,DAL89,"37.214676,-120.963097",34000,417,325
1555103625,2019-04-12T21:13:45Z,DAL89,"37.315338,-121.049583",34000,417,325
1555103689,2019-04-12T21:14:49Z,DAL89,"37.41568,-121.136131",34000,418,325
1555103752,2019-04-12T21:15:52Z,DAL89,"37.516754,-121.223557",34000,419,325
1555103813,2019-04-12T21:16:53Z,DAL89,"37.617374,-121.310913",34000,421,325
1555103876,2019-04-12T21:17:56Z,DAL89,"37.718582,-121.39904",34000,421,325
1555103939,2019-04-12T21:18:59Z,DAL89,"37.820068,-121.487755",34000,421,325
1555103999,2019-04-12T21:19:59Z,DAL89,"37.915356,-121.571304",34000,423,325
1555104063,2019-04-12T21:21:03Z,DAL89,"38.017044,-121.660789",34000,423,325
1555104126,2019-04-12T21:22:06Z,DAL89,"38.117718,-121.749649",34000,419,325
1555104190,2019-04-12T21:23:10Z,DAL89,"38.218689,-121.839096",34000,418,325
1555104254,2019-04-12T21:24:14Z,DAL89,"38.319382,-121.928658",34000,417,325
1555104314,2019-04-12T21:25:14Z,DAL89,"38.415092,-122.014038",34000,417,324
1555104379,2019-04-12T21:26:19Z,DAL89,"38.517334,-122.105637",34000,419,324
1555104442,2019-04-12T21:27:22Z,DAL89,"38.618866,-122.196808",34000,420,324
1555104507,2019-04-12T21:28:27Z,DAL89,"38.719482,-122.287506",34000,422,324
1555104569,2019-04-12T21:29:29Z,DAL89,"38.819687,-122.378204",34000,423,324
1555104631,2019-04-12T21:30:31Z,DAL89,"38.921207,-122.470337",34000,428,324
1555104690,2019-04-12T21:31:30Z,DAL89,"39.017899,-122.558411",34000,429,324
1555104754,2019-04-12T21:32:34Z,DAL89,"39.119476,-122.651306",34000,427,324
1555104818,2019-04-12T21:33:38Z,DAL89,"39.221786,-122.745171",34000,425,324
1555104880,2019-04-12T21:34:40Z,DAL89,"39.321121,-122.8367",34000,427,324
1555104945,2019-04-12T21:35:45Z,DAL89,"39.425995,-122.93367",34000,424,324
1555104971,2019-04-12T21:36:11Z,DAL89,"39.468338,-122.972893",34000,424,324
1555105061,2019-04-12T21:37:41Z,DAL89,"39.609375,-123.104073",34000,420,324
1555105122,2019-04-12T21:38:42Z,DAL89,"39.709805,-123.197876",34000,423,324
1555105183,2019-04-12T21:39:43Z,DAL89,"39.803791,-123.28595",34000,421,324
1555105246,2019-04-12T21:40:46Z,DAL89,"39.903507,-123.379761",34000,420,324
1555105309,2019-04-12T21:41:49Z,DAL89,"40.003128,-123.473846",34000,420,323
1555105373,2019-04-12T21:42:53Z,DAL89,"40.100922,-123.566467",34000,422,323
1555105434,2019-04-12T21:43:54Z,DAL89,"40.198746,-123.659546",34000,423,323
1555105497,2019-04-12T21:44:57Z,DAL89,"40.298309,-123.754578",34000,421,323
