Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1556390751,2019-04-27T18:45:51Z,DAL89,"33.944057,-118.411011",0,0,148
1556390802,2019-04-27T18:46:42Z,DAL89,"33.944065,-118.411018",0,0,329
1556390922,2019-04-27T18:48:42Z,DAL89,"33.944057,-118.411011",0,0,61
1556391426,2019-04-27T18:57:06Z,DAL89,"33.944065,-118.411018",0,0,329
1556391669,2019-04-27T19:01:09Z,DAL89,"33.944057,-118.411011",0,0,148
1556392340,2019-04-27T19:12:20Z,DAL89,"33.944057,-118.411011",0,0,148
1556392608,2019-04-27T19:16:48Z,DAL89,"33.944057,-118.411011",0,0,148
1556392749,2019-04-27T19:19:09Z,DAL89,"33.944057,-118.411011",0,0,148
1556392831,2019-04-27T19:20:31Z,DAL89,"33.944065,-118.411018",0,0,329
1556392918,2019-04-27T19:21:58Z,DAL89,"33.944065,-118.411018",0,0,329
1556393198,2019-04-27T19:26:38Z,DAL89,"33.944065,-118.411018",0,0,329
1556393277,2019-04-27T19:27:57Z,DAL89,"33.944057,-118.411011",0,0,148
1556393595,2019-04-27T19:33:15Z,DAL89,"33.944057,-118.411011",0,0,148
1556393901,2019-04-27T19:38:21Z,DAL89,"33.944057,-118.411011",0,0,148
1556393940,2019-04-27T19:39:00Z,DAL89,"33.944057,-118.411011",0,0,148
1556394025,2019-04-27T19:40:25Z,DAL89,"33.944057,-118.411011",0,0,148
1556394388,2019-04-27T19:46:28Z,DAL89,"33.944057,-118.411011",0,0,148
1556394399,2019-04-27T19:46:39Z,DAL89,"33.944057,-118.411011",0,0,148
1556394577,2019-04-27T19:49:37Z,DAL89,"33.944035,-118.411217",0,9,84
1556394601,2019-04-27T19:50:01Z,DAL89,"33.944008,-118.411514",0,9,84
1556394627,2019-04-27T19:50:27Z,DAL89,"33.943977,-118.411865",0,9,84
1556394648,2019-04-27T19:50:48Z,DAL89,"33.943966,-118.41217",0,9,81
1556394669,2019-04-27T19:51:09Z,DAL89,"33.943935,-118.41246",0,10,75
1556394689,2019-04-27T19:51:29Z,DAL89,"33.943901,-118.412773",0,10,64
1556394721,2019-04-27T19:52:01Z,DAL89,"33.943844,-118.413162",0,9,33
1556394742,2019-04-27T19:52:22Z,DAL89,"33.94376,-118.413376",0,2,5
1556394770,2019-04-27T19:52:50Z,DAL89,"33.943554,-118.413475",0,2,340
1556394792,2019-04-27T19:53:12Z,DAL89,"33.943348,-118.413376",0,9,345
1556394817,2019-04-27T19:53:37Z,DAL89,"33.943039,-118.413261",0,10,354
1556394835,2019-04-27T19:53:55Z,DAL89,"33.94281,-118.413261",0,10,354
1556394854,2019-04-27T19:54:14Z,DAL89,"33.942574,-118.413246",0,10,351
1556394871,2019-04-27T19:54:31Z,DAL89,"33.942341,-118.413208",0,10,351
1556394890,2019-04-27T19:54:50Z,DAL89,"33.942097,-118.413193",0,10,354
1556395085,2019-04-27T19:58:05Z,DAL89,"33.942329,-118.413406",0,12,354
1556395104,2019-04-27T19:58:24Z,DAL89,"33.942612,-118.413063",0,17,61
1556395111,2019-04-27T19:58:31Z,DAL89,"33.942616,-118.412842",0,18,64
1556395121,2019-04-27T19:58:41Z,DAL89,"33.942471,-118.412521",0,20,104
1556395128,2019-04-27T19:58:48Z,DAL89,"33.942181,-118.412422",0,19,146
1556395139,2019-04-27T19:58:59Z,DAL89,"33.941875,-118.412415",0,19,165
1556395146,2019-04-27T19:59:06Z,DAL89,"33.941563,-118.412392",0,20,171
1556395154,2019-04-27T19:59:14Z,DAL89,"33.941223,-118.412346",0,22,171
1556395161,2019-04-27T19:59:21Z,DAL89,"33.940968,-118.412315",0,23,171
1556395170,2019-04-27T19:59:30Z,DAL89,"33.940609,-118.412277",0,24,174
1556395180,2019-04-27T19:59:40Z,DAL89,"33.940166,-118.412231",0,24,174
1556395195,2019-04-27T19:59:55Z,DAL89,"33.939491,-118.412155",0,22,171
1556395203,2019-04-27T20:00:03Z,DAL89,"33.939152,-118.412117",0,21,171
1556395216,2019-04-27T20:00:16Z,DAL89,"33.93877,-118.412079",0,17,171
1556395239,2019-04-27T20:00:39Z,DAL89,"33.938438,-118.411461",0,18,104
1556395245,2019-04-27T20:00:45Z,DAL89,"33.938492,-118.411217",0,20,87
1556395252,2019-04-27T20:00:52Z,DAL89,"33.938538,-118.410934",0,21,84
1556395259,2019-04-27T20:00:59Z,DAL89,"33.93856,-118.410675",0,24,84
1556395266,2019-04-27T20:01:06Z,DAL89,"33.938633,-118.409607",0,28,84
1556395279,2019-04-27T20:01:19Z,DAL89,"33.938713,-118.408867",0,31,81
1556395286,2019-04-27T20:01:26Z,DAL89,"33.93877,-118.408371",0,32,81
1556395294,2019-04-27T20:01:34Z,DAL89,"33.93877,-118.407684",0,34,95
1556395300,2019-04-27T20:01:40Z,DAL89,"33.938465,-118.407295",0,31,129
1556395306,2019-04-27T20:01:46Z,DAL89,"33.938221,-118.406998",0,28,135
1556395312,2019-04-27T20:01:52Z,DAL89,"33.938107,-118.406624",0,31,112
1556395323,2019-04-27T20:02:03Z,DAL89,"33.938198,-118.405708",0,34,81
1556395329,2019-04-27T20:02:09Z,DAL89,"33.938267,-118.405197",0,16,81
1556395336,2019-04-27T20:02:16Z,DAL89,"33.938313,-118.404633",0,17,84
1556395342,2019-04-27T20:02:22Z,DAL89,"33.938396,-118.403908",0,19,81
1556395354,2019-04-27T20:02:34Z,DAL89,"33.938538,-118.402504",0,22,81
1556395367,2019-04-27T20:02:47Z,DAL89,"33.938675,-118.401115",0,24,84
1556395380,2019-04-27T20:03:00Z,DAL89,"33.938885,-118.39904",0,27,84
1556395393,2019-04-27T20:03:13Z,DAL89,"33.939095,-118.397011",0,28,81
1556395404,2019-04-27T20:03:24Z,DAL89,"33.939297,-118.395073",0,30,84
1556395412,2019-04-27T20:03:32Z,DAL89,"33.939388,-118.394096",0,29,84
1556395420,2019-04-27T20:03:40Z,DAL89,"33.939548,-118.392593",0,27,81
1556395428,2019-04-27T20:03:48Z,DAL89,"33.939667,-118.391373",0,26,84
1556395435,2019-04-27T20:03:55Z,DAL89,"33.939754,-118.390465",0,24,84
1556395448,2019-04-27T20:04:08Z,DAL89,"33.939934,-118.388741",0,19,84
1556395458,2019-04-27T20:04:18Z,DAL89,"33.940025,-118.387825",0,15,84
1556395474,2019-04-27T20:04:34Z,DAL89,"33.940155,-118.386581",0,34,84
1556395481,2019-04-27T20:04:41Z,DAL89,"33.940201,-118.386177",0,15,81
1556395498,2019-04-27T20:04:58Z,DAL89,"33.940372,-118.384506",0,17,81
1556395510,2019-04-27T20:05:10Z,DAL89,"33.940491,-118.383293",0,18,84
1556395521,2019-04-27T20:05:21Z,DAL89,"33.940609,-118.38208",0,16,84
1556395529,2019-04-27T20:05:29Z,DAL89,"33.94067,-118.381538",0,30,81
1556395537,2019-04-27T20:05:37Z,DAL89,"33.940716,-118.381035",0,22,84
1556395545,2019-04-27T20:05:45Z,DAL89,"33.940746,-118.38073",0,24,81
1556395551,2019-04-27T20:05:51Z,DAL89,"33.940796,-118.380302",0,21,81
1556395563,2019-04-27T20:06:03Z,DAL89,"33.940544,-118.379997",0,24,126
1556395572,2019-04-27T20:06:12Z,DAL89,"33.940144,-118.379913",0,23,163
1556395579,2019-04-27T20:06:19Z,DAL89,"33.939838,-118.38002",0,17,191
1556395587,2019-04-27T20:06:27Z,DAL89,"33.939766,-118.380264",0,14,222
1556395600,2019-04-27T20:06:40Z,DAL89,"33.939789,-118.380547",0,12,253
1556395640,2019-04-27T20:07:20Z,DAL89,"33.939732,-118.381287",0,30,261
1556395647,2019-04-27T20:07:27Z,DAL89,"33.939583,-118.382751",0,58,264
1556395667,2019-04-27T20:07:47Z,DAL89,"33.93837,-118.394554",50,128,262
1556395680,2019-04-27T20:08:00Z,DAL89,"33.937233,-118.405609",75,177,262
1556395686,2019-04-27T20:08:06Z,DAL89,"33.93663,-118.411377",300,178,262
1556395692,2019-04-27T20:08:12Z,DAL89,"33.936035,-118.417259",575,177,263
1556395702,2019-04-27T20:08:22Z,DAL89,"33.93523,-118.428955",1125,177,266
1556395710,2019-04-27T20:08:30Z,DAL89,"33.934952,-118.434967",1350,179,267
1556395720,2019-04-27T20:08:40Z,DAL89,"33.934387,-118.446632",1600,190,266
1556395726,2019-04-27T20:08:46Z,DAL89,"33.933929,-118.453964",1700,197,265
1556395733,2019-04-27T20:08:53Z,DAL89,"33.933414,-118.460831",1775,205,264
1556395739,2019-04-27T20:08:59Z,DAL89,"33.932858,-118.467346",1825,213,263
1556395745,2019-04-27T20:09:05Z,DAL89,"33.93219,-118.474884",1850,223,263
1556395751,2019-04-27T20:09:11Z,DAL89,"33.931553,-118.482056",1875,232,264
1556395763,2019-04-27T20:09:23Z,DAL89,"33.929993,-118.498367",2000,250,262
1556395769,2019-04-27T20:09:29Z,DAL89,"33.929039,-118.507294",2050,258,262
1556395777,2019-04-27T20:09:37Z,DAL89,"33.928162,-118.515968",2200,263,262
1556395787,2019-04-27T20:09:47Z,DAL89,"33.926331,-118.533684",2700,263,262
1556395793,2019-04-27T20:09:53Z,DAL89,"33.925457,-118.54248",2950,264,262
1556395801,2019-04-27T20:10:01Z,DAL89,"33.924572,-118.550835",3250,260,263
1556395810,2019-04-27T20:10:10Z,DAL89,"33.922989,-118.56749",3975,249,263
1556395817,2019-04-27T20:10:17Z,DAL89,"33.922195,-118.576294",4300,248,263
1556395824,2019-04-27T20:10:24Z,DAL89,"33.921497,-118.584251",4500,251,263
1556395836,2019-04-27T20:10:36Z,DAL89,"33.920059,-118.601334",4800,258,264
1556395855,2019-04-27T20:10:55Z,DAL89,"33.917908,-118.627625",5425,262,265
1556395865,2019-04-27T20:11:05Z,DAL89,"33.917587,-118.645248",5825,265,270
1556395878,2019-04-27T20:11:18Z,DAL89,"33.917725,-118.662262",6325,262,270
1556395889,2019-04-27T20:11:29Z,DAL89,"33.917728,-118.679642",6800,263,270
1556395901,2019-04-27T20:11:41Z,DAL89,"33.917679,-118.698082",7150,270,269
1556395913,2019-04-27T20:11:53Z,DAL89,"33.917587,-118.716087",7500,274,269
1556395927,2019-04-27T20:12:07Z,DAL89,"33.91745,-118.734802",7925,276,269
1556395942,2019-04-27T20:12:22Z,DAL89,"33.917309,-118.757858",8425,279,269
1556395953,2019-04-27T20:12:33Z,DAL89,"33.917221,-118.776894",8850,281,269
1556395965,2019-04-27T20:12:45Z,DAL89,"33.917175,-118.795952",9225,285,269
1556395977,2019-04-27T20:12:57Z,DAL89,"33.917076,-118.814964",9675,285,269
1556395990,2019-04-27T20:13:10Z,DAL89,"33.916992,-118.834068",10150,285,269
1556396002,2019-04-27T20:13:22Z,DAL89,"33.916901,-118.853348",10350,296,270
1556396013,2019-04-27T20:13:33Z,DAL89,"33.917309,-118.873611",10475,308,272
1556396059,2019-04-27T20:14:19Z,DAL89,"33.920708,-118.959732",11050,349,272
1556396073,2019-04-27T20:14:33Z,DAL89,"33.921844,-118.987206",11300,358,272
1556396083,2019-04-27T20:14:43Z,DAL89,"33.92276,-119.00811",11625,360,273
1556396101,2019-04-27T20:15:01Z,DAL89,"33.924316,-119.040565",12150,362,273
1556396140,2019-04-27T20:15:40Z,DAL89,"33.92894,-119.122231",13375,371,274
1556396174,2019-04-27T20:16:14Z,DAL89,"33.933334,-119.190285",14450,373,274
1556396205,2019-04-27T20:16:45Z,DAL89,"33.93924,-119.253342",15475,374,284
