Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1558209942,2019-05-18T20:05:42Z,DAL89,"33.947403,-118.403503",0,9,216
1558209963,2019-05-18T20:06:03Z,DAL89,"33.947548,-118.403275",0,9,188
1558209986,2019-05-18T20:06:26Z,DAL89,"33.947765,-118.403091",0,10,151
1558210003,2019-05-18T20:06:43Z,DAL89,"33.947975,-118.403061",0,9,118
1558210034,2019-05-18T20:07:14Z,DAL89,"33.948177,-118.403221",0,2,78
1558210073,2019-05-18T20:07:53Z,DAL89,"33.948143,-118.403442",0,9,78
1558210091,2019-05-18T20:08:11Z,DAL89,"33.94809,-118.403664",0,0,281
1558210278,2019-05-18T20:11:18Z,DAL89,"33.948139,-118.403419",0,13,84
1558210287,2019-05-18T20:11:27Z,DAL89,"33.948166,-118.40316",0,17,84
1558210297,2019-05-18T20:11:37Z,DAL89,"33.948395,-118.402946",0,19,50
1558210309,2019-05-18T20:11:49Z,DAL89,"33.948792,-118.403008",0,19,5
1558210315,2019-05-18T20:11:55Z,DAL89,"33.949001,-118.402893",0,24,19
1558210321,2019-05-18T20:12:01Z,DAL89,"33.949047,-118.402542",0,24,50
1558210327,2019-05-18T20:12:07Z,DAL89,"33.949059,-118.402176",0,24,75
1558210336,2019-05-18T20:12:16Z,DAL89,"33.949093,-118.401718",0,24,81
1558210342,2019-05-18T20:12:22Z,DAL89,"33.949127,-118.401352",0,25,81
1558210348,2019-05-18T20:12:28Z,DAL89,"33.949162,-118.401077",0,17,81
1558210361,2019-05-18T20:12:41Z,DAL89,"33.949196,-118.400742",0,15,81
1558210372,2019-05-18T20:12:52Z,DAL89,"33.94923,-118.400375",0,17,84
1558210383,2019-05-18T20:13:03Z,DAL89,"33.949276,-118.399956",0,18,84
1558210389,2019-05-18T20:13:09Z,DAL89,"33.949303,-118.399719",0,19,84
1558210396,2019-05-18T20:13:16Z,DAL89,"33.949356,-118.399445",0,19,78
1558210405,2019-05-18T20:13:25Z,DAL89,"33.949505,-118.399239",0,15,61
1558210414,2019-05-18T20:13:34Z,DAL89,"33.949722,-118.399117",0,16,39
1558210424,2019-05-18T20:13:44Z,DAL89,"33.949963,-118.399101",0,17,16
1558210433,2019-05-18T20:13:53Z,DAL89,"33.950199,-118.399139",0,17,349
1558210441,2019-05-18T20:14:01Z,DAL89,"33.950432,-118.399284",0,18,340
1558210447,2019-05-18T20:14:07Z,DAL89,"33.9505,-118.399506",0,19,315
1558210453,2019-05-18T20:14:13Z,DAL89,"33.950443,-118.399727",0,17,284
1558210463,2019-05-18T20:14:23Z,DAL89,"33.950375,-118.39994",0,2,267
1558210493,2019-05-18T20:14:53Z,DAL89,"33.950359,-118.400185",0,17,264
1558210505,2019-05-18T20:15:05Z,DAL89,"33.950024,-118.403419",0,76,261
1558210513,2019-05-18T20:15:13Z,DAL89,"33.94957,-118.408066",75,111,262
1558210520,2019-05-18T20:15:20Z,DAL89,"33.94915,-118.411957",75,134,263
1558210526,2019-05-18T20:15:26Z,DAL89,"33.948624,-118.417374",50,159,263
1558210532,2019-05-18T20:15:32Z,DAL89,"33.948032,-118.423233",75,177,263
1558210542,2019-05-18T20:15:42Z,DAL89,"33.94693,-118.434464",550,178,263
1558210551,2019-05-18T20:15:51Z,DAL89,"33.946381,-118.440971",900,177,264
1558210563,2019-05-18T20:16:03Z,DAL89,"33.945465,-118.452744",1450,177,264
1558210572,2019-05-18T20:16:12Z,DAL89,"33.944496,-118.464203",1675,187,264
1558210581,2019-05-18T20:16:21Z,DAL89,"33.943863,-118.471626",1775,195,264
1558210587,2019-05-18T20:16:27Z,DAL89,"33.943314,-118.477905",1850,202,264
1558210598,2019-05-18T20:16:38Z,DAL89,"33.942074,-118.491959",2050,215,263
1558210605,2019-05-18T20:16:45Z,DAL89,"33.941437,-118.499039",2150,222,263
1558210611,2019-05-18T20:16:51Z,DAL89,"33.94075,-118.506889",2250,230,263
1558210621,2019-05-18T20:17:01Z,DAL89,"33.939423,-118.522018",2400,245,263
1558210628,2019-05-18T20:17:08Z,DAL89,"33.938583,-118.531151",2500,253,263
1558210641,2019-05-18T20:17:21Z,DAL89,"33.936909,-118.548492",2850,260,262
1558210651,2019-05-18T20:17:31Z,DAL89,"33.935184,-118.564743",3300,261,262
1558210658,2019-05-18T20:17:38Z,DAL89,"33.934162,-118.574585",3600,260,263
1558210669,2019-05-18T20:17:49Z,DAL89,"33.932625,-118.590546",4125,259,263
1558210675,2019-05-18T20:17:55Z,DAL89,"33.931694,-118.600677",4425,259,263
1558210682,2019-05-18T20:18:02Z,DAL89,"33.930855,-118.608917",4650,259,263
1558210688,2019-05-18T20:18:08Z,DAL89,"33.929993,-118.617645",4875,260,262
1558210705,2019-05-18T20:18:25Z,DAL89,"33.92775,-118.644157",5525,265,267
1558210730,2019-05-18T20:18:50Z,DAL89,"33.934341,-118.677849",6600,262,302
1558210736,2019-05-18T20:18:56Z,DAL89,"33.938965,-118.684853",6775,267,313
1558210742,2019-05-18T20:19:02Z,DAL89,"33.944496,-118.690735",6875,271,322
1558210750,2019-05-18T20:19:10Z,DAL89,"33.951012,-118.695602",6950,274,332
1558210758,2019-05-18T20:19:18Z,DAL89,"33.961998,-118.700066",6975,278,348
1558210783,2019-05-18T20:19:43Z,DAL89,"33.992844,-118.697128",6950,281,12
1558210789,2019-05-18T20:19:49Z,DAL89,"34.000763,-118.694832",6950,282,14
1558210807,2019-05-18T20:20:07Z,DAL89,"34.023056,-118.687935",7100,283,14
1558210818,2019-05-18T20:20:18Z,DAL89,"34.038254,-118.683289",7300,284,14
1558210833,2019-05-18T20:20:33Z,DAL89,"34.05867,-118.676895",7600,287,14
1558210845,2019-05-18T20:20:45Z,DAL89,"34.074692,-118.671852",7825,289,14
1558210857,2019-05-18T20:20:57Z,DAL89,"34.090111,-118.666931",7950,291,14
1558210869,2019-05-18T20:21:09Z,DAL89,"34.10614,-118.661758",7950,291,14
1558210881,2019-05-18T20:21:21Z,DAL89,"34.121841,-118.656715",7950,291,15
1558210892,2019-05-18T20:21:32Z,DAL89,"34.136848,-118.651886",7950,290,14
1558210905,2019-05-18T20:21:45Z,DAL89,"34.153236,-118.646561",7950,290,14
1558210917,2019-05-18T20:21:57Z,DAL89,"34.168762,-118.641579",7975,291,15
1558210929,2019-05-18T20:22:09Z,DAL89,"34.184235,-118.636536",8250,290,15
1558210941,2019-05-18T20:22:21Z,DAL89,"34.199741,-118.631577",8650,293,14
1558210953,2019-05-18T20:22:33Z,DAL89,"34.216129,-118.626251",9075,297,15
1558210965,2019-05-18T20:22:45Z,DAL89,"34.231956,-118.621155",9475,299,14
1558210979,2019-05-18T20:22:59Z,DAL89,"34.248322,-118.615906",9900,301,14
1558210989,2019-05-18T20:23:09Z,DAL89,"34.264389,-118.610756",10200,308,14
1558211001,2019-05-18T20:23:21Z,DAL89,"34.281815,-118.605591",10325,318,11
1558211008,2019-05-18T20:23:28Z,DAL89,"34.288704,-118.604622",10400,322,3
1558211014,2019-05-18T20:23:34Z,DAL89,"34.299728,-118.605095",10475,325,355
1558211023,2019-05-18T20:23:43Z,DAL89,"34.312958,-118.609238",10600,329,340
1558211030,2019-05-18T20:23:50Z,DAL89,"34.321426,-118.61367",10675,332,334
1558211051,2019-05-18T20:24:11Z,DAL89,"34.353973,-118.636147",10950,351,329
1558211078,2019-05-18T20:24:38Z,DAL89,"34.393021,-118.660637",11375,373,335
1558211093,2019-05-18T20:24:53Z,DAL89,"34.416916,-118.673195",11950,373,337
1558211108,2019-05-18T20:25:08Z,DAL89,"34.440464,-118.684731",12500,375,338
1558211137,2019-05-18T20:25:37Z,DAL89,"34.487823,-118.707443",13525,376,338
1558211174,2019-05-18T20:26:14Z,DAL89,"34.55056,-118.737778",14375,390,337
1558211205,2019-05-18T20:26:45Z,DAL89,"34.600929,-118.762268",15250,394,337
1558211238,2019-05-18T20:27:18Z,DAL89,"34.656139,-118.789215",16125,402,338
1558211271,2019-05-18T20:27:51Z,DAL89,"34.714462,-118.817757",17000,408,337
1558211303,2019-05-18T20:28:23Z,DAL89,"34.771591,-118.845505",18025,407,338
1558211333,2019-05-18T20:28:53Z,DAL89,"34.822189,-118.875443",18950,398,325
1558211339,2019-05-18T20:28:59Z,DAL89,"34.831604,-118.88356",19075,399,324
1558211346,2019-05-18T20:29:06Z,DAL89,"34.840576,-118.891518",19250,400,323
1558211408,2019-05-18T20:30:08Z,DAL89,"34.936981,-118.97229",20975,400,325
1558211472,2019-05-18T20:31:12Z,DAL89,"35.033157,-119.052444",22375,404,325
1558211533,2019-05-18T20:32:13Z,DAL89,"35.127762,-119.131622",23725,406,325
1558211594,2019-05-18T20:33:14Z,DAL89,"35.22459,-119.213043",24000,409,325
1558211660,2019-05-18T20:34:20Z,DAL89,"35.327747,-119.299896",24450,408,325
1558211727,2019-05-18T20:35:27Z,DAL89,"35.431412,-119.387573",25700,413,325
1558211791,2019-05-18T20:36:31Z,DAL89,"35.530655,-119.471741",26725,420,325
1558211854,2019-05-18T20:37:34Z,DAL89,"35.632736,-119.558548",27700,425,325
1558211933,2019-05-18T20:38:53Z,DAL89,"35.761475,-119.668404",28700,433,325
1558211995,2019-05-18T20:39:55Z,DAL89,"35.866013,-119.757957",29500,438,324
1558212058,2019-05-18T20:40:58Z,DAL89,"35.971527,-119.84848",30000,439,325
