Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1565386385,2019-08-09T21:33:05Z,DAL89,"33.946804,-118.403076",0,2,230
1565386412,2019-08-09T21:33:32Z,DAL89,"33.946869,-118.402863",0,2,210
1565386458,2019-08-09T21:34:18Z,DAL89,"33.947056,-118.402649",0,11,182
1565386476,2019-08-09T21:34:36Z,DAL89,"33.947289,-118.402603",0,12,174
1565386492,2019-08-09T21:34:52Z,DAL89,"33.947708,-118.402603",0,14,140
1565386512,2019-08-09T21:35:12Z,DAL89,"33.948067,-118.402847",0,15,98
1565386521,2019-08-09T21:35:21Z,DAL89,"33.948139,-118.403076",0,15,81
1565386528,2019-08-09T21:35:28Z,DAL89,"33.948116,-118.403305",0,15,81
1565386553,2019-08-09T21:35:53Z,DAL89,"33.948078,-118.403519",0,0,271
1565386594,2019-08-09T21:36:34Z,DAL89,"33.948078,-118.403534",0,0,223
1565386794,2019-08-09T21:39:54Z,DAL89,"33.948051,-118.40329",0,18,75
1565386805,2019-08-09T21:40:05Z,DAL89,"33.948299,-118.403076",0,20,23
1565386811,2019-08-09T21:40:11Z,DAL89,"33.948532,-118.403107",0,22,16
1565386818,2019-08-09T21:40:18Z,DAL89,"33.948803,-118.403419",0,25,326
1565386824,2019-08-09T21:40:24Z,DAL89,"33.948803,-118.403763",0,23,289
1565386830,2019-08-09T21:40:30Z,DAL89,"33.948761,-118.403999",0,21,272
1565386838,2019-08-09T21:40:38Z,DAL89,"33.948704,-118.40435",0,24,264
1565386845,2019-08-09T21:40:45Z,DAL89,"33.948639,-118.404839",0,29,264
1565386852,2019-08-09T21:40:52Z,DAL89,"33.948589,-118.405319",0,31,261
1565386861,2019-08-09T21:41:01Z,DAL89,"33.948509,-118.405983",0,33,261
1565386867,2019-08-09T21:41:07Z,DAL89,"33.948452,-118.406509",0,15,261
1565386878,2019-08-09T21:41:18Z,DAL89,"33.948338,-118.407555",0,16,261
1565386885,2019-08-09T21:41:25Z,DAL89,"33.948269,-118.408112",0,17,264
1565386891,2019-08-09T21:41:31Z,DAL89,"33.948212,-118.408714",0,18,264
1565386902,2019-08-09T21:41:42Z,DAL89,"33.948067,-118.409912",0,18,261
1565386908,2019-08-09T21:41:48Z,DAL89,"33.948009,-118.4105",0,19,261
1565386916,2019-08-09T21:41:56Z,DAL89,"33.947929,-118.411232",0,19,261
1565386927,2019-08-09T21:42:07Z,DAL89,"33.947788,-118.412506",0,17,261
1565386933,2019-08-09T21:42:13Z,DAL89,"33.947731,-118.41304",0,16,261
1565386940,2019-08-09T21:42:20Z,DAL89,"33.947674,-118.41362",0,16,264
1565386949,2019-08-09T21:42:29Z,DAL89,"33.947456,-118.414276",0,30,241
1565386959,2019-08-09T21:42:39Z,DAL89,"33.946999,-118.414291",0,26,185
1565386971,2019-08-09T21:42:51Z,DAL89,"33.946209,-118.414131",0,31,171
1565386977,2019-08-09T21:42:57Z,DAL89,"33.945843,-118.414078",0,15,171
1565386986,2019-08-09T21:43:06Z,DAL89,"33.945328,-118.414024",0,16,174
1565386996,2019-08-09T21:43:16Z,DAL89,"33.944485,-118.41391",0,15,174
1565387003,2019-08-09T21:43:23Z,DAL89,"33.944077,-118.413849",0,16,174
1565387014,2019-08-09T21:43:34Z,DAL89,"33.943096,-118.413712",0,17,174
1565387024,2019-08-09T21:43:44Z,DAL89,"33.942238,-118.413589",0,18,171
1565387031,2019-08-09T21:43:51Z,DAL89,"33.94162,-118.413521",0,18,174
1565387039,2019-08-09T21:43:59Z,DAL89,"33.941139,-118.41346",0,18,174
1565387046,2019-08-09T21:44:06Z,DAL89,"33.940292,-118.413338",0,19,174
1565387055,2019-08-09T21:44:15Z,DAL89,"33.939503,-118.413239",0,20,174
1565387062,2019-08-09T21:44:22Z,DAL89,"33.938946,-118.413162",0,19,174
1565387068,2019-08-09T21:44:28Z,DAL89,"33.938442,-118.413094",0,16,174
1565387076,2019-08-09T21:44:36Z,DAL89,"33.938038,-118.413048",0,32,174
1565387087,2019-08-09T21:44:47Z,DAL89,"33.937336,-118.412918",0,27,165
1565387094,2019-08-09T21:44:54Z,DAL89,"33.937168,-118.412674",0,24,140
1565387101,2019-08-09T21:45:01Z,DAL89,"33.937557,-118.411728",0,21,98
1565387110,2019-08-09T21:45:10Z,DAL89,"33.93763,-118.411331",0,22,84
1565387118,2019-08-09T21:45:18Z,DAL89,"33.937675,-118.410889",0,21,84
1565387125,2019-08-09T21:45:25Z,DAL89,"33.937698,-118.410645",0,16,84
1565387214,2019-08-09T21:46:54Z,DAL89,"33.937717,-118.410431",0,0,89
1565387229,2019-08-09T21:47:09Z,DAL89,"33.937744,-118.410217",0,16,81
1565387240,2019-08-09T21:47:20Z,DAL89,"33.937798,-118.409706",0,24,81
1565387251,2019-08-09T21:47:31Z,DAL89,"33.937885,-118.408913",0,32,81
1565387257,2019-08-09T21:47:37Z,DAL89,"33.93792,-118.408516",0,31,81
1565387265,2019-08-09T21:47:45Z,DAL89,"33.937965,-118.408081",0,23,81
1565387276,2019-08-09T21:47:56Z,DAL89,"33.938038,-118.40741",0,28,81
1565387287,2019-08-09T21:48:07Z,DAL89,"33.938129,-118.40654",0,34,81
1565387294,2019-08-09T21:48:14Z,DAL89,"33.938175,-118.406052",0,15,81
1565387305,2019-08-09T21:48:25Z,DAL89,"33.938293,-118.404907",0,18,81
1565387312,2019-08-09T21:48:32Z,DAL89,"33.938362,-118.404251",0,19,81
1565387319,2019-08-09T21:48:39Z,DAL89,"33.938427,-118.40361",0,20,81
1565387329,2019-08-09T21:48:49Z,DAL89,"33.938583,-118.402107",0,23,81
1565387339,2019-08-09T21:48:59Z,DAL89,"33.938702,-118.400917",0,25,84
1565387351,2019-08-09T21:49:11Z,DAL89,"33.938885,-118.399132",0,26,84
1565387363,2019-08-09T21:49:23Z,DAL89,"33.939049,-118.397484",0,18,81
1565387373,2019-08-09T21:49:33Z,DAL89,"33.939148,-118.396545",0,19,81
1565387381,2019-08-09T21:49:41Z,DAL89,"33.939247,-118.395653",0,21,81
1565387396,2019-08-09T21:49:56Z,DAL89,"33.939411,-118.394028",0,19,84
1565387402,2019-08-09T21:50:02Z,DAL89,"33.939491,-118.39325",0,21,81
1565387413,2019-08-09T21:50:13Z,DAL89,"33.93964,-118.391739",0,22,84
