Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1565724705,2019-08-13T19:31:45Z,DAL89,"33.945415,-118.410332",0,0,264
1565726418,2019-08-13T20:00:18Z,DAL89,"33.945415,-118.410332",0,0,42
1565726477,2019-08-13T20:01:17Z,DAL89,"33.945408,-118.410339",0,0,223
1565726865,2019-08-13T20:07:45Z,DAL89,"33.945408,-118.410339",0,0,223
1565726964,2019-08-13T20:09:24Z,DAL89,"33.945408,-118.410339",0,0,223
1565729012,2019-08-13T20:43:32Z,DAL89,"33.945431,-118.41011",0,9,261
1565729032,2019-08-13T20:43:52Z,DAL89,"33.945442,-118.409874",0,9,255
1565729048,2019-08-13T20:44:08Z,DAL89,"33.945427,-118.409668",0,9,241
1565729072,2019-08-13T20:44:32Z,DAL89,"33.945454,-118.409454",0,2,225
1565729101,2019-08-13T20:45:01Z,DAL89,"33.945591,-118.409225",0,2,205
1565729143,2019-08-13T20:45:43Z,DAL89,"33.945858,-118.408974",0,0,30
1565729167,2019-08-13T20:46:07Z,DAL89,"33.946072,-118.408989",0,2,174
1565729197,2019-08-13T20:46:37Z,DAL89,"33.946312,-118.409019",0,2,171
1565729227,2019-08-13T20:47:07Z,DAL89,"33.946552,-118.40905",0,2,171
1565729257,2019-08-13T20:47:37Z,DAL89,"33.946754,-118.409111",0,2,174
1565729289,2019-08-13T20:48:09Z,DAL89,"33.947044,-118.40921",0,0,342
1565729310,2019-08-13T20:48:30Z,DAL89,"33.947254,-118.409271",0,9,222
1565729333,2019-08-13T20:48:53Z,DAL89,"33.947468,-118.409203",0,9,255
1565729351,2019-08-13T20:49:11Z,DAL89,"33.947544,-118.408981",0,9,270
1565729369,2019-08-13T20:49:29Z,DAL89,"33.947548,-118.408768",0,9,270
1565729390,2019-08-13T20:49:50Z,DAL89,"33.947533,-118.408539",0,9,267
1565729462,2019-08-13T20:51:02Z,DAL89,"33.947521,-118.40831",0,2,264
1565729487,2019-08-13T20:51:27Z,DAL89,"33.947521,-118.408081",0,2,261
1565729747,2019-08-13T20:55:47Z,DAL89,"33.947456,-118.408371",0,13,264
1565729759,2019-08-13T20:55:59Z,DAL89,"33.947487,-118.408699",0,17,275
1565729772,2019-08-13T20:56:12Z,DAL89,"33.947742,-118.408966",0,18,309
1565729779,2019-08-13T20:56:19Z,DAL89,"33.948051,-118.408966",0,20,348
1565729786,2019-08-13T20:56:26Z,DAL89,"33.948338,-118.408684",0,20,19
1565729797,2019-08-13T20:56:37Z,DAL89,"33.948429,-118.408272",0,17,61
1565729808,2019-08-13T20:56:48Z,DAL89,"33.948463,-118.407898",0,19,75
1565729814,2019-08-13T20:56:54Z,DAL89,"33.948498,-118.4076",0,22,81
1565729821,2019-08-13T20:57:01Z,DAL89,"33.948532,-118.407257",0,24,81
1565729832,2019-08-13T20:57:12Z,DAL89,"33.948601,-118.406578",0,29,84
1565729838,2019-08-13T20:57:18Z,DAL89,"33.94865,-118.406082",0,32,84
1565729846,2019-08-13T20:57:26Z,DAL89,"33.948715,-118.405487",0,15,81
1565729858,2019-08-13T20:57:38Z,DAL89,"33.948807,-118.404549",0,17,84
1565729864,2019-08-13T20:57:44Z,DAL89,"33.948887,-118.403778",0,18,84
1565729870,2019-08-13T20:57:50Z,DAL89,"33.94894,-118.403221",0,19,84
1565729882,2019-08-13T20:58:02Z,DAL89,"33.949081,-118.401848",0,20,84
1565729888,2019-08-13T20:58:08Z,DAL89,"33.949139,-118.40123",0,18,84
1565729895,2019-08-13T20:58:15Z,DAL89,"33.949207,-118.400574",0,16,84
1565729904,2019-08-13T20:58:24Z,DAL89,"33.949287,-118.399857",0,30,84
1565729916,2019-08-13T20:58:36Z,DAL89,"33.949501,-118.399269",0,18,59
1565729926,2019-08-13T20:58:46Z,DAL89,"33.949802,-118.399139",0,19,30
1565729933,2019-08-13T20:58:53Z,DAL89,"33.950058,-118.399132",0,21,11
1565729940,2019-08-13T20:59:00Z,DAL89,"33.950314,-118.39917",0,21,355
1565729952,2019-08-13T20:59:12Z,DAL89,"33.9505,-118.399506",0,18,312
1565729964,2019-08-13T20:59:24Z,DAL89,"33.950397,-118.399803",0,12,272
1565729976,2019-08-13T20:59:36Z,DAL89,"33.950363,-118.40004",0,2,267
