Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1565987662,2019-08-16T20:34:22Z,DAL89,"33.945442,-118.410088",0,9,261
1565987678,2019-08-16T20:34:38Z,DAL89,"33.945431,-118.409874",0,10,253
1565987693,2019-08-16T20:34:53Z,DAL89,"33.945438,-118.40966",0,10,239
1565987704,2019-08-16T20:35:04Z,DAL89,"33.945499,-118.409454",0,10,227
1565987719,2019-08-16T20:35:19Z,DAL89,"33.94558,-118.409225",0,10,208
1565987746,2019-08-16T20:35:46Z,DAL89,"33.945786,-118.409027",0,9,180
1565987768,2019-08-16T20:36:08Z,DAL89,"33.946003,-118.408989",0,2,174
1565988051,2019-08-16T20:40:51Z,DAL89,"33.946205,-118.408928",0,10,174
1565988068,2019-08-16T20:41:08Z,DAL89,"33.946449,-118.408966",0,10,177
1565988087,2019-08-16T20:41:27Z,DAL89,"33.94669,-118.409035",0,11,191
1565988105,2019-08-16T20:41:45Z,DAL89,"33.946918,-118.40905",0,10,219
1565988123,2019-08-16T20:42:03Z,DAL89,"33.947136,-118.408897",0,11,239
1565988141,2019-08-16T20:42:21Z,DAL89,"33.9473,-118.408669",0,10,261
1565988154,2019-08-16T20:42:34Z,DAL89,"33.947319,-118.408455",0,11,261
1565988170,2019-08-16T20:42:50Z,DAL89,"33.94733,-118.408203",0,11,264
1565988187,2019-08-16T20:43:07Z,DAL89,"33.947323,-118.407997",0,0,89
1565988402,2019-08-16T20:46:42Z,DAL89,"33.947113,-118.408081",0,11,261
1565988409,2019-08-16T20:46:49Z,DAL89,"33.94709,-118.408295",0,16,261
1565988415,2019-08-16T20:46:55Z,DAL89,"33.947067,-118.408531",0,19,264
1565988423,2019-08-16T20:47:03Z,DAL89,"33.947033,-118.408752",0,19,264
1565988434,2019-08-16T20:47:14Z,DAL89,"33.946976,-118.409225",0,19,264
1565988447,2019-08-16T20:47:27Z,DAL89,"33.946915,-118.409744",0,21,261
1565988457,2019-08-16T20:47:37Z,DAL89,"33.94685,-118.410294",0,23,261
1565988463,2019-08-16T20:47:43Z,DAL89,"33.946815,-118.410645",0,25,264
1565988469,2019-08-16T20:47:49Z,DAL89,"33.94677,-118.411011",0,26,264
1565988475,2019-08-16T20:47:55Z,DAL89,"33.946724,-118.411362",0,27,261
1565988482,2019-08-16T20:48:02Z,DAL89,"33.946598,-118.411736",0,29,253
1565988489,2019-08-16T20:48:09Z,DAL89,"33.946484,-118.412132",0,30,253
1565988499,2019-08-16T20:48:19Z,DAL89,"33.946346,-118.413002",0,31,261
1565988505,2019-08-16T20:48:25Z,DAL89,"33.946301,-118.413422",0,31,264
1565988512,2019-08-16T20:48:32Z,DAL89,"33.946262,-118.41391",0,33,264
1565988520,2019-08-16T20:48:40Z,DAL89,"33.946186,-118.414597",0,15,261
1565988528,2019-08-16T20:48:48Z,DAL89,"33.946125,-118.415108",0,15,261
1565988540,2019-08-16T20:49:00Z,DAL89,"33.946003,-118.416191",0,16,261
1565988546,2019-08-16T20:49:06Z,DAL89,"33.945938,-118.416779",0,17,264
1565988557,2019-08-16T20:49:17Z,DAL89,"33.945786,-118.417755",0,29,253
1565988565,2019-08-16T20:49:25Z,DAL89,"33.945286,-118.417923",0,31,194
1565988571,2019-08-16T20:49:31Z,DAL89,"33.944939,-118.417809",0,30,171
1565988581,2019-08-16T20:49:41Z,DAL89,"33.944401,-118.417732",0,31,174
