Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1567109429,2019-08-29T20:10:29Z,DAL89,"33.945213,-118.411217",0,0,216
1567109523,2019-08-29T20:12:03Z,DAL89,"33.945206,-118.411232",0,0,242
1567109649,2019-08-29T20:14:09Z,DAL89,"33.945206,-118.411217",0,0,180
1567110159,2019-08-29T20:22:39Z,DAL89,"33.945213,-118.411217",0,0,61
1567110258,2019-08-29T20:24:18Z,DAL89,"33.945206,-118.411217",0,0,180
1567110493,2019-08-29T20:28:13Z,DAL89,"33.945213,-118.411217",0,0,61
1567110569,2019-08-29T20:29:29Z,DAL89,"33.945213,-118.411217",0,0,180
1567110668,2019-08-29T20:31:08Z,DAL89,"33.945206,-118.411232",0,0,271
1567110893,2019-08-29T20:34:53Z,DAL89,"33.945202,-118.411247",0,0,180
1567110919,2019-08-29T20:35:19Z,DAL89,"33.945213,-118.411469",0,10,98
1567110935,2019-08-29T20:35:35Z,DAL89,"33.945202,-118.411697",0,10,109
1567110956,2019-08-29T20:35:56Z,DAL89,"33.945339,-118.411972",0,10,92
1567110969,2019-08-29T20:36:09Z,DAL89,"33.945442,-118.412186",0,10,64
1567110985,2019-08-29T20:36:25Z,DAL89,"33.945465,-118.412407",0,10,36
1567111007,2019-08-29T20:36:47Z,DAL89,"33.945358,-118.412621",0,2,8
1567111069,2019-08-29T20:37:49Z,DAL89,"33.945625,-118.412674",0,9,348
1567111089,2019-08-29T20:38:09Z,DAL89,"33.945843,-118.412704",0,10,351
1567111110,2019-08-29T20:38:30Z,DAL89,"33.946117,-118.412735",0,9,354
1567111198,2019-08-29T20:39:58Z,DAL89,"33.946152,-118.412704",0,0,180
1567111278,2019-08-29T20:41:18Z,DAL89,"33.94614,-118.412659",0,0,118
1567111407,2019-08-29T20:43:27Z,DAL89,"33.946392,-118.412636",0,13,354
1567111419,2019-08-29T20:43:39Z,DAL89,"33.946644,-118.412659",0,14,354
1567111432,2019-08-29T20:43:52Z,DAL89,"33.946846,-118.412689",0,11,351
1567111453,2019-08-29T20:44:13Z,DAL89,"33.947079,-118.41272",0,0,351
1567111616,2019-08-29T20:46:56Z,DAL89,"33.947369,-118.412674",0,21,351
1567111623,2019-08-29T20:47:03Z,DAL89,"33.947578,-118.412788",0,23,337
1567111630,2019-08-29T20:47:10Z,DAL89,"33.947651,-118.413231",0,24,289
1567111637,2019-08-29T20:47:17Z,DAL89,"33.947544,-118.413521",0,22,264
1567111643,2019-08-29T20:47:23Z,DAL89,"33.947441,-118.41378",0,23,253
1567111649,2019-08-29T20:47:29Z,DAL89,"33.947357,-118.414108",0,25,253
1567111658,2019-08-29T20:47:38Z,DAL89,"33.9473,-118.414597",0,28,261
1567111670,2019-08-29T20:47:50Z,DAL89,"33.947216,-118.415497",0,32,264
1567111677,2019-08-29T20:47:57Z,DAL89,"33.947159,-118.415939",0,33,264
1567111689,2019-08-29T20:48:09Z,DAL89,"33.947392,-118.417137",0,34,267
1567111699,2019-08-29T20:48:19Z,DAL89,"33.94693,-118.417763",0,25,258
1567111707,2019-08-29T20:48:27Z,DAL89,"33.946712,-118.417976",0,26,230
1567111716,2019-08-29T20:48:36Z,DAL89,"33.946278,-118.417877",0,25,177
1567111722,2019-08-29T20:48:42Z,DAL89,"33.94603,-118.417824",0,25,174
1567111729,2019-08-29T20:48:49Z,DAL89,"33.945564,-118.417755",0,27,174
1567111737,2019-08-29T20:48:57Z,DAL89,"33.945251,-118.417694",0,28,171
1567111743,2019-08-29T20:49:03Z,DAL89,"33.944927,-118.417656",0,29,174
1567111751,2019-08-29T20:49:11Z,DAL89,"33.944378,-118.417564",0,31,171
1567111759,2019-08-29T20:49:19Z,DAL89,"33.944008,-118.417496",0,32,171
1567111769,2019-08-29T20:49:29Z,DAL89,"33.943737,-118.417786",0,31,177
1567111777,2019-08-29T20:49:37Z,DAL89,"33.942795,-118.417328",0,15,174
1567111783,2019-08-29T20:49:43Z,DAL89,"33.94239,-118.417267",0,15,174
1567111795,2019-08-29T20:49:55Z,DAL89,"33.942005,-118.417465",0,33,163
1567111801,2019-08-29T20:50:01Z,DAL89,"33.941551,-118.41748",0,34,174
1567111807,2019-08-29T20:50:07Z,DAL89,"33.940624,-118.416992",0,15,171
1567111813,2019-08-29T20:50:13Z,DAL89,"33.940678,-118.417297",0,16,171
1567111827,2019-08-29T20:50:27Z,DAL89,"33.939617,-118.417183",0,16,180
1567111837,2019-08-29T20:50:37Z,DAL89,"33.938461,-118.416672",0,31,171
1567111844,2019-08-29T20:50:44Z,DAL89,"33.938118,-118.416611",0,26,174
1567111851,2019-08-29T20:50:51Z,DAL89,"33.937843,-118.416573",0,22,174
1567111857,2019-08-29T20:50:57Z,DAL89,"33.93758,-118.416557",0,19,177
1567111866,2019-08-29T20:51:06Z,DAL89,"33.937351,-118.416725",0,18,202
1567111874,2019-08-29T20:51:14Z,DAL89,"33.937267,-118.416985",0,16,230
1567111886,2019-08-29T20:51:26Z,DAL89,"33.93721,-118.417397",0,18,255
1567111894,2019-08-29T20:51:34Z,DAL89,"33.937187,-118.417641",0,20,261
1567111901,2019-08-29T20:51:41Z,DAL89,"33.937145,-118.4179",0,10,261
1567111910,2019-08-29T20:51:50Z,DAL89,"33.93771,-118.418259",0,0,89
