Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1567626621,2019-09-04T19:50:21Z,DAL89,"33.945415,-118.410126",0,2,261
1567626639,2019-09-04T19:50:39Z,DAL89,"33.945431,-118.409904",0,10,253
1567626654,2019-09-04T19:50:54Z,DAL89,"33.945431,-118.409691",0,10,239
1567626673,2019-09-04T19:51:13Z,DAL89,"33.945484,-118.409439",0,9,222
1567626694,2019-09-04T19:51:34Z,DAL89,"33.945614,-118.409225",0,9,205
1567626721,2019-09-04T19:52:01Z,DAL89,"33.945858,-118.408997",0,10,182
1567626741,2019-09-04T19:52:21Z,DAL89,"33.946083,-118.408974",0,10,171
1567626762,2019-09-04T19:52:42Z,DAL89,"33.946323,-118.409004",0,10,171
1567626780,2019-09-04T19:53:00Z,DAL89,"33.946541,-118.40905",0,10,171
1567626806,2019-09-04T19:53:26Z,DAL89,"33.946804,-118.409058",0,10,165
1567626823,2019-09-04T19:53:43Z,DAL89,"33.947021,-118.409042",0,10,143
1567626841,2019-09-04T19:54:01Z,DAL89,"33.947231,-118.409058",0,9,112
1567626861,2019-09-04T19:54:21Z,DAL89,"33.947342,-118.409271",0,10,98
1567626878,2019-09-04T19:54:38Z,DAL89,"33.947411,-118.409508",0,9,81
1567626897,2019-09-04T19:54:57Z,DAL89,"33.947376,-118.409744",0,10,81
1567626913,2019-09-04T19:55:13Z,DAL89,"33.947323,-118.410004",0,9,84
1567627117,2019-09-04T19:58:37Z,DAL89,"33.947227,-118.40979",0,0,125
1567627192,2019-09-04T19:59:52Z,DAL89,"33.947208,-118.409584",0,2,81
1567627203,2019-09-04T20:00:03Z,DAL89,"33.94722,-118.40937",0,14,81
1567627215,2019-09-04T20:00:15Z,DAL89,"33.94725,-118.408974",0,19,81
1567627245,2019-09-04T20:00:45Z,DAL89,"33.948044,-118.408058",0,24,25
1567627254,2019-09-04T20:00:54Z,DAL89,"33.948452,-118.408325",0,24,56
1567627261,2019-09-04T20:01:01Z,DAL89,"33.948463,-118.407967",0,24,78
1567627270,2019-09-04T20:01:10Z,DAL89,"33.948509,-118.407463",0,27,81
1567627278,2019-09-04T20:01:18Z,DAL89,"33.948566,-118.406845",0,27,84
1567627287,2019-09-04T20:01:27Z,DAL89,"33.948612,-118.406326",0,26,84
1567627299,2019-09-04T20:01:39Z,DAL89,"33.948692,-118.405602",0,25,84
1567627305,2019-09-04T20:01:45Z,DAL89,"33.948727,-118.405281",0,22,84
1567627312,2019-09-04T20:01:52Z,DAL89,"33.94875,-118.405014",0,21,81
1567627319,2019-09-04T20:01:59Z,DAL89,"33.948792,-118.404625",0,20,81
1567627326,2019-09-04T20:02:06Z,DAL89,"33.948814,-118.404381",0,19,84
1567627332,2019-09-04T20:02:12Z,DAL89,"33.94883,-118.40416",0,14,84
1567627393,2019-09-04T20:03:13Z,DAL89,"33.94886,-118.403938",0,10,84
1567627404,2019-09-04T20:03:24Z,DAL89,"33.948887,-118.403664",0,16,84
1567627410,2019-09-04T20:03:30Z,DAL89,"33.94891,-118.403458",0,17,84
1567627422,2019-09-04T20:03:42Z,DAL89,"33.948956,-118.403046",0,17,84
1567627434,2019-09-04T20:03:54Z,DAL89,"33.948975,-118.402817",0,2,84
1567627502,2019-09-04T20:05:02Z,DAL89,"33.949001,-118.402588",0,12,81
1567627513,2019-09-04T20:05:13Z,DAL89,"33.949036,-118.402321",0,17,81
1567627519,2019-09-04T20:05:19Z,DAL89,"33.949059,-118.402115",0,19,81
1567627526,2019-09-04T20:05:26Z,DAL89,"33.949104,-118.401688",0,20,81
1567627533,2019-09-04T20:05:33Z,DAL89,"33.949127,-118.401459",0,15,81
1567627545,2019-09-04T20:05:45Z,DAL89,"33.949162,-118.401093",0,16,84
1567627551,2019-09-04T20:05:51Z,DAL89,"33.949184,-118.400879",0,17,84
1567627563,2019-09-04T20:06:03Z,DAL89,"33.949219,-118.40049",0,16,84
1567627569,2019-09-04T20:06:09Z,DAL89,"33.94923,-118.400276",0,18,84
1567627575,2019-09-04T20:06:15Z,DAL89,"33.949253,-118.400047",0,19,84
1567627583,2019-09-04T20:06:23Z,DAL89,"33.94928,-118.399818",0,17,84
1567627595,2019-09-04T20:06:35Z,DAL89,"33.949379,-118.399437",0,14,73
1567627615,2019-09-04T20:06:55Z,DAL89,"33.949558,-118.399216",0,9,53
1567627650,2019-09-04T20:07:30Z,DAL89,"33.949791,-118.399086",0,20,33
1567627656,2019-09-04T20:07:36Z,DAL89,"33.950031,-118.399101",0,24,11
1567627663,2019-09-04T20:07:43Z,DAL89,"33.950283,-118.399155",0,21,357
1567627671,2019-09-04T20:07:51Z,DAL89,"33.9505,-118.399345",0,20,331
1567627679,2019-09-04T20:07:59Z,DAL89,"33.950478,-118.399574",0,17,298
1567627688,2019-09-04T20:08:08Z,DAL89,"33.950375,-118.399925",0,21,270
1567627695,2019-09-04T20:08:15Z,DAL89,"33.950329,-118.400429",0,25,264
1567627707,2019-09-04T20:08:27Z,DAL89,"33.949955,-118.404053",0,82,264
1567627716,2019-09-04T20:08:36Z,DAL89,"33.949402,-118.409355",200,119,262
1567627724,2019-09-04T20:08:44Z,DAL89,"33.94899,-118.413338",200,143,262
1567627734,2019-09-04T20:08:54Z,DAL89,"33.947895,-118.42392",200,177,262
1567627740,2019-09-04T20:09:00Z,DAL89,"33.947197,-118.430443",450,180,262
1567627746,2019-09-04T20:09:06Z,DAL89,"33.946564,-118.436317",750,179,262
1567627752,2019-09-04T20:09:12Z,DAL89,"33.945847,-118.442688",1050,179,262
1567627758,2019-09-04T20:09:18Z,DAL89,"33.945236,-118.448311",1325,180,262
1567627765,2019-09-04T20:09:25Z,DAL89,"33.944588,-118.453613",1550,177,262
1567627772,2019-09-04T20:09:32Z,DAL89,"33.943798,-118.460251",1825,175,261
1567627783,2019-09-04T20:09:43Z,DAL89,"33.94249,-118.472191",2050,181,264
1567627789,2019-09-04T20:09:49Z,DAL89,"33.942032,-118.477966",2150,186,265
1567627800,2019-09-04T20:10:00Z,DAL89,"33.941208,-118.491196",2300,198,266
1567627806,2019-09-04T20:10:06Z,DAL89,"33.940956,-118.497505",2375,205,267
1567627814,2019-09-04T20:10:14Z,DAL89,"33.94075,-118.504082",2400,212,268
1567627825,2019-09-04T20:10:25Z,DAL89,"33.940121,-118.519821",2475,230,266
1567627832,2019-09-04T20:10:32Z,DAL89,"33.939747,-118.527145",2525,236,266
1567627843,2019-09-04T20:10:43Z,DAL89,"33.938862,-118.543106",2625,253,265
1567627849,2019-09-04T20:10:49Z,DAL89,"33.938324,-118.552231",2700,259,265
1567627861,2019-09-04T20:11:01Z,DAL89,"33.937134,-118.570168",2975,266,265
1567627867,2019-09-04T20:11:07Z,DAL89,"33.936581,-118.578873",3175,267,265
1567627879,2019-09-04T20:11:19Z,DAL89,"33.935349,-118.596458",3600,269,264
1567627885,2019-09-04T20:11:25Z,DAL89,"33.934662,-118.605431",3800,270,264
1567627896,2019-09-04T20:11:36Z,DAL89,"33.93338,-118.623253",4250,270,264
1567627903,2019-09-04T20:11:43Z,DAL89,"33.932625,-118.632774",4450,272,264
1567627915,2019-09-04T20:11:55Z,DAL89,"33.931183,-118.651222",4800,276,264
1567627921,2019-09-04T20:12:01Z,DAL89,"33.930531,-118.659378",4975,276,264
1567627938,2019-09-04T20:12:18Z,DAL89,"33.928391,-118.687263",5575,278,264
1567627952,2019-09-04T20:12:32Z,DAL89,"33.92688,-118.706322",5975,281,264
1567627962,2019-09-04T20:12:42Z,DAL89,"33.925369,-118.72538",6350,284,264
1567627975,2019-09-04T20:12:55Z,DAL89,"33.923904,-118.744156",6725,285,264
1567627986,2019-09-04T20:13:06Z,DAL89,"33.922478,-118.762321",7075,288,264
1567628001,2019-09-04T20:13:21Z,DAL89,"33.920845,-118.783203",7500,290,264
1567628010,2019-09-04T20:13:30Z,DAL89,"33.919373,-118.802116",7900,290,264
1567628024,2019-09-04T20:13:44Z,DAL89,"33.917866,-118.821091",8300,291,264
1567628033,2019-09-04T20:13:53Z,DAL89,"33.916985,-118.839226",8675,293,268
1567628054,2019-09-04T20:14:14Z,DAL89,"33.918007,-118.870354",9275,296,272
1567628065,2019-09-04T20:14:25Z,DAL89,"33.918751,-118.890038",9650,298,272
1567628075,2019-09-04T20:14:35Z,DAL89,"33.919312,-118.908173",9975,301,272
1567628090,2019-09-04T20:14:50Z,DAL89,"33.919964,-118.929291",10325,306,271
1567628103,2019-09-04T20:15:03Z,DAL89,"33.920567,-118.951889",10500,318,271
1567628112,2019-09-04T20:15:12Z,DAL89,"33.921078,-118.972839",10650,327,271
1567628125,2019-09-04T20:15:25Z,DAL89,"33.921707,-118.994766",10800,337,272
1567628137,2019-09-04T20:15:37Z,DAL89,"33.924572,-119.018494",10925,349,284
