Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1567967824,2019-09-08T18:37:04Z,DAL89,"33.945415,-118.410347",0,0,261
1567968103,2019-09-08T18:41:43Z,DAL89,"33.945415,-118.410347",0,0,180
1567968140,2019-09-08T18:42:20Z,DAL89,"33.945408,-118.410347",0,0,180
1567968233,2019-09-08T18:43:53Z,DAL89,"33.945408,-118.410347",0,0,180
1567968294,2019-09-08T18:44:54Z,DAL89,"33.945408,-118.410347",0,0,180
1567968373,2019-09-08T18:46:13Z,DAL89,"33.945415,-118.410347",0,0,180
1567968544,2019-09-08T18:49:04Z,DAL89,"33.945408,-118.410347",0,0,180
1567968743,2019-09-08T18:52:23Z,DAL89,"33.945408,-118.410347",0,0,180
1567968827,2019-09-08T18:53:47Z,DAL89,"33.945408,-118.410347",0,0,180
1567968938,2019-09-08T18:55:38Z,DAL89,"33.945408,-118.410347",0,0,180
1567969046,2019-09-08T18:57:26Z,DAL89,"33.945408,-118.410347",0,0,180
1567969127,2019-09-08T18:58:47Z,DAL89,"33.945408,-118.410347",0,0,180
1567969266,2019-09-08T19:01:06Z,DAL89,"33.945415,-118.410347",0,0,180
1567969350,2019-09-08T19:02:30Z,DAL89,"33.945415,-118.410347",0,0,180
1567969425,2019-09-08T19:03:45Z,DAL89,"33.945415,-118.410347",0,0,180
1567970373,2019-09-08T19:19:33Z,DAL89,"33.945408,-118.410347",0,0,180
1567971915,2019-09-08T19:45:15Z,DAL89,"33.945431,-118.410141",0,9,261
1567971930,2019-09-08T19:45:30Z,DAL89,"33.94545,-118.409912",0,11,258
1567971942,2019-09-08T19:45:42Z,DAL89,"33.945431,-118.40966",0,12,247
1567971955,2019-09-08T19:45:55Z,DAL89,"33.94545,-118.409416",0,10,222
1567971974,2019-09-08T19:46:14Z,DAL89,"33.945576,-118.409172",0,10,205
1567971998,2019-09-08T19:46:38Z,DAL89,"33.945835,-118.408958",0,11,174
1567972013,2019-09-08T19:46:53Z,DAL89,"33.946056,-118.408981",0,10,168
1567972035,2019-09-08T19:47:15Z,DAL89,"33.946346,-118.40905",0,11,171
1567972053,2019-09-08T19:47:33Z,DAL89,"33.946609,-118.409073",0,11,171
1567972068,2019-09-08T19:47:48Z,DAL89,"33.946835,-118.409058",0,12,154
1567972088,2019-09-08T19:48:08Z,DAL89,"33.947067,-118.409103",0,11,137
1567972105,2019-09-08T19:48:25Z,DAL89,"33.947285,-118.409225",0,10,109
1567972126,2019-09-08T19:48:46Z,DAL89,"33.947403,-118.409439",0,9,87
1567972141,2019-09-08T19:49:01Z,DAL89,"33.947392,-118.409645",0,10,84
1567972250,2019-09-08T19:50:50Z,DAL89,"33.94733,-118.409691",0,0,130
1567972421,2019-09-08T19:53:41Z,DAL89,"33.947216,-118.409485",0,0,89
1567972448,2019-09-08T19:54:08Z,DAL89,"33.94722,-118.409271",0,11,81
1567972464,2019-09-08T19:54:24Z,DAL89,"33.947239,-118.408951",0,15,81
1567972475,2019-09-08T19:54:35Z,DAL89,"33.947342,-118.408501",0,19,70
1567972486,2019-09-08T19:54:46Z,DAL89,"33.947639,-118.408363",0,20,33
1567972496,2019-09-08T19:54:56Z,DAL89,"33.947941,-118.408241",0,21,22
1567972502,2019-09-08T19:55:02Z,DAL89,"33.948418,-118.408302",0,23,47
1567972510,2019-09-08T19:55:10Z,DAL89,"33.948452,-118.407997",0,23,70
1567972518,2019-09-08T19:55:18Z,DAL89,"33.948486,-118.407509",0,25,81
1567972526,2019-09-08T19:55:26Z,DAL89,"33.948521,-118.407158",0,26,81
1567972532,2019-09-08T19:55:32Z,DAL89,"33.94857,-118.406693",0,22,84
1567972543,2019-09-08T19:55:43Z,DAL89,"33.948616,-118.406235",0,19,84
1567972553,2019-09-08T19:55:53Z,DAL89,"33.948669,-118.405769",0,20,84
1567972562,2019-09-08T19:56:02Z,DAL89,"33.948692,-118.405533",0,17,84
1567972573,2019-09-08T19:56:13Z,DAL89,"33.948715,-118.405266",0,10,84
1567972583,2019-09-08T19:56:23Z,DAL89,"33.948742,-118.405022",0,13,81
1567972597,2019-09-08T19:56:37Z,DAL89,"33.948761,-118.404785",0,10,81
1567972657,2019-09-08T19:57:37Z,DAL89,"33.948784,-118.404533",0,12,81
1567972670,2019-09-08T19:57:50Z,DAL89,"33.948818,-118.404213",0,16,81
1567972679,2019-09-08T19:57:59Z,DAL89,"33.94886,-118.403893",0,19,84
1567972685,2019-09-08T19:58:05Z,DAL89,"33.948887,-118.403625",0,22,84
1567972697,2019-09-08T19:58:17Z,DAL89,"33.948952,-118.402893",0,21,84
1567972706,2019-09-08T19:58:26Z,DAL89,"33.948975,-118.402634",0,16,84
1567972718,2019-09-08T19:58:38Z,DAL89,"33.949013,-118.402336",0,12,84
1567972728,2019-09-08T19:58:48Z,DAL89,"33.949036,-118.402115",0,9,84
1567972754,2019-09-08T19:59:14Z,DAL89,"33.949059,-118.401901",0,2,84
1567972777,2019-09-08T19:59:37Z,DAL89,"33.949081,-118.401634",0,9,84
1567972794,2019-09-08T19:59:54Z,DAL89,"33.949104,-118.401428",0,9,84
1567972816,2019-09-08T20:00:16Z,DAL89,"33.949139,-118.401131",0,11,84
1567972830,2019-09-08T20:00:30Z,DAL89,"33.949173,-118.40078",0,13,84
1567972845,2019-09-08T20:00:45Z,DAL89,"33.949207,-118.400482",0,9,84
1567972868,2019-09-08T20:01:08Z,DAL89,"33.94923,-118.400192",0,14,84
