Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1568231202,2019-09-11T19:46:42Z,DAL89,"33.945438,-118.410141",0,2,264
1568231222,2019-09-11T19:47:02Z,DAL89,"33.945438,-118.409927",0,9,261
1568231238,2019-09-11T19:47:18Z,DAL89,"33.945393,-118.409714",0,9,241
1568231257,2019-09-11T19:47:37Z,DAL89,"33.945385,-118.409492",0,9,213
1568231283,2019-09-11T19:48:03Z,DAL89,"33.945602,-118.409286",0,10,205
1568231309,2019-09-11T19:48:29Z,DAL89,"33.945847,-118.409111",0,9,196
1568231331,2019-09-11T19:48:51Z,DAL89,"33.946083,-118.408966",0,10,168
1568231353,2019-09-11T19:49:13Z,DAL89,"33.946358,-118.40905",0,10,177
1568231372,2019-09-11T19:49:32Z,DAL89,"33.946609,-118.409058",0,10,174
1568231388,2019-09-11T19:49:48Z,DAL89,"33.946838,-118.409035",0,11,160
1568231405,2019-09-11T19:50:05Z,DAL89,"33.947044,-118.409058",0,10,146
1568231422,2019-09-11T19:50:22Z,DAL89,"33.947273,-118.409119",0,10,118
1568231443,2019-09-11T19:50:43Z,DAL89,"33.947433,-118.40934",0,10,92
1568231457,2019-09-11T19:50:57Z,DAL89,"33.947475,-118.409561",0,11,84
1568231476,2019-09-11T19:51:16Z,DAL89,"33.947441,-118.409874",0,11,84
1568231493,2019-09-11T19:51:33Z,DAL89,"33.947418,-118.410141",0,10,81
1568231508,2019-09-11T19:51:48Z,DAL89,"33.947388,-118.410347",0,2,87
1568231788,2019-09-11T19:56:28Z,DAL89,"33.947392,-118.410126",0,12,84
1568231797,2019-09-11T19:56:37Z,DAL89,"33.947422,-118.409912",0,14,84
1568231808,2019-09-11T19:56:48Z,DAL89,"33.947441,-118.40966",0,15,84
1568231820,2019-09-11T19:57:00Z,DAL89,"33.947479,-118.409256",0,17,84
1568231829,2019-09-11T19:57:09Z,DAL89,"33.947624,-118.408974",0,19,64
1568231837,2019-09-11T19:57:17Z,DAL89,"33.947891,-118.408798",0,19,39
1568231846,2019-09-11T19:57:26Z,DAL89,"33.9482,-118.408638",0,21,28
1568231855,2019-09-11T19:57:35Z,DAL89,"33.948406,-118.408325",0,21,47
1568231865,2019-09-11T19:57:45Z,DAL89,"33.948463,-118.407913",0,22,73
1568231871,2019-09-11T19:57:51Z,DAL89,"33.948486,-118.407631",0,23,78
1568231880,2019-09-11T19:58:00Z,DAL89,"33.948544,-118.407097",0,26,84
1568231888,2019-09-11T19:58:08Z,DAL89,"33.948593,-118.406586",0,25,84
1568231899,2019-09-11T19:58:19Z,DAL89,"33.948658,-118.406006",0,21,84
1568231905,2019-09-11T19:58:25Z,DAL89,"33.948681,-118.405739",0,21,81
1568231912,2019-09-11T19:58:32Z,DAL89,"33.948708,-118.405449",0,23,81
1568231918,2019-09-11T19:58:38Z,DAL89,"33.948742,-118.405197",0,16,81
1568231930,2019-09-11T19:58:50Z,DAL89,"33.948772,-118.404846",0,16,84
1568231937,2019-09-11T19:58:57Z,DAL89,"33.948792,-118.404633",0,18,84
1568231948,2019-09-11T19:59:08Z,DAL89,"33.948841,-118.40416",0,18,81
1568231954,2019-09-11T19:59:14Z,DAL89,"33.948864,-118.403915",0,19,81
1568231961,2019-09-11T19:59:21Z,DAL89,"33.948887,-118.403694",0,19,81
1568231967,2019-09-11T19:59:27Z,DAL89,"33.94891,-118.403442",0,21,81
1568231977,2019-09-11T19:59:37Z,DAL89,"33.948956,-118.403023",0,12,81
1568231990,2019-09-11T19:59:50Z,DAL89,"33.948986,-118.402763",0,10,84
1568232017,2019-09-11T20:00:17Z,DAL89,"33.949024,-118.402321",0,16,84
1568232082,2019-09-11T20:01:22Z,DAL89,"33.949081,-118.401802",0,0,83
1568232125,2019-09-11T20:02:05Z,DAL89,"33.949116,-118.401558",0,13,81
1568232138,2019-09-11T20:02:18Z,DAL89,"33.94915,-118.401169",0,17,84
1568232144,2019-09-11T20:02:24Z,DAL89,"33.949162,-118.400963",0,19,84
1568232150,2019-09-11T20:02:30Z,DAL89,"33.949184,-118.400726",0,20,84
1568232163,2019-09-11T20:02:43Z,DAL89,"33.94923,-118.40023",0,19,84
1568232174,2019-09-11T20:02:54Z,DAL89,"33.94928,-118.399773",0,18,84
1568232184,2019-09-11T20:03:04Z,DAL89,"33.949371,-118.399429",0,19,75
