Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1568485902,2019-09-14T18:31:42Z,DAL89,"33.945419,-118.410339",0,0,61
1568490458,2019-09-14T19:47:38Z,DAL89,"33.945454,-118.410095",0,9,264
1568490478,2019-09-14T19:47:58Z,DAL89,"33.945454,-118.409805",0,12,258
1568490489,2019-09-14T19:48:09Z,DAL89,"33.945442,-118.409554",0,12,241
1568490505,2019-09-14T19:48:25Z,DAL89,"33.945477,-118.409302",0,10,222
1568490522,2019-09-14T19:48:42Z,DAL89,"33.945553,-118.409073",0,9,194
1568490545,2019-09-14T19:49:05Z,DAL89,"33.945774,-118.408974",0,10,177
1568490559,2019-09-14T19:49:19Z,DAL89,"33.945992,-118.408974",0,11,174
1568490579,2019-09-14T19:49:39Z,DAL89,"33.946278,-118.409012",0,11,171
1568490593,2019-09-14T19:49:53Z,DAL89,"33.946522,-118.409058",0,12,171
1568490604,2019-09-14T19:50:04Z,DAL89,"33.946724,-118.409073",0,12,165
1568490617,2019-09-14T19:50:17Z,DAL89,"33.94693,-118.409058",0,11,149
1568490630,2019-09-14T19:50:30Z,DAL89,"33.947136,-118.409111",0,11,132
1568490647,2019-09-14T19:50:47Z,DAL89,"33.947342,-118.409256",0,11,104
1568490661,2019-09-14T19:51:01Z,DAL89,"33.947433,-118.409485",0,10,87
1568490675,2019-09-14T19:51:15Z,DAL89,"33.947422,-118.409706",0,12,87
1568490688,2019-09-14T19:51:28Z,DAL89,"33.947418,-118.409958",0,2,84
1568490807,2019-09-14T19:53:27Z,DAL89,"33.947365,-118.409904",0,0,135
1568490870,2019-09-14T19:54:30Z,DAL89,"33.947342,-118.409843",0,0,95
1568490939,2019-09-14T19:55:39Z,DAL89,"33.947296,-118.409805",0,0,148
1568490968,2019-09-14T19:56:08Z,DAL89,"33.947296,-118.409592",0,13,81
1568490977,2019-09-14T19:56:17Z,DAL89,"33.947319,-118.409317",0,17,81
1568490986,2019-09-14T19:56:26Z,DAL89,"33.947369,-118.408974",0,20,81
1568491014,2019-09-14T19:56:54Z,DAL89,"33.948418,-118.408295",0,24,56
1568491025,2019-09-14T19:57:05Z,DAL89,"33.948475,-118.407684",0,25,81
1568491031,2019-09-14T19:57:11Z,DAL89,"33.948509,-118.407341",0,27,81
1568491037,2019-09-14T19:57:17Z,DAL89,"33.948544,-118.406952",0,30,84
1568491050,2019-09-14T19:57:30Z,DAL89,"33.948647,-118.406036",0,34,81
1568491056,2019-09-14T19:57:36Z,DAL89,"33.948696,-118.40551",0,15,81
1568491062,2019-09-14T19:57:42Z,DAL89,"33.94875,-118.405014",0,15,84
1568491074,2019-09-14T19:57:54Z,DAL89,"33.948849,-118.404068",0,27,81
1568491086,2019-09-14T19:58:06Z,DAL89,"33.948906,-118.403465",0,24,84
1568491097,2019-09-14T19:58:17Z,DAL89,"33.948967,-118.40287",0,18,84
1568491108,2019-09-14T19:58:28Z,DAL89,"33.949013,-118.402534",0,11,84
1568491157,2019-09-14T19:59:17Z,DAL89,"33.949036,-118.40229",0,12,81
1568491169,2019-09-14T19:59:29Z,DAL89,"33.94907,-118.401917",0,19,81
1568491183,2019-09-14T19:59:43Z,DAL89,"33.949127,-118.401398",0,23,81
1568491193,2019-09-14T19:59:53Z,DAL89,"33.949196,-118.40078",0,22,84
1568491199,2019-09-14T19:59:59Z,DAL89,"33.949219,-118.400513",0,20,84
1568491205,2019-09-14T20:00:05Z,DAL89,"33.94923,-118.400299",0,16,84
1568491217,2019-09-14T20:00:17Z,DAL89,"33.949276,-118.39991",0,17,84
1568491223,2019-09-14T20:00:23Z,DAL89,"33.949303,-118.399673",0,17,81
1568491235,2019-09-14T20:00:35Z,DAL89,"33.949436,-118.399338",0,14,67
1568491265,2019-09-14T20:01:05Z,DAL89,"33.949883,-118.399101",0,21,25
1568491271,2019-09-14T20:01:11Z,DAL89,"33.950134,-118.399124",0,23,5
1568491278,2019-09-14T20:01:18Z,DAL89,"33.950375,-118.39917",0,19,357
