Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1570390904,2019-10-06T19:41:44Z,DAL89,"33.945396,-118.410347",0,0,148
1570391271,2019-10-06T19:47:51Z,DAL89,"33.945427,-118.410126",0,9,261
1570391286,2019-10-06T19:48:06Z,DAL89,"33.945442,-118.409904",0,11,258
1570391298,2019-10-06T19:48:18Z,DAL89,"33.945442,-118.409637",0,13,241
1570391310,2019-10-06T19:48:30Z,DAL89,"33.945461,-118.409401",0,12,219
1570391325,2019-10-06T19:48:45Z,DAL89,"33.945602,-118.409157",0,11,199
1570391346,2019-10-06T19:49:06Z,DAL89,"33.945881,-118.408981",0,10,171
1570391364,2019-10-06T19:49:24Z,DAL89,"33.946129,-118.409035",0,11,174
1570391382,2019-10-06T19:49:42Z,DAL89,"33.946415,-118.409073",0,12,174
1570391401,2019-10-06T19:50:01Z,DAL89,"33.946705,-118.409088",0,11,163
1570391415,2019-10-06T19:50:15Z,DAL89,"33.946938,-118.409111",0,12,146
1570391430,2019-10-06T19:50:30Z,DAL89,"33.94717,-118.409203",0,11,126
1570391448,2019-10-06T19:50:48Z,DAL89,"33.947399,-118.409409",0,11,101
1570391462,2019-10-06T19:51:02Z,DAL89,"33.947487,-118.409645",0,11,84
1570391478,2019-10-06T19:51:18Z,DAL89,"33.947464,-118.409859",0,2,84
1570392363,2019-10-06T20:06:03Z,DAL89,"33.947514,-118.409622",0,11,84
1570392374,2019-10-06T20:06:14Z,DAL89,"33.947533,-118.40937",0,13,84
1570392386,2019-10-06T20:06:26Z,DAL89,"33.947613,-118.409058",0,17,75
1570392395,2019-10-06T20:06:35Z,DAL89,"33.947857,-118.408852",0,21,17
1570392402,2019-10-06T20:06:42Z,DAL89,"33.948128,-118.408859",0,24,14
1570392411,2019-10-06T20:06:51Z,DAL89,"33.948383,-118.409218",0,23,320
1570392417,2019-10-06T20:06:57Z,DAL89,"33.948372,-118.4095",0,21,289
1570392423,2019-10-06T20:07:03Z,DAL89,"33.948322,-118.40976",0,20,270
1570392431,2019-10-06T20:07:11Z,DAL89,"33.948288,-118.410126",0,20,264
1570392438,2019-10-06T20:07:18Z,DAL89,"33.948257,-118.410408",0,21,264
1570392444,2019-10-06T20:07:24Z,DAL89,"33.948235,-118.41069",0,22,264
1570392455,2019-10-06T20:07:35Z,DAL89,"33.948174,-118.411263",0,23,264
1570392461,2019-10-06T20:07:41Z,DAL89,"33.948143,-118.411583",0,24,264
1570392467,2019-10-06T20:07:47Z,DAL89,"33.948109,-118.411919",0,25,264
1570392473,2019-10-06T20:07:53Z,DAL89,"33.948063,-118.41227",0,26,261
1570392479,2019-10-06T20:07:59Z,DAL89,"33.948021,-118.412636",0,27,261
1570392485,2019-10-06T20:08:05Z,DAL89,"33.947983,-118.41301",0,28,261
1570392491,2019-10-06T20:08:11Z,DAL89,"33.947929,-118.413422",0,30,261
1570392497,2019-10-06T20:08:17Z,DAL89,"33.947845,-118.413857",0,31,258
1570392503,2019-10-06T20:08:23Z,DAL89,"33.947742,-118.414261",0,32,253
1570392509,2019-10-06T20:08:29Z,DAL89,"33.947662,-118.414734",0,33,258
1570392515,2019-10-06T20:08:35Z,DAL89,"33.947613,-118.415207",0,34,261
1570392522,2019-10-06T20:08:42Z,DAL89,"33.947567,-118.41568",0,34,264
1570392534,2019-10-06T20:08:54Z,DAL89,"33.947468,-118.41671",0,16,264
1570392545,2019-10-06T20:09:05Z,DAL89,"33.947365,-118.417816",0,33,264
1570392551,2019-10-06T20:09:11Z,DAL89,"33.947296,-118.418182",0,22,258
1570392560,2019-10-06T20:09:20Z,DAL89,"33.947021,-118.418365",0,22,219
1570392566,2019-10-06T20:09:26Z,DAL89,"33.946781,-118.418297",0,21,188
1570392573,2019-10-06T20:09:33Z,DAL89,"33.946575,-118.418213",0,21,171
1570392581,2019-10-06T20:09:41Z,DAL89,"33.946232,-118.418144",0,22,171
1570392587,2019-10-06T20:09:47Z,DAL89,"33.945957,-118.418098",0,24,171
1570392593,2019-10-06T20:09:53Z,DAL89,"33.945705,-118.41806",0,25,171
1570392603,2019-10-06T20:10:03Z,DAL89,"33.945282,-118.417984",0,26,174
1570392609,2019-10-06T20:10:09Z,DAL89,"33.94495,-118.417946",0,27,174
1570392620,2019-10-06T20:10:20Z,DAL89,"33.944298,-118.417839",0,30,174
1570392627,2019-10-06T20:10:27Z,DAL89,"33.943924,-118.417786",0,31,174
1570392650,2019-10-06T20:10:50Z,DAL89,"33.942352,-118.417542",0,15,171
1570392663,2019-10-06T20:11:03Z,DAL89,"33.941517,-118.417412",0,16,174
1570392669,2019-10-06T20:11:09Z,DAL89,"33.940956,-118.417313",0,16,174
1570392695,2019-10-06T20:11:35Z,DAL89,"33.938946,-118.417007",0,34,171
1570392701,2019-10-06T20:11:41Z,DAL89,"33.938553,-118.416954",0,31,174
1570392713,2019-10-06T20:11:53Z,DAL89,"33.937862,-118.41684",0,27,174
1570392725,2019-10-06T20:12:05Z,DAL89,"33.937279,-118.416695",0,22,165
1570392734,2019-10-06T20:12:14Z,DAL89,"33.937134,-118.416321",0,20,126
1570392743,2019-10-06T20:12:23Z,DAL89,"33.937111,-118.416054",0,19,98
1570392749,2019-10-06T20:12:29Z,DAL89,"33.937141,-118.41581",0,21,87
1570392755,2019-10-06T20:12:35Z,DAL89,"33.937187,-118.415497",0,24,84
1570392762,2019-10-06T20:12:42Z,DAL89,"33.937222,-118.415161",0,26,81
1570392771,2019-10-06T20:12:51Z,DAL89,"33.937283,-118.414581",0,28,81
1570392779,2019-10-06T20:12:59Z,DAL89,"33.937336,-118.414017",0,29,81
1570392786,2019-10-06T20:13:06Z,DAL89,"33.937386,-118.413589",0,30,84
1570392796,2019-10-06T20:13:16Z,DAL89,"33.937466,-118.412804",0,32,84
1570392803,2019-10-06T20:13:23Z,DAL89,"33.937523,-118.412262",0,33,81
1570392810,2019-10-06T20:13:30Z,DAL89,"33.93758,-118.411751",0,34,81
1570392822,2019-10-06T20:13:42Z,DAL89,"33.937687,-118.410706",0,15,84
1570392834,2019-10-06T20:13:54Z,DAL89,"33.93779,-118.409645",0,16,81
1570392845,2019-10-06T20:14:05Z,DAL89,"33.937901,-118.408569",0,17,81
1570392852,2019-10-06T20:14:12Z,DAL89,"33.937977,-118.407959",0,17,81
1570392858,2019-10-06T20:14:18Z,DAL89,"33.938038,-118.407326",0,18,81
1570392864,2019-10-06T20:14:24Z,DAL89,"33.938107,-118.406723",0,19,81
1570392871,2019-10-06T20:14:31Z,DAL89,"33.938175,-118.406036",0,20,81
1570392881,2019-10-06T20:14:41Z,DAL89,"33.938301,-118.404762",0,20,84
1570392888,2019-10-06T20:14:48Z,DAL89,"33.938374,-118.404068",0,21,84
1570392894,2019-10-06T20:14:54Z,DAL89,"33.938438,-118.403374",0,20,81
1570392900,2019-10-06T20:15:00Z,DAL89,"33.938519,-118.402672",0,21,81
1570392906,2019-10-06T20:15:06Z,DAL89,"33.938587,-118.40197",0,23,84
1570392912,2019-10-06T20:15:12Z,DAL89,"33.938667,-118.401146",0,24,84
1570392918,2019-10-06T20:15:18Z,DAL89,"33.938747,-118.400429",0,24,81
1570392929,2019-10-06T20:15:29Z,DAL89,"33.938896,-118.398956",0,17,84
1570392936,2019-10-06T20:15:36Z,DAL89,"33.938965,-118.398331",0,18,84
1570392948,2019-10-06T20:15:48Z,DAL89,"33.939079,-118.397163",0,33,81
1570392954,2019-10-06T20:15:54Z,DAL89,"33.939125,-118.396729",0,34,81
1570392965,2019-10-06T20:16:05Z,DAL89,"33.939236,-118.395668",0,15,84
1570392972,2019-10-06T20:16:12Z,DAL89,"33.939285,-118.395157",0,15,84
1570392987,2019-10-06T20:16:27Z,DAL89,"33.939434,-118.393761",0,18,81
1570392993,2019-10-06T20:16:33Z,DAL89,"33.939503,-118.39312",0,20,81
1570393005,2019-10-06T20:16:45Z,DAL89,"33.939617,-118.391975",0,34,84
