Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1570473416,2019-10-07T18:36:56Z,DAL89,"33.945415,-118.410332",0,0,42
1570474446,2019-10-07T18:54:06Z,DAL89,"33.945415,-118.410332",0,0,42
1570477190,2019-10-07T19:39:50Z,DAL89,"33.945431,-118.41011",0,9,261
1570477207,2019-10-07T19:40:07Z,DAL89,"33.945438,-118.409859",0,10,255
1570477222,2019-10-07T19:40:22Z,DAL89,"33.945431,-118.409653",0,10,239
1570477240,2019-10-07T19:40:40Z,DAL89,"33.945477,-118.409409",0,9,219
1570477262,2019-10-07T19:41:02Z,DAL89,"33.945625,-118.409187",0,10,205
1570477284,2019-10-07T19:41:24Z,DAL89,"33.945797,-118.408974",0,9,171
1570477310,2019-10-07T19:41:50Z,DAL89,"33.946026,-118.409019",0,2,174
1570477349,2019-10-07T19:42:29Z,DAL89,"33.946228,-118.409042",0,11,174
1570477367,2019-10-07T19:42:47Z,DAL89,"33.946545,-118.409073",0,13,174
1570477379,2019-10-07T19:42:59Z,DAL89,"33.946758,-118.409119",0,13,180
1570477390,2019-10-07T19:43:10Z,DAL89,"33.94701,-118.409187",0,13,196
1570477405,2019-10-07T19:43:25Z,DAL89,"33.947254,-118.409203",0,12,230
1570477424,2019-10-07T19:43:44Z,DAL89,"33.947479,-118.408989",0,12,258
1570477436,2019-10-07T19:43:56Z,DAL89,"33.947514,-118.408752",0,12,264
1570477451,2019-10-07T19:44:11Z,DAL89,"33.947544,-118.408417",0,13,264
1570477463,2019-10-07T19:44:23Z,DAL89,"33.947559,-118.40815",0,12,261
1570477623,2019-10-07T19:47:03Z,DAL89,"33.947479,-118.408432",0,15,261
1570477634,2019-10-07T19:47:14Z,DAL89,"33.947433,-118.408836",0,19,261
1570477641,2019-10-07T19:47:21Z,DAL89,"33.947403,-118.409088",0,20,261
1570477652,2019-10-07T19:47:32Z,DAL89,"33.947346,-118.409683",0,25,264
1570477659,2019-10-07T19:47:39Z,DAL89,"33.947308,-118.410057",0,28,264
1570477665,2019-10-07T19:47:45Z,DAL89,"33.947262,-118.410492",0,31,264
1570477671,2019-10-07T19:47:51Z,DAL89,"33.947216,-118.41095",0,34,264
1570477677,2019-10-07T19:47:57Z,DAL89,"33.947147,-118.411461",0,15,261
1570477683,2019-10-07T19:48:03Z,DAL89,"33.94701,-118.411919",0,16,253
1570477695,2019-10-07T19:48:15Z,DAL89,"33.946789,-118.412994",0,16,261
1570477701,2019-10-07T19:48:21Z,DAL89,"33.946747,-118.413574",0,16,264
1570477707,2019-10-07T19:48:27Z,DAL89,"33.946682,-118.414139",0,17,264
1570477717,2019-10-07T19:48:37Z,DAL89,"33.946587,-118.415016",0,18,264
1570477724,2019-10-07T19:48:44Z,DAL89,"33.946507,-118.415833",0,18,261
1570477731,2019-10-07T19:48:51Z,DAL89,"33.946426,-118.416534",0,19,264
1570477737,2019-10-07T19:48:57Z,DAL89,"33.946369,-118.417145",0,17,264
1570477743,2019-10-07T19:49:03Z,DAL89,"33.946312,-118.417679",0,30,261
1570477752,2019-10-07T19:49:12Z,DAL89,"33.9459,-118.418045",0,33,210
1570477758,2019-10-07T19:49:18Z,DAL89,"33.945541,-118.417969",0,30,180
1570477771,2019-10-07T19:49:31Z,DAL89,"33.944801,-118.417862",0,32,171
1570477779,2019-10-07T19:49:39Z,DAL89,"33.944218,-118.417763",0,33,171
1570477785,2019-10-07T19:49:45Z,DAL89,"33.943806,-118.417709",0,34,171
1570477791,2019-10-07T19:49:51Z,DAL89,"33.943417,-118.417648",0,15,174
1570477797,2019-10-07T19:49:57Z,DAL89,"33.943062,-118.417595",0,15,174
1570477803,2019-10-07T19:50:03Z,DAL89,"33.942505,-118.417526",0,16,174
1570477818,2019-10-07T19:50:18Z,DAL89,"33.94138,-118.417343",0,17,171
1570477827,2019-10-07T19:50:27Z,DAL89,"33.940643,-118.417236",0,18,174
1570477833,2019-10-07T19:50:33Z,DAL89,"33.940144,-118.41716",0,18,174
1570477840,2019-10-07T19:50:40Z,DAL89,"33.939583,-118.417076",0,19,174
1570477846,2019-10-07T19:50:46Z,DAL89,"33.93906,-118.416992",0,19,171
1570477852,2019-10-07T19:50:52Z,DAL89,"33.938549,-118.416924",0,18,171
1570477863,2019-10-07T19:51:03Z,DAL89,"33.937649,-118.416779",0,33,174
1570477870,2019-10-07T19:51:10Z,DAL89,"33.937256,-118.416725",0,33,171
1570477878,2019-10-07T19:51:18Z,DAL89,"33.936951,-118.416183",0,32,115
1570477887,2019-10-07T19:51:27Z,DAL89,"33.937046,-118.415535",0,29,87
1570477893,2019-10-07T19:51:33Z,DAL89,"33.937214,-118.415298",0,30,84
1570477902,2019-10-07T19:51:42Z,DAL89,"33.937302,-118.414581",0,32,84
1570477914,2019-10-07T19:51:54Z,DAL89,"33.937397,-118.413612",0,16,84
1570477920,2019-10-07T19:52:00Z,DAL89,"33.937454,-118.413048",0,18,84
1570477927,2019-10-07T19:52:07Z,DAL89,"33.937523,-118.412323",0,18,84
1570477936,2019-10-07T19:52:16Z,DAL89,"33.937618,-118.411476",0,19,84
1570477946,2019-10-07T19:52:26Z,DAL89,"33.937752,-118.410156",0,20,84
1570477954,2019-10-07T19:52:34Z,DAL89,"33.937828,-118.409401",0,20,81
1570477960,2019-10-07T19:52:40Z,DAL89,"33.937897,-118.408684",0,21,81
1570477972,2019-10-07T19:52:52Z,DAL89,"33.938049,-118.407272",0,22,81
1570477984,2019-10-07T19:53:04Z,DAL89,"33.938187,-118.405807",0,24,81
1570477995,2019-10-07T19:53:15Z,DAL89,"33.938358,-118.404129",0,26,81
1570478001,2019-10-07T19:53:21Z,DAL89,"33.938465,-118.40316",0,28,81
1570478014,2019-10-07T19:53:34Z,DAL89,"33.938679,-118.4011",0,30,84
1570478020,2019-10-07T19:53:40Z,DAL89,"33.938782,-118.400124",0,32,81
1570478034,2019-10-07T19:53:54Z,DAL89,"33.939003,-118.397842",0,23,84
1570478040,2019-10-07T19:54:00Z,DAL89,"33.939083,-118.397079",0,23,84
1570478046,2019-10-07T19:54:06Z,DAL89,"33.939171,-118.396225",0,24,81
1570478053,2019-10-07T19:54:13Z,DAL89,"33.939274,-118.395325",0,25,81
1570478062,2019-10-07T19:54:22Z,DAL89,"33.939396,-118.39402",0,27,84
1570478068,2019-10-07T19:54:28Z,DAL89,"33.939491,-118.393082",0,28,84
1570478074,2019-10-07T19:54:34Z,DAL89,"33.939594,-118.39209",0,29,81
1570478083,2019-10-07T19:54:43Z,DAL89,"33.939743,-118.390648",0,28,81
1570478096,2019-10-07T19:54:56Z,DAL89,"33.939934,-118.388741",0,25,84
1570478104,2019-10-07T19:55:04Z,DAL89,"33.940048,-118.387688",0,25,81
1570478128,2019-10-07T19:55:28Z,DAL89,"33.940407,-118.384216",0,24,81
1570478135,2019-10-07T19:55:35Z,DAL89,"33.940487,-118.383446",0,23,81
1570478147,2019-10-07T19:55:47Z,DAL89,"33.940624,-118.381989",0,19,84
1570478159,2019-10-07T19:55:59Z,DAL89,"33.94075,-118.380798",0,16,81
1570478168,2019-10-07T19:56:08Z,DAL89,"33.940701,-118.380135",0,27,101
1570478175,2019-10-07T19:56:15Z,DAL89,"33.940319,-118.379974",0,24,151
1570478182,2019-10-07T19:56:22Z,DAL89,"33.940041,-118.379967",0,22,171
1570478191,2019-10-07T19:56:31Z,DAL89,"33.939793,-118.380249",0,18,213
1570478200,2019-10-07T19:56:40Z,DAL89,"33.939781,-118.380501",0,14,241
1570478215,2019-10-07T19:56:55Z,DAL89,"33.939777,-118.380836",0,20,258
1570478222,2019-10-07T19:57:02Z,DAL89,"33.939709,-118.3815",0,33,261
1570478232,2019-10-07T19:57:12Z,DAL89,"33.93935,-118.384949",0,80,261
1570478240,2019-10-07T19:57:20Z,DAL89,"33.938908,-118.38913",100,109,263
1570478248,2019-10-07T19:57:28Z,DAL89,"33.938396,-118.394455",100,126,262
1570478255,2019-10-07T19:57:35Z,DAL89,"33.93782,-118.399712",75,159,262
1570478261,2019-10-07T19:57:41Z,DAL89,"33.937233,-118.405724",75,177,262
1570478267,2019-10-07T19:57:47Z,DAL89,"33.936584,-118.41188",275,181,262
1570478278,2019-10-07T19:57:58Z,DAL89,"33.935326,-118.423462",825,178,262
1570478284,2019-10-07T19:58:04Z,DAL89,"33.934628,-118.429703",1100,178,261
1570478291,2019-10-07T19:58:11Z,DAL89,"33.933838,-118.435532",1300,182,258
1570478299,2019-10-07T19:58:19Z,DAL89,"33.931091,-118.444504",1400,192,243
1570478305,2019-10-07T19:58:25Z,DAL89,"33.928528,-118.449898",1400,205,238
1570478311,2019-10-07T19:58:31Z,DAL89,"33.925407,-118.455902",1400,215,237
1570478317,2019-10-07T19:58:37Z,DAL89,"33.92178,-118.462143",1450,225,233
1570478323,2019-10-07T19:58:43Z,DAL89,"33.917961,-118.468262",1500,233,233
1570478331,2019-10-07T19:58:51Z,DAL89,"33.913788,-118.475052",1600,240,232
1570478342,2019-10-07T19:59:02Z,DAL89,"33.905483,-118.487839",1775,253,232
1570478355,2019-10-07T19:59:15Z,DAL89,"33.896454,-118.501854",2000,264,232
1570478366,2019-10-07T19:59:26Z,DAL89,"33.887283,-118.51619",2400,268,232
1570478377,2019-10-07T19:59:37Z,DAL89,"33.878765,-118.52932",2800,270,232
1570478384,2019-10-07T19:59:44Z,DAL89,"33.873779,-118.537155",3025,271,232
1570478391,2019-10-07T19:59:51Z,DAL89,"33.869064,-118.544556",3250,271,232
1570478402,2019-10-07T20:00:02Z,DAL89,"33.859818,-118.559128",3675,274,233
1570478408,2019-10-07T20:00:08Z,DAL89,"33.855423,-118.566132",3900,273,233
1570478415,2019-10-07T20:00:15Z,DAL89,"33.85088,-118.573441",4150,273,233
1570478426,2019-10-07T20:00:26Z,DAL89,"33.841755,-118.588257",4650,271,233
1570478432,2019-10-07T20:00:32Z,DAL89,"33.837204,-118.595619",4875,271,233
1570478439,2019-10-07T20:00:39Z,DAL89,"33.832626,-118.603073",5075,274,233
1570478450,2019-10-07T20:00:50Z,DAL89,"33.823227,-118.61795",5450,279,232
1570478462,2019-10-07T20:01:02Z,DAL89,"33.813915,-118.63295",5825,281,235
1570478471,2019-10-07T20:01:11Z,DAL89,"33.808273,-118.645058",6200,281,246
1570478478,2019-10-07T20:01:18Z,DAL89,"33.805489,-118.654633",6450,282,253
1570478509,2019-10-07T20:01:49Z,DAL89,"33.799713,-118.703186",7325,296,262
1570478521,2019-10-07T20:02:01Z,DAL89,"33.797745,-118.72364",7775,296,263
1570478533,2019-10-07T20:02:13Z,DAL89,"33.795731,-118.742645",8275,294,262
1570478544,2019-10-07T20:02:24Z,DAL89,"33.793716,-118.762154",8775,292,262
1570478557,2019-10-07T20:02:37Z,DAL89,"33.791805,-118.780632",9250,290,263
1570478568,2019-10-07T20:02:48Z,DAL89,"33.7901,-118.801331",9650,295,266
1570478593,2019-10-07T20:03:13Z,DAL89,"33.791897,-118.839569",10300,303,275
1570478607,2019-10-07T20:03:27Z,DAL89,"33.794598,-118.866867",10500,317,277
1570478621,2019-10-07T20:03:41Z,DAL89,"33.797287,-118.890564",10675,320,277
1570478637,2019-10-07T20:03:57Z,DAL89,"33.804428,-118.918648",10850,342,295
1570478646,2019-10-07T20:04:06Z,DAL89,"33.813034,-118.933113",10950,352,310
1570478653,2019-10-07T20:04:13Z,DAL89,"33.819809,-118.941742",11000,357,314
1570478661,2019-10-07T20:04:21Z,DAL89,"33.829834,-118.953796",11075,364,314
1570478667,2019-10-07T20:04:27Z,DAL89,"33.837749,-118.96328",11150,369,315
1570478685,2019-10-07T20:04:45Z,DAL89,"33.859772,-118.989426",11550,376,315
1570478696,2019-10-07T20:04:56Z,DAL89,"33.873734,-119.006149",11925,376,314
1570478708,2019-10-07T20:05:08Z,DAL89,"33.88868,-119.024277",12225,381,314
1570478742,2019-10-07T20:05:42Z,DAL89,"33.930313,-119.07605",13350,382,313
1570478774,2019-10-07T20:06:14Z,DAL89,"33.970047,-119.125931",14400,383,313
1570478806,2019-10-07T20:06:46Z,DAL89,"34.010284,-119.176659",15125,393,313
1570478840,2019-10-07T20:07:20Z,DAL89,"34.052963,-119.23056",15875,402,313
1570478873,2019-10-07T20:07:53Z,DAL89,"34.094906,-119.283432",16650,410,313
1570478907,2019-10-07T20:08:27Z,DAL89,"34.140793,-119.341347",17725,409,313
1570478940,2019-10-07T20:09:00Z,DAL89,"34.182377,-119.393921",18825,403,313
1570479014,2019-10-07T20:10:14Z,DAL89,"34.278305,-119.515778",20575,406,313
1570479088,2019-10-07T20:11:28Z,DAL89,"34.375244,-119.639343",21925,413,313
1570479152,2019-10-07T20:12:32Z,DAL89,"34.459808,-119.747391",23025,420,313
1570479214,2019-10-07T20:13:34Z,DAL89,"34.544785,-119.856323",24225,423,313
1570479276,2019-10-07T20:14:36Z,DAL89,"34.62928,-119.964981",25250,428,313
1570479340,2019-10-07T20:15:40Z,DAL89,"34.714966,-120.075523",26400,428,313
1570479406,2019-10-07T20:16:46Z,DAL89,"34.806129,-120.193634",27275,431,313
1570479471,2019-10-07T20:17:51Z,DAL89,"34.89188,-120.304871",28300,429,313
1570479536,2019-10-07T20:18:56Z,DAL89,"34.981934,-120.422318",29400,425,312
1570479600,2019-10-07T20:20:00Z,DAL89,"35.067707,-120.534607",29925,430,312
1570479674,2019-10-07T20:21:14Z,DAL89,"35.168167,-120.666443",30500,437,312
1570479738,2019-10-07T20:22:18Z,DAL89,"35.255264,-120.781059",31175,438,312
1570479797,2019-10-07T20:23:17Z,DAL89,"35.337849,-120.891045",31600,441,310
1570479813,2019-10-07T20:23:33Z,DAL89,"35.356194,-120.92231",31725,437,302
1570479822,2019-10-07T20:23:42Z,DAL89,"35.365402,-120.941559",31775,437,299
1570479886,2019-10-07T20:24:46Z,DAL89,"35.431824,-121.076828",32575,434,301
1570479950,2019-10-07T20:25:50Z,DAL89,"35.498474,-121.211128",33325,431,301
1570480014,2019-10-07T20:26:54Z,DAL89,"35.564575,-121.344742",34075,426,301
1570480075,2019-10-07T20:27:55Z,DAL89,"35.625916,-121.469284",34475,428,301
1570480138,2019-10-07T20:28:58Z,DAL89,"35.690624,-121.601234",34850,429,301
1570480201,2019-10-07T20:30:01Z,DAL89,"35.75528,-121.733383",35350,428,300
1570480218,2019-10-07T20:30:18Z,DAL89,"35.773159,-121.77018",35600,425,300
1570480308,2019-10-07T20:31:48Z,DAL89,"35.86203,-121.953033",36000,423,300
1570480374,2019-10-07T20:32:54Z,DAL89,"35.928459,-122.090363",36000,425,300
1570480434,2019-10-07T20:33:54Z,DAL89,"35.988831,-122.215637",36000,424,300
1570480497,2019-10-07T20:34:57Z,DAL89,"36.052643,-122.348557",36000,425,300
1570480558,2019-10-07T20:35:58Z,DAL89,"36.113068,-122.475014",36000,426,300
1570480621,2019-10-07T20:37:01Z,DAL89,"36.176582,-122.60836",36000,428,300
1570480684,2019-10-07T20:38:04Z,DAL89,"36.240078,-122.742119",36000,432,300
1570480745,2019-10-07T20:39:05Z,DAL89,"36.301575,-122.872238",36000,434,300
1570480809,2019-10-07T20:40:09Z,DAL89,"36.366623,-123.010483",36000,432,300
1570480870,2019-10-07T20:41:10Z,DAL89,"36.428421,-123.14238",36000,433,300
1570480936,2019-10-07T20:42:16Z,DAL89,"36.494156,-123.28302",36000,436,300
1570480998,2019-10-07T20:43:18Z,DAL89,"36.557285,-123.418831",36000,438,299
1570481066,2019-10-07T20:44:26Z,DAL89,"36.62645,-123.568268",36000,440,299
1570481131,2019-10-07T20:45:31Z,DAL89,"36.69038,-123.706932",36000,439,299
1570481191,2019-10-07T20:46:31Z,DAL89,"36.752014,-123.841209",36000,438,299
1570481256,2019-10-07T20:47:36Z,DAL89,"36.81633,-123.981918",36000,437,299
1570481318,2019-10-07T20:48:38Z,DAL89,"36.878952,-124.119385",36000,434,299
1570481379,2019-10-07T20:49:39Z,DAL89,"36.938553,-124.25087",36000,432,299
1570481442,2019-10-07T20:50:42Z,DAL89,"37.000122,-124.387321",36000,430,299
1570481504,2019-10-07T20:51:44Z,DAL89,"37.061417,-124.523659",36000,429,299
1570481567,2019-10-07T20:52:47Z,DAL89,"37.122574,-124.66011",36000,430,299
1570481629,2019-10-07T20:53:49Z,DAL89,"37.182861,-124.795334",36000,430,299
1570481694,2019-10-07T20:54:54Z,DAL89,"37.245003,-124.935387",36000,429,298
1570481757,2019-10-07T20:55:57Z,DAL89,"37.305332,-125.071823",36000,432,298
1570481819,2019-10-07T20:56:59Z,DAL89,"37.365479,-125.208496",36000,434,298
1570481884,2019-10-07T20:58:04Z,DAL89,"37.428513,-125.352272",36000,436,298
1570481945,2019-10-07T20:59:05Z,DAL89,"37.487732,-125.48806",36000,439,298
1570481976,2019-10-07T20:59:36Z,DAL89,"37.519196,-125.560234",36000,440,298
1570482063,2019-10-07T21:01:03Z,DAL89,"37.604061,-125.756203",36000,443,298
1570482124,2019-10-07T21:02:04Z,DAL89,"37.663925,-125.89502",36000,445,298
1570482188,2019-10-07T21:03:08Z,DAL89,"37.725998,-126.039833",36000,449,298
1570482232,2019-10-07T21:03:52Z,DAL89,"37.770172,-126.143211",36000,451,298
1570482313,2019-10-07T21:05:13Z,DAL89,"37.85004,-126.330948",36000,452,298
1570482351,2019-10-07T21:05:51Z,DAL89,"37.887772,-126.419914",36000,453,298
1570482441,2019-10-07T21:07:21Z,DAL89,"37.975735,-126.628593",36000,454,298
1570482512,2019-10-07T21:08:32Z,DAL89,"38.046753,-126.798004",36000,454,297
1570482525,2019-10-07T21:08:45Z,DAL89,"38.058224,-126.825516",36000,454,297
1570482584,2019-10-07T21:09:44Z,DAL89,"38.116226,-126.965233",36000,457,296
1570482670,2019-10-07T21:11:10Z,DAL89,"38.175476,-127.180656",36000,454,287
1570482733,2019-10-07T21:12:13Z,DAL89,"38.215302,-127.340897",36000,455,287
1570482790,2019-10-07T21:13:10Z,DAL89,"38.251183,-127.48732",36000,456,287
1570482855,2019-10-07T21:14:15Z,DAL89,"38.292023,-127.655052",36000,457,287
1570482923,2019-10-07T21:15:23Z,DAL89,"38.334091,-127.829033",36000,458,287
1570482981,2019-10-07T21:16:21Z,DAL89,"38.369705,-127.977402",36000,460,286
1570483048,2019-10-07T21:17:28Z,DAL89,"38.411739,-128.15361",36000,462,286
1570483114,2019-10-07T21:18:34Z,DAL89,"38.452427,-128.325439",36000,463,286
1570483172,2019-10-07T21:19:32Z,DAL89,"38.488132,-128.477295",36000,464,286
1570483240,2019-10-07T21:20:40Z,DAL89,"38.529648,-128.65509",36000,466,286
1570483305,2019-10-07T21:21:45Z,DAL89,"38.569695,-128.828064",36000,466,286
1570483365,2019-10-07T21:22:45Z,DAL89,"38.606003,-128.985825",36000,467,286
1570483431,2019-10-07T21:23:51Z,DAL89,"38.645527,-129.158936",36000,466,286
