Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1572983315,2019-11-05T19:48:35Z,DAL89,"33.945415,-118.410172",0,0,89
1572983336,2019-11-05T19:48:56Z,DAL89,"33.945442,-118.409889",0,11,258
1572983347,2019-11-05T19:49:07Z,DAL89,"33.945473,-118.409645",0,12,250
1572983359,2019-11-05T19:49:19Z,DAL89,"33.945522,-118.409409",0,11,236
1572983371,2019-11-05T19:49:31Z,DAL89,"33.945614,-118.409203",0,11,213
1572983392,2019-11-05T19:49:52Z,DAL89,"33.945835,-118.408997",0,10,182
1572983408,2019-11-05T19:50:08Z,DAL89,"33.946049,-118.408974",0,11,174
1572983426,2019-11-05T19:50:26Z,DAL89,"33.946323,-118.409019",0,11,174
1572983439,2019-11-05T19:50:39Z,DAL89,"33.946533,-118.409042",0,13,174
1572983449,2019-11-05T19:50:49Z,DAL89,"33.946766,-118.409088",0,13,180
1572983462,2019-11-05T19:51:02Z,DAL89,"33.94701,-118.409088",0,12,191
1572983477,2019-11-05T19:51:17Z,DAL89,"33.947262,-118.409073",0,10,216
1572983500,2019-11-05T19:51:40Z,DAL89,"33.947468,-118.408936",0,2,247
1572983525,2019-11-05T19:52:05Z,DAL89,"33.947556,-118.408684",0,9,267
1572983543,2019-11-05T19:52:23Z,DAL89,"33.947567,-118.408424",0,10,264
1572983703,2019-11-05T19:55:03Z,DAL89,"33.947559,-118.408669",0,15,267
1572983714,2019-11-05T19:55:14Z,DAL89,"33.947788,-118.408844",0,14,323
1572983727,2019-11-05T19:55:27Z,DAL89,"33.948032,-118.408829",0,14,357
1572983735,2019-11-05T19:55:35Z,DAL89,"33.948269,-118.408714",0,17,22
1572983744,2019-11-05T19:55:44Z,DAL89,"33.948383,-118.408401",0,20,59
1572983751,2019-11-05T19:55:51Z,DAL89,"33.948418,-118.408165",0,20,75
1572983757,2019-11-05T19:55:57Z,DAL89,"33.948441,-118.407898",0,21,81
1572983766,2019-11-05T19:56:06Z,DAL89,"33.948498,-118.407433",0,23,84
1572983772,2019-11-05T19:56:12Z,DAL89,"33.948521,-118.407127",0,24,84
1572983783,2019-11-05T19:56:23Z,DAL89,"33.948601,-118.406456",0,24,84
1572983790,2019-11-05T19:56:30Z,DAL89,"33.948639,-118.406128",0,24,81
1572983801,2019-11-05T19:56:41Z,DAL89,"33.948704,-118.405403",0,27,84
1572983808,2019-11-05T19:56:48Z,DAL89,"33.948742,-118.405022",0,28,84
1572983814,2019-11-05T19:56:54Z,DAL89,"33.948792,-118.404625",0,28,84
1572983820,2019-11-05T19:57:00Z,DAL89,"33.948818,-118.404228",0,29,84
1572983826,2019-11-05T19:57:06Z,DAL89,"33.94886,-118.403839",0,29,81
1572983838,2019-11-05T19:57:18Z,DAL89,"33.948944,-118.403076",0,27,84
1572983844,2019-11-05T19:57:24Z,DAL89,"33.948986,-118.402702",0,27,81
1572983855,2019-11-05T19:57:35Z,DAL89,"33.949059,-118.401955",0,27,84
1572983861,2019-11-05T19:57:41Z,DAL89,"33.949093,-118.401604",0,26,84
1572983867,2019-11-05T19:57:47Z,DAL89,"33.949139,-118.401215",0,26,81
1572983874,2019-11-05T19:57:54Z,DAL89,"33.949173,-118.400879",0,24,84
1572983880,2019-11-05T19:58:00Z,DAL89,"33.949207,-118.400566",0,23,81
1572983893,2019-11-05T19:58:13Z,DAL89,"33.949268,-118.399956",0,22,84
1572983901,2019-11-05T19:58:21Z,DAL89,"33.949356,-118.399521",0,23,73
1572983908,2019-11-05T19:58:28Z,DAL89,"33.949493,-118.399269",0,23,56
1572983916,2019-11-05T19:58:36Z,DAL89,"33.949837,-118.399101",0,22,19
1572983925,2019-11-05T19:58:45Z,DAL89,"33.95018,-118.399155",0,21,354
1572983931,2019-11-05T19:58:51Z,DAL89,"33.950397,-118.399193",0,19,351
1572983939,2019-11-05T19:58:59Z,DAL89,"33.950466,-118.39946",0,16,295
1572983949,2019-11-05T19:59:09Z,DAL89,"33.950397,-118.399712",0,14,264
1572983961,2019-11-05T19:59:21Z,DAL89,"33.950348,-118.4002",0,34,264
1572983967,2019-11-05T19:59:27Z,DAL89,"33.950222,-118.401405",0,45,264
1572983982,2019-11-05T19:59:42Z,DAL89,"33.949524,-118.408188",125,109,263
1572983994,2019-11-05T19:59:54Z,DAL89,"33.948593,-118.417221",75,156,263
1572984000,2019-11-05T20:00:00Z,DAL89,"33.948032,-118.42289",100,174,262
1572984012,2019-11-05T20:00:12Z,DAL89,"33.946793,-118.434021",450,178,262
1572984018,2019-11-05T20:00:18Z,DAL89,"33.94606,-118.4403",725,179,261
1572984024,2019-11-05T20:00:24Z,DAL89,"33.945381,-118.44606",950,181,262
1572984030,2019-11-05T20:00:30Z,DAL89,"33.944641,-118.452629",1200,186,262
1572984036,2019-11-05T20:00:36Z,DAL89,"33.94389,-118.459106",1350,189,262
1572984048,2019-11-05T20:00:48Z,DAL89,"33.942867,-118.471985",1475,199,265
1572984054,2019-11-05T20:00:54Z,DAL89,"33.942635,-118.478912",1500,207,268
1572984060,2019-11-05T20:01:00Z,DAL89,"33.94249,-118.485809",1550,214,268
1572984066,2019-11-05T20:01:06Z,DAL89,"33.942352,-118.492706",1625,220,268
1572984072,2019-11-05T20:01:12Z,DAL89,"33.942169,-118.500443",1700,226,267
1572984078,2019-11-05T20:01:18Z,DAL89,"33.941895,-118.5084",1750,233,267
1572984084,2019-11-05T20:01:24Z,DAL89,"33.941517,-118.516556",1800,239,266
1572984090,2019-11-05T20:01:30Z,DAL89,"33.941006,-118.52446",1875,247,265
1572984105,2019-11-05T20:01:45Z,DAL89,"33.939423,-118.545174",2225,255,264
1572984115,2019-11-05T20:01:55Z,DAL89,"33.938416,-118.558174",2375,265,265
1572984121,2019-11-05T20:02:01Z,DAL89,"33.937912,-118.566978",2475,270,266
1572984133,2019-11-05T20:02:13Z,DAL89,"33.936722,-118.58519",2875,272,264
1572984143,2019-11-05T20:02:23Z,DAL89,"33.93544,-118.602516",3350,271,265
1572984168,2019-11-05T20:02:48Z,DAL89,"33.938725,-118.639412",4350,277,276
1572984174,2019-11-05T20:02:54Z,DAL89,"33.939743,-118.648193",4650,277,278
1572984182,2019-11-05T20:03:02Z,DAL89,"33.941711,-118.662094",5075,278,280
1572984194,2019-11-05T20:03:14Z,DAL89,"33.944729,-118.680611",5600,280,281
1572984207,2019-11-05T20:03:27Z,DAL89,"33.948498,-118.699432",6100,284,286
1572984217,2019-11-05T20:03:37Z,DAL89,"33.953804,-118.71283",6400,288,300
1572984225,2019-11-05T20:03:45Z,DAL89,"33.961349,-118.724091",6750,288,313
1572984231,2019-11-05T20:03:51Z,DAL89,"33.967484,-118.730255",6975,288,322
1572984237,2019-11-05T20:03:57Z,DAL89,"33.97435,-118.735245",7200,289,329
1572984244,2019-11-05T20:04:04Z,DAL89,"33.981689,-118.738861",7425,288,340
1572984252,2019-11-05T20:04:12Z,DAL89,"33.993347,-118.74147",7650,286,354
1572984274,2019-11-05T20:04:34Z,DAL89,"34.019714,-118.734291",7925,276,26
1572984283,2019-11-05T20:04:43Z,DAL89,"34.029373,-118.725998",7925,274,41
1572984289,2019-11-05T20:04:49Z,DAL89,"34.034866,-118.719887",7925,273,43
1572984297,2019-11-05T20:04:57Z,DAL89,"34.04314,-118.710594",7950,273,42
1572984303,2019-11-05T20:05:03Z,DAL89,"34.048958,-118.704185",7925,273,42
1572984315,2019-11-05T20:05:15Z,DAL89,"34.059757,-118.692108",7925,275,43
1572984328,2019-11-05T20:05:28Z,DAL89,"34.071072,-118.680206",7925,276,36
1572984336,2019-11-05T20:05:36Z,DAL89,"34.081467,-118.67308",7925,278,25
1572984342,2019-11-05T20:05:42Z,DAL89,"34.088242,-118.669945",7925,278,18
1572984349,2019-11-05T20:05:49Z,DAL89,"34.09639,-118.667419",7975,280,12
1572984355,2019-11-05T20:05:55Z,DAL89,"34.104309,-118.665619",8075,283,10
1572984361,2019-11-05T20:06:01Z,DAL89,"34.112091,-118.663719",8275,283,11
1572984367,2019-11-05T20:06:07Z,DAL89,"34.119644,-118.661758",8525,282,12
1572984381,2019-11-05T20:06:21Z,DAL89,"34.13834,-118.657036",9200,283,11
1572984394,2019-11-05T20:06:34Z,DAL89,"34.154068,-118.653297",9750,284,10
1572984405,2019-11-05T20:06:45Z,DAL89,"34.170319,-118.649597",10325,285,10
1572984417,2019-11-05T20:06:57Z,DAL89,"34.185837,-118.646179",10975,281,10
1572984430,2019-11-05T20:07:10Z,DAL89,"34.201092,-118.64267",11475,284,10
1572984442,2019-11-05T20:07:22Z,DAL89,"34.216686,-118.639008",11975,286,11
1572984453,2019-11-05T20:07:33Z,DAL89,"34.231979,-118.635582",12400,290,7
1572984465,2019-11-05T20:07:45Z,DAL89,"34.248947,-118.634834",12825,297,357
1572984473,2019-11-05T20:07:53Z,DAL89,"34.257385,-118.635864",13075,298,352
1572984481,2019-11-05T20:08:01Z,DAL89,"34.269711,-118.63855",13450,299,348
1572984490,2019-11-05T20:08:10Z,DAL89,"34.281906,-118.641418",13850,298,349
1572984525,2019-11-05T20:08:45Z,DAL89,"34.329941,-118.652176",14825,311,349
1572984558,2019-11-05T20:09:18Z,DAL89,"34.379852,-118.663498",15250,333,349
1572984588,2019-11-05T20:09:48Z,DAL89,"34.427055,-118.677353",15625,360,339
1572984594,2019-11-05T20:09:54Z,DAL89,"34.435547,-118.681549",15700,363,337
