Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1573932471,2019-11-16T19:27:51Z,DAL89,"33.944069,-118.411133",0,0,89
1573932511,2019-11-16T19:28:31Z,DAL89,"33.944035,-118.411346",0,9,84
1573932528,2019-11-16T19:28:48Z,DAL89,"33.944008,-118.411629",0,10,84
1573932545,2019-11-16T19:29:05Z,DAL89,"33.943977,-118.411903",0,11,81
1573932562,2019-11-16T19:29:22Z,DAL89,"33.943943,-118.412216",0,11,87
1573932581,2019-11-16T19:29:41Z,DAL89,"33.943943,-118.412567",0,11,84
1573932597,2019-11-16T19:29:57Z,DAL89,"33.943897,-118.412834",0,10,90
1573932613,2019-11-16T19:30:13Z,DAL89,"33.943855,-118.413078",0,9,115
1573932635,2019-11-16T19:30:35Z,DAL89,"33.943878,-118.413307",0,2,151
1573932951,2019-11-16T19:35:51Z,DAL89,"33.94397,-118.413406",0,0,118
1573933011,2019-11-16T19:36:51Z,DAL89,"33.943977,-118.413406",0,0,180
1573933141,2019-11-16T19:39:01Z,DAL89,"33.943726,-118.413376",0,15,174
1573933152,2019-11-16T19:39:12Z,DAL89,"33.943417,-118.413338",0,17,174
1573933165,2019-11-16T19:39:25Z,DAL89,"33.942867,-118.413254",0,31,174
1573933177,2019-11-16T19:39:37Z,DAL89,"33.942101,-118.413139",0,33,174
1573933188,2019-11-16T19:39:48Z,DAL89,"33.941334,-118.413025",0,34,171
1573933194,2019-11-16T19:39:54Z,DAL89,"33.940876,-118.412956",0,34,174
1573933200,2019-11-16T19:40:00Z,DAL89,"33.940491,-118.412903",0,15,171
1573933208,2019-11-16T19:40:08Z,DAL89,"33.939957,-118.412819",0,15,174
1573933215,2019-11-16T19:40:15Z,DAL89,"33.939457,-118.41275",0,31,174
1573933236,2019-11-16T19:40:36Z,DAL89,"33.938301,-118.412575",0,29,174
1573933246,2019-11-16T19:40:46Z,DAL89,"33.937733,-118.412445",0,31,163
1573933254,2019-11-16T19:40:54Z,DAL89,"33.937557,-118.411903",0,29,101
1573933264,2019-11-16T19:41:04Z,DAL89,"33.937626,-118.411346",0,29,84
1573933272,2019-11-16T19:41:12Z,DAL89,"33.937695,-118.410561",0,16,84
1573933279,2019-11-16T19:41:19Z,DAL89,"33.937752,-118.409958",0,17,84
1573933291,2019-11-16T19:41:31Z,DAL89,"33.937874,-118.408783",0,17,81
1573933298,2019-11-16T19:41:38Z,DAL89,"33.937935,-118.408195",0,17,81
1573933308,2019-11-16T19:41:48Z,DAL89,"33.938061,-118.407059",0,17,81
1573933314,2019-11-16T19:41:54Z,DAL89,"33.938118,-118.406479",0,18,81
1573933321,2019-11-16T19:42:01Z,DAL89,"33.938187,-118.405807",0,19,81
1573933327,2019-11-16T19:42:07Z,DAL89,"33.938244,-118.405182",0,20,81
1573933358,2019-11-16T19:42:38Z,DAL89,"33.938652,-118.401291",0,25,81
1573933367,2019-11-16T19:42:47Z,DAL89,"33.938793,-118.399925",0,27,81
1573933392,2019-11-16T19:43:12Z,DAL89,"33.939194,-118.396011",0,23,81
1573933398,2019-11-16T19:43:18Z,DAL89,"33.939274,-118.395241",0,21,81
1573933427,2019-11-16T19:43:47Z,DAL89,"33.939537,-118.392578",0,34,81
1573933473,2019-11-16T19:44:33Z,DAL89,"33.939816,-118.389816",0,19,81
1573933484,2019-11-16T19:44:44Z,DAL89,"33.939865,-118.389458",0,12,81
1573933562,2019-11-16T19:46:02Z,DAL89,"33.939869,-118.389389",0,0,180
1573933616,2019-11-16T19:46:56Z,DAL89,"33.939865,-118.389389",0,0,180
1573933745,2019-11-16T19:49:05Z,DAL89,"33.939892,-118.389061",0,11,84
1573933782,2019-11-16T19:49:42Z,DAL89,"33.940037,-118.387695",0,25,81
1573933788,2019-11-16T19:49:48Z,DAL89,"33.940075,-118.387314",0,26,81
1573933798,2019-11-16T19:49:58Z,DAL89,"33.940144,-118.386658",0,25,84
1573933806,2019-11-16T19:50:06Z,DAL89,"33.940178,-118.386246",0,25,81
1573933818,2019-11-16T19:50:18Z,DAL89,"33.940224,-118.385826",0,12,81
1573933842,2019-11-16T19:50:42Z,DAL89,"33.940258,-118.38559",0,2,81
1573933880,2019-11-16T19:51:20Z,DAL89,"33.940269,-118.385384",0,2,81
1573933898,2019-11-16T19:51:38Z,DAL89,"33.940304,-118.385094",0,12,81
1573933911,2019-11-16T19:51:51Z,DAL89,"33.940338,-118.384804",0,13,84
1573933920,2019-11-16T19:52:00Z,DAL89,"33.940361,-118.384567",0,14,84
1573933929,2019-11-16T19:52:09Z,DAL89,"33.940384,-118.384315",0,15,84
1573933941,2019-11-16T19:52:21Z,DAL89,"33.940411,-118.384033",0,14,84
1573933952,2019-11-16T19:52:32Z,DAL89,"33.940445,-118.383682",0,16,84
1573933958,2019-11-16T19:52:38Z,DAL89,"33.940456,-118.383476",0,17,84
1573933965,2019-11-16T19:52:45Z,DAL89,"33.940491,-118.383247",0,19,81
