Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1575228277,2019-12-01T19:24:37Z,DAL89,"33.945438,-118.410172",0,0,31
1575228295,2019-12-01T19:24:55Z,DAL89,"33.945297,-118.410416",0,0,17
1575228305,2019-12-01T19:25:05Z,DAL89,"33.945518,-118.410187",0,2,261
1575228515,2019-12-01T19:28:35Z,DAL89,"33.945454,-118.409958",0,2,261
1575228538,2019-12-01T19:28:58Z,DAL89,"33.945473,-118.409729",0,9,255
1575228559,2019-12-01T19:29:19Z,DAL89,"33.945499,-118.409485",0,9,239
1575228578,2019-12-01T19:29:38Z,DAL89,"33.945568,-118.409271",0,9,219
1575228607,2019-12-01T19:30:07Z,DAL89,"33.945774,-118.40905",0,2,196
1575228639,2019-12-01T19:30:39Z,DAL89,"33.945992,-118.408966",0,2,171
1575228663,2019-12-01T19:31:03Z,DAL89,"33.946205,-118.408997",0,2,171
1575228707,2019-12-01T19:31:47Z,DAL89,"33.946415,-118.40905",0,2,174
1575228839,2019-12-01T19:33:59Z,DAL89,"33.946625,-118.409088",0,2,180
1575228867,2019-12-01T19:34:27Z,DAL89,"33.946884,-118.409073",0,9,174
1575228887,2019-12-01T19:34:47Z,DAL89,"33.947113,-118.409142",0,10,188
1575228905,2019-12-01T19:35:05Z,DAL89,"33.947334,-118.409172",0,9,225
1575228930,2019-12-01T19:35:30Z,DAL89,"33.947525,-118.408936",0,10,261
1575228945,2019-12-01T19:35:45Z,DAL89,"33.947548,-118.408722",0,10,261
1575228967,2019-12-01T19:36:07Z,DAL89,"33.947582,-118.408447",0,9,264
1575228983,2019-12-01T19:36:23Z,DAL89,"33.947601,-118.408241",0,2,261
1575229002,2019-12-01T19:36:42Z,DAL89,"33.947628,-118.408035",0,9,264
1575229188,2019-12-01T19:39:48Z,DAL89,"33.947578,-118.408371",0,17,261
1575229194,2019-12-01T19:39:54Z,DAL89,"33.947559,-118.4086",0,20,261
1575229200,2019-12-01T19:40:00Z,DAL89,"33.947521,-118.408882",0,23,261
1575229207,2019-12-01T19:40:07Z,DAL89,"33.947498,-118.409225",0,25,264
1575229213,2019-12-01T19:40:13Z,DAL89,"33.947464,-118.409584",0,26,264
1575229224,2019-12-01T19:40:24Z,DAL89,"33.947388,-118.410309",0,28,261
1575229230,2019-12-01T19:40:30Z,DAL89,"33.947342,-118.410713",0,29,261
1575229236,2019-12-01T19:40:36Z,DAL89,"33.947289,-118.411163",0,30,261
1575229243,2019-12-01T19:40:43Z,DAL89,"33.947243,-118.411545",0,31,261
1575229251,2019-12-01T19:40:51Z,DAL89,"33.947067,-118.412186",0,33,250
1575229257,2019-12-01T19:40:57Z,DAL89,"33.946949,-118.412704",0,33,255
1575229263,2019-12-01T19:41:03Z,DAL89,"33.946907,-118.413109",0,33,261
1575229269,2019-12-01T19:41:09Z,DAL89,"33.946846,-118.413635",0,33,261
1575229276,2019-12-01T19:41:16Z,DAL89,"33.946804,-118.414124",0,15,264
1575229288,2019-12-01T19:41:28Z,DAL89,"33.946705,-118.415077",0,30,264
1575229300,2019-12-01T19:41:40Z,DAL89,"33.946632,-118.415771",0,23,264
1575229307,2019-12-01T19:41:47Z,DAL89,"33.946609,-118.416084",0,20,264
1575229318,2019-12-01T19:41:58Z,DAL89,"33.946552,-118.416557",0,19,264
1575229329,2019-12-01T19:42:09Z,DAL89,"33.94651,-118.416954",0,14,261
1575229343,2019-12-01T19:42:23Z,DAL89,"33.946484,-118.417168",0,2,261
1575229370,2019-12-01T19:42:50Z,DAL89,"33.946484,-118.417213",0,0,271
1575229394,2019-12-01T19:43:14Z,DAL89,"33.946461,-118.417442",0,15,261
1575229406,2019-12-01T19:43:26Z,DAL89,"33.946369,-118.417915",0,23,250
1575229414,2019-12-01T19:43:34Z,DAL89,"33.946007,-118.418114",0,25,199
1575229421,2019-12-01T19:43:41Z,DAL89,"33.945717,-118.418098",0,25,177
1575229433,2019-12-01T19:43:53Z,DAL89,"33.945076,-118.417984",0,29,171
1575229443,2019-12-01T19:44:03Z,DAL89,"33.944538,-118.4179",0,31,171
1575229452,2019-12-01T19:44:12Z,DAL89,"33.943954,-118.417816",0,33,174
1575229461,2019-12-01T19:44:21Z,DAL89,"33.943356,-118.417725",0,34,171
1575229470,2019-12-01T19:44:30Z,DAL89,"33.942703,-118.417641",0,15,174
1575229479,2019-12-01T19:44:39Z,DAL89,"33.941963,-118.417526",0,16,174
1575229485,2019-12-01T19:44:45Z,DAL89,"33.941517,-118.417458",0,16,171
1575229498,2019-12-01T19:44:58Z,DAL89,"33.940525,-118.417313",0,16,174
1575229508,2019-12-01T19:45:08Z,DAL89,"33.9398,-118.417206",0,16,171
1575229520,2019-12-01T19:45:20Z,DAL89,"33.938896,-118.417061",0,16,171
1575229527,2019-12-01T19:45:27Z,DAL89,"33.938454,-118.416992",0,34,174
1575229533,2019-12-01T19:45:33Z,DAL89,"33.938095,-118.416954",0,31,174
1575229541,2019-12-01T19:45:41Z,DAL89,"33.937572,-118.416885",0,29,174
1575229547,2019-12-01T19:45:47Z,DAL89,"33.937256,-118.416725",0,27,151
1575229553,2019-12-01T19:45:53Z,DAL89,"33.93713,-118.416428",0,25,118
1575229559,2019-12-01T19:45:59Z,DAL89,"33.937134,-118.416054",0,28,90
1575229565,2019-12-01T19:46:05Z,DAL89,"33.937176,-118.415665",0,31,84
